#SampleID	emp_cr_gg_13_8.summary.txt.tsv	emp_cr_silva_16S_123.summary.txt.tsv	emp_or_gg_13_8.summary.txt.tsv	emp.90.min25.deblur.withtax.onlytree.summary.txt.tsv	emp.100.min25.deblur.withtax.onlytree.summary.txt.tsv	emp.150.min25.deblur.withtax.onlytree.summary.txt.tsv
1024.DPOO1.C1.HA.5.39.root.6.11.G1.L00	6069.0	6603.0	8190.0	4618.0	4579.0	3846.0
1024.HE003.C181.HA.1.121.bulk.6.11.G1.L00	2598.0	2784.0	3663.0	1806.0	1750.0	1233.0
1024.HE003.C181.HA.1.122.rhizo.6.11.G1.L00	3638.0	3966.0	5258.0	2985.0	2880.0	2226.0
1024.HE003.C181.HA.1.191.flw.6.11.G1.L00	4248.0	4246.0	4507.0	3304.0	3250.0	2575.0
1024.HE003.C181.HA.1.351.bulk.9.11.G1.L00	4174.0	4461.0	5694.0	2816.0	2764.0	2053.0
1024.HE003.C181.HA.1.352.rhizo.9.11.G1.L00	4148.0	4444.0	5828.0	3347.0	3269.0	2476.0
1024.HE003.C181.HA.1.354.leav.9.11.Gilbert.Merlot.miseq.S0.L001.001	1.0	1.0	1.0	0.0	0.0	0.0
1024.HE003.C181.HA.1.551.bulk.4.12.G1.L00	7416.0	7964.0	10508.0	5701.0	5519.0	4292.0
1024.HE003.C181.HA.2.125.bulk.6.11.G1.L00	4311.0	4610.0	6075.0	3202.0	3101.0	2318.0
1024.HE003.C181.HA.2.126.rhizo.6.11.G1.L00	4512.0	4909.0	6548.0	3715.0	3596.0	2770.0
1024.HE003.C181.HA.2.192.flw.6.11.G1.L00	5400.0	5410.0	5869.0	4025.0	3929.0	2975.0
1024.HE003.C181.HA.2.356.bulk.9.11.G1.L00	5324.0	5718.0	7356.0	3761.0	3632.0	2698.0
1024.HE003.C181.HA.2.357.rhizo.9.11.G1.L00	4476.0	4822.0	6362.0	3334.0	3238.0	2455.0
1024.HE003.C181.HA.2.556.bulk.4.12.G1.L00	38.0	39.0	46.0	4.0	2.0	0.0
1024.HE003.C181.HA.3.129.bulk.6.11.G1.L00	4147.0	4464.0	5757.0	3091.0	3015.0	2275.0
1024.HE003.C181.HA.3.130.rhizo.6.11.G1.L00	4568.0	4871.0	6491.0	3359.0	3284.0	2522.0
1024.HE003.C181.HA.3.193.flw.6.11.G1.L00	5019.0	5018.0	5364.0	3937.0	3853.0	3122.0
1024.HE003.C181.HA.3.361.bulk.9.11.G1.L00	5763.0	6193.0	7845.0	4287.0	4214.0	3183.0
1024.HE003.C181.HA.3.362.rhizo.9.11.G1.L00	3087.0	3325.0	4122.0	2116.0	2037.0	1493.0
1024.HE003.C181.HA.4.133.bulk.6.11.G1.L00	4558.0	4958.0	6317.0	3421.0	3293.0	2493.0
1024.HE003.C181.HA.4.134.rhizo.6.11.G1.L00	5401.0	6005.0	7999.0	4793.0	4702.0	3743.0
1024.HE003.C181.HA.4.194.flw.6.11.G1.L00	4418.0	4414.0	4524.0	3784.0	3733.0	3171.0
1024.HE003.C181.HA.4.366.bulk.9.11.G1.L00	6414.0	6813.0	8869.0	4718.0	4592.0	3529.0
1024.HE003.C181.HA.4.367.rhizo.9.11.G1.L00	3301.0	3449.0	4693.0	2418.0	2353.0	1776.0
1024.HE003.C181.HA.5.137.bulk.6.11.G1.L00	2922.0	3147.0	4012.0	1842.0	1744.0	1282.0
1024.HE003.C181.HA.5.138.rhizo.6.11.G1.L00	3468.0	3830.0	5166.0	2816.0	2718.0	2037.0
1024.HE003.C181.HA.5.195.flw.6.11.G1.L00	3512.0	3508.0	3674.0	2777.0	2713.0	2246.0
1024.HE003.C181.HA.5.371.bulk.9.11.G1.L00	6851.0	7355.0	9628.0	5098.0	4999.0	3881.0
