#SampleID	split-libraries	adaptor-clean-up	cr_silva_seqs	cr_gg_seqs	or_gg_seqs	deblur_100nt_seqs	deblur_150nt_seqs
894.YY1107.lane5.NoIndex.L005	38944	38944	28801	27769	38443	21991	14846
894.YY1106.lane5.NoIndex.L005	34060	34060	27281	26129	33467	17216	12347
894.YY1105.lane5.NoIndex.L005	35380	35380	31478	30250	34934	19622	13567
894.YY1104.lane5.NoIndex.L005	45679	45679	38281	37120	45156	26155	18395
894.YY1103.lane5.NoIndex.L005	37216	37216	28084	26645	36818	20567	13971
894.YY1102.lane5.NoIndex.L005	32049	32049	30363	30206	31906	19188	13134
894.YY1101.lane5.NoIndex.L005	46144	46143	31605	30119	45598	25637	17938
894.YY1100.lane5.NoIndex.L005	42784	42784	39818	39454	42431	22362	16083
894.YY1099.lane5.NoIndex.L005	34158	34158	30637	29990	33747	18610	12993
894.YY1098.lane5.NoIndex.L005	23841	23841	22501	22206	23672	14023	9538
894.YY1097.lane5.NoIndex.L005	38744	38744	36416	36314	38501	23881	15782
894.YY1096.lane5.NoIndex.L005	36275	36275	26375	25325	35871	19887	13444
894.YY1095.lane5.NoIndex.L005	42960	42960	35498	34171	42226	22104	15895
894.YY1094.lane5.NoIndex.L005	34502	34500	31099	30688	34253	20289	14339
894.YY1093.lane5.NoIndex.L005	36151	36151	25113	24009	35758	19839	14307
894.YY1092.lane5.NoIndex.L005	33868	33868	31315	30849	33579	19769	13826
894.YY1091.lane5.NoIndex.L005	39436	39436	27364	26092	38994	21729	15400
894.YY1090.lane5.NoIndex.L005	30927	30927	22062	21036	30548	16249	11442
894.YY1089.lane5.NoIndex.L005	34940	34940	23592	22401	34453	18623	13258
894.YY1088.lane5.NoIndex.L005	38311	38311	28055	26531	37829	20072	13986
894.YY1087.lane5.NoIndex.L005	43777	43777	31184	29819	43329	24243	16667
894.YY1086.lane5.NoIndex.L005	29369	29369	28083	28081	29227	18902	13449
894.YY1085.lane5.NoIndex.L005	37887	37886	33249	31804	37505	21652	15367
894.YY1084.lane5.NoIndex.L005	46802	46802	34460	33448	46285	26766	18546
894.YY1083.lane5.NoIndex.L005	37141	37141	25101	23748	36697	19610	13537
894.YY1082.lane5.NoIndex.L005	18019	18019	17325	17292	17924	10747	6958
894.YY1081.lane5.NoIndex.L005	37127	37127	29415	24822	36706	19979	13918
894.YY1080.lane5.NoIndex.L005	37778	37778	31738	30125	37368	19699	13269
894.YY1079.lane5.NoIndex.L005	44587	44587	38423	36701	44080	23082	15786
894.YY1078.lane5.NoIndex.L005	52815	52815	41690	38916	51739	27807	20209
894.YY1077.lane5.NoIndex.L005	39974	39974	25769	24163	39496	21474	15259
894.YY1076.lane5.NoIndex.L005	38644	38644	36511	36497	38395	23962	16565
894.YY1075.lane5.NoIndex.L005	46341	46341	38896	39772	45691	26491	18947
894.YY1074.lane5.NoIndex.L005	33951	33951	30836	30362	33671	18371	12986
894.YY1073.lane5.NoIndex.L005	29823	29823	27676	27118	29565	16998	11898
894.YY1072.lane5.NoIndex.L005	36605	36604	29755	28885	36263	20191	13449
894.YY1071.lane5.NoIndex.L005	25557	25557	24334	24207	25417	16078	10994
894.YY1070.lane5.NoIndex.L005	40410	40410	32809	32159	40023	23454	16085
894.YY1069.lane5.NoIndex.L005	48664	48664	38275	36270	48228	27468	18825
894.YY1068.lane5.NoIndex.L005	37419	37419	34721	34323	37082	22495	15985
894.YY1067.lane5.NoIndex.L005	43356	43356	39251	38672	43019	26158	18158
894.YY1066.lane5.NoIndex.L005	31805	31805	30055	29768	31546	18756	12856
894.YY1065.lane5.NoIndex.L005	37694	37694	30134	29354	37344	21258	14162
894.W524.lane3.NoIndex.L003	22872	22872	21336	20922	22460	10775	5502
894.UY99.lane3.NoIndex.L003	37265	37264	31627	29254	36703	16853	8957
894.UY98.lane3.NoIndex.L003	30946	30946	26588	24056	30521	14492	7841
894.UY97.lane3.NoIndex.L003	30073	30073	24043	22682	29447	12440	6373
894.UY96.lane3.NoIndex.L003	28228	28228	24765	23578	27895	13210	7459
894.UY927.lane3.NoIndex.L003	25697	25697	14546	11801	25316	12025	6373
894.UY926.lane3.NoIndex.L003	31317	31317	29539	29550	31032	15794	8651
894.UY925.lane3.NoIndex.L003	31295	31295	24702	23512	30662	13696	7203
894.UY924.lane3.NoIndex.L003	28137	28137	26137	26235	27811	13925	7927
894.UY923.lane3.NoIndex.L003	6	6	4	4	5	0	0
894.UY922.lane3.NoIndex.L003	3	3	2	2	3	0	0
894.UY921.lane3.NoIndex.L003	3	3	3	2	3	0	0
894.UY920.lane3.NoIndex.L003	20668	20668	19603	19464	20495	9910	4981
894.UY92.lane3.NoIndex.L003	27944	27944	23353	21534	27495	12788	6463
894.UY919.lane3.NoIndex.L003	25267	25267	23575	23577	25024	12523	6941
894.UY918.lane3.NoIndex.L003	28935	28935	25987	25911	28609	13657	7295
894.UY917.lane3.NoIndex.L003	27754	27754	26247	26092	27436	12647	6494
894.UY916.lane3.NoIndex.L003	4	4	4	4	4	0	0
894.UY915.lane3.NoIndex.L003	25134	25134	23697	23834	24964	12967	6782
894.UY914.lane3.NoIndex.L003	0	0					
894.UY913.lane3.NoIndex.L003	2	2	1	1	2	0	0
894.UY912.lane3.NoIndex.L003	31077	31077	24167	22428	29846	12547	6240
894.UY911.lane3.NoIndex.L003	32941	32941	26558	24943	31858	13407	6807
894.UY910.lane3.NoIndex.L003	5	5	5	5	5	0	0
894.UY91.lane3.NoIndex.L003	37365	37365	32974	30954	36851	17646	9412
894.UY909.lane3.NoIndex.L003	26026	26026	24294	24517	25788	12377	6002
894.UY908.lane3.NoIndex.L003	33259	33259	20797	20172	32584	16509	7920
894.UY907.lane3.NoIndex.L003	7	7	6	6	6	0	0
894.UY906.lane3.NoIndex.L003	1	1			1	0	0
894.UY905.lane3.NoIndex.L003	0	0					
894.UY904.lane3.NoIndex.L003	1	1	1	1	1	0	0
894.UY903.lane3.NoIndex.L003	6	6	5	3	6	0	0
894.UY902.lane3.NoIndex.L003	1	1				0	0
894.UY901.lane3.NoIndex.L003	2	2	2	2	2	0	0
894.UY900.lane3.NoIndex.L003	4	4	4	4	4	0	0
894.UY90.lane3.NoIndex.L003	34165	34165	28347	26475	33586	15639	8178
894.UY9.lane3.NoIndex.L003	21264	21263	16991	16222	20878	9415	4957
894.UY899.lane3.NoIndex.L003	51	51	45	44	51	4	0
894.UY898.lane3.NoIndex.L003	30042	30042	26725	25606	29531	13943	7356
894.UY897.lane3.NoIndex.L003	2	2	2	2	2	0	0
894.UY896.lane3.NoIndex.L003	1	1	1	1	1	0	0
894.UY89.lane3.NoIndex.L003	32463	32463	28416	26952	32009	15682	7809
894.UY88.lane3.NoIndex.L003	23448	23448	15773	14860	23079	10859	5729
894.UY87.lane3.NoIndex.L003	29966	29966	25234	23949	29460	13074	6596
894.UY86.lane3.NoIndex.L003	31919	31919	28200	27059	31531	14904	7950
894.UY85.lane3.NoIndex.L003	14088	14088	11998	11332	13876	7016	3536
894.UY84.lane3.NoIndex.L003	29626	29626	24138	22908	29138	13419	6688
894.UY83.lane3.NoIndex.L003	19238	19238	18103	17723	19002	8438	4745
894.UY82.lane3.NoIndex.L003	32144	32144	27484	25472	31681	14766	7780
894.UY81.lane3.NoIndex.L003	26225	26225	22900	21180	25941	12568	6579
894.UY805.lane3.NoIndex.L003	21160	21160	18624	18492	20839	9350	4887
894.UY804.lane3.NoIndex.L003	25700	25700	22469	22178	25340	10708	5121
894.UY803.lane3.NoIndex.L003	28681	28681	26520	26349	28413	13503	6174
894.UY802.lane3.NoIndex.L003	25906	25906	24044	23848	25663	12613	6215
894.UY801.lane3.NoIndex.L003	30598	30598	18831	17727	29749	13315	6800
894.UY800.lane3.NoIndex.L003	25180	25180	23060	22816	24917	11677	4941
894.UY80.lane3.NoIndex.L003	28	28	20	17	28	0	0
894.UY8.lane3.NoIndex.L003	36	36	33	31	36	0	0
894.UY799.lane3.NoIndex.L003	24426	24426	21802	21344	24095	10711	5366
894.UY798.lane3.NoIndex.L003	28681	28681	19106	18488	28027	12837	5818
894.UY797.lane3.NoIndex.L003	28657	28657	15182	14158	27711	11999	5807
894.UY796.lane3.NoIndex.L003	23962	23962	22392	22251	23756	11488	4970
894.UY795.lane3.NoIndex.L003	32563	32563	18741	17673	31606	13684	6730
894.UY794.lane3.NoIndex.L003	30638	30638	28516	28202	30248	14206	6209
894.UY793.lane3.NoIndex.L003	30296	30296	25940	25547	29915	13487	6981
894.UY792.lane3.NoIndex.L003	27267	27266	23356	22490	26879	12443	5994
894.UY791.lane3.NoIndex.L003	29866	29866	27626	27243	29559	14193	5860
894.UY790.lane3.NoIndex.L003	27335	27335	22168	20795	26807	11601	5944
894.UY79.lane3.NoIndex.L003	31368	31368	28500	27387	30931	13860	7610
894.UY789.lane3.NoIndex.L003	25093	25093	21784	21461	24772	11719	5744
894.UY788.lane3.NoIndex.L003	27631	27630	24749	25051	27380	13221	7210
894.UY787.lane3.NoIndex.L003	27337	27337	24517	24597	27105	13127	7040
894.UY786.lane3.NoIndex.L003	27150	27150	24647	24197	26798	12827	6404
894.UY785.lane3.NoIndex.L003	2	2	1	1	2	0	0
894.UY784.lane3.NoIndex.L003	27360	27360	21633	20765	27037	12890	6685
894.UY783.lane3.NoIndex.L003	25516	25516	23463	23523	25240	12576	6668
894.UY782.lane3.NoIndex.L003	26082	26082	21985	21892	25737	11935	6093
894.UY781.lane3.NoIndex.L003	20949	20949	19662	19588	20835	10456	5043
894.UY780.lane3.NoIndex.L003	28897	28897	16699	15199	28272	13766	6003
894.UY78.lane3.NoIndex.L003	35270	35270	31358	30542	34694	15209	8583
894.UY779.lane3.NoIndex.L003	22550	22550	20821	20746	22366	11285	5517
894.UY778.lane3.NoIndex.L003	27671	27671	25051	24776	27341	12418	6322
894.UY777.lane3.NoIndex.L003	24805	24805	22609	22450	24606	11585	5888
894.UY776.lane3.NoIndex.L003	19353	19353	18480	18440	19237	9620	4855
894.UY775.lane3.NoIndex.L003	24630	24630	22028	21888	24381	11080	5341
894.UY774.lane3.NoIndex.L003	26163	26163	20627	20095	25739	12223	5935
894.UY773.lane3.NoIndex.L003	23785	23785	22067	21939	23564	11487	6039
894.UY772.lane3.NoIndex.L003	23526	23526	19489	19397	23217	11623	5944
894.UY771.lane3.NoIndex.L003	22453	22453	20854	20698	22252	10480	5726
894.UY770.lane3.NoIndex.L003	27779	27779	14404	13099	27084	12508	6126
894.UY77.lane3.NoIndex.L003	27338	27338	24630	23586	27039	12976	6884
894.UY769.lane3.NoIndex.L003	24736	24736	21766	21629	24490	11242	5981
894.UY768.lane3.NoIndex.L003	31350	31350	26115	25711	30902	14359	6931
894.UY767.lane3.NoIndex.L003	31752	31752	29203	28994	31445	13486	6899
894.UY766.lane3.NoIndex.L003	35717	35717	26855	25851	35053	16758	7112
894.UY765.lane3.NoIndex.L003	27893	27893	26214	25959	27661	12797	6056
894.UY764.lane3.NoIndex.L003	32526	32526	28489	28098	32192	14081	7687
894.UY763.lane3.NoIndex.L003	20509	20509	18833	18785	20357	8802	4322
894.UY762.lane3.NoIndex.L003	35464	35463	32681	32371	35149	16161	8082
894.UY761.lane3.NoIndex.L003	28275	28275	26117	26034	28016	13571	7160
894.UY76.lane3.NoIndex.L003	27479	27479	23177	21687	27030	12871	6604
894.UY75.lane3.NoIndex.L003	16581	16581	13616	12935	16332	7898	4057
894.UY74.lane3.NoIndex.L003	30864	30864	26524	25303	30397	14136	7011
894.UY733.lane3.NoIndex.L003	36564	36564	29798	28239	35742	14560	7397
894.UY732.lane3.NoIndex.L003	27966	27966	24651	23698	27564	12864	6541
894.UY731.lane3.NoIndex.L003	36034	36034	29911	28823	35324	15699	7997
894.UY730.lane3.NoIndex.L003	36394	36394	29985	28298	35597	14764	7755
894.UY73.lane3.NoIndex.L003	22906	22906	19993	19073	22570	10625	5090
894.UY729.lane3.NoIndex.L003	30187	30187	26353	25282	29665	13537	6356
894.UY728.lane3.NoIndex.L003	25942	25942	23528	23617	25679	12609	6540
894.UY727.lane3.NoIndex.L003	34202	34202	26811	24795	33482	13938	7476
894.UY726.lane3.NoIndex.L003	21167	21167	18048	17897	20949	10418	5128
894.UY725.lane3.NoIndex.L003	23977	23977	22233	21798	23688	11732	4999
894.UY724.lane3.NoIndex.L003	26280	26280	24680	25033	26071	12771	6687
894.YY1644.lane5.NoIndex.L005	38126	38126	28772	27530	37905	22411	15669
894.YY1643.lane5.NoIndex.L005	34799	34799	31873	31434	34613	20614	14653
894.YY1642.lane5.NoIndex.L005	38880	38880	33839	32479	38296	19077	13489
894.YY1641.lane5.NoIndex.L005	37752	37752	33643	32929	37519	21252	15179
894.UY723.lane3.NoIndex.L003	31133	31130	26930	26384	30664	14092	7769
894.UY722.lane3.NoIndex.L003	20713	20713	19714	19481	20530	10594	4636
894.UY721.lane3.NoIndex.L003	25276	25276	24204	24107	25060	12663	6139
894.UY720.lane3.NoIndex.L003	33526	33526	27339	25640	32875	14226	7300
894.UY72.lane3.NoIndex.L003	17648	17648	15006	14232	17415	8360	4499
894.UY719.lane3.NoIndex.L003	25375	25375	23228	23105	25124	12671	6609
894.UY718.lane3.NoIndex.L003	26746	26746	24486	24280	26422	12800	6692
894.UY717.lane3.NoIndex.L003	37536	37536	33397	31122	37077	18578	9776
894.UY716.lane3.NoIndex.L003	30661	30661	28360	28080	30321	14978	6936
894.UY715.lane3.NoIndex.L003	0	0					
894.UY714.lane3.NoIndex.L003	23535	23535	21435	21229	23286	11192	5913
894.UY713.lane3.NoIndex.L003	31682	31682	28746	28705	31395	16041	7655
894.UY712.lane3.NoIndex.L003	40553	40553	31994	29419	39840	17887	9437
894.UY711.lane3.NoIndex.L003	26985	26985	24020	23051	26726	13046	6378
894.UY710.lane3.NoIndex.L003	33886	33886	28972	29724	33456	16880	8643
894.UY71.lane3.NoIndex.L003	33041	33041	27127	26545	32565	15489	8640
894.UY709.lane3.NoIndex.L003	24750	24750	22615	22928	24356	12517	6445
894.UY708.lane3.NoIndex.L003	27233	27233	22747	22769	26578	12940	7133
894.UY707.lane3.NoIndex.L003	40522	40522	38063	38066	40164	19281	10720
894.UY706.lane3.NoIndex.L003	26820	26820	24659	24219	26319	13883	7635
894.UY705.lane3.NoIndex.L003	32612	32612	20328	18740	31969	15251	7578
894.UY704.lane3.NoIndex.L003	39321	39321	35885	34622	38689	18050	10070
894.UY703.lane3.NoIndex.L003	30529	30529	20811	18737	30123	14813	8555
894.UY702.lane3.NoIndex.L003	30307	30307	19562	18631	29734	15071	7313
894.UY701.lane3.NoIndex.L003	37234	37234	34230	33650	36768	18784	10140
894.UY700.lane3.NoIndex.L003	33264	33264	19478	17981	32530	15977	7674
894.UY70.lane3.NoIndex.L003	29030	29030	24080	23554	28690	13808	7758
894.UY7.lane3.NoIndex.L003	34688	34688	29554	26624	34198	16181	8566
894.UY699.lane3.NoIndex.L003	38704	38704	34870	33851	38211	17834	9714
894.UY698.lane3.NoIndex.L003	37409	37409	20533	19093	36534	18265	8833
894.UY697.lane3.NoIndex.L003	38983	38983	33354	31455	38435	18808	9617
894.UY696.lane3.NoIndex.L003	33634	33634	31190	30496	33289	16652	9056
894.UY695.lane3.NoIndex.L003	31907	31907	28914	28344	31619	16182	9081
894.UY694.lane3.NoIndex.L003	32853	32853	29613	28601	32418	14905	8239
894.UY693.lane3.NoIndex.L003	31988	31988	28215	27988	31703	15458	8230
894.UY692.lane3.NoIndex.L003	27120	27120	24872	24424	26864	12951	6295
894.UY691.lane3.NoIndex.L003	33266	33266	28774	28389	33005	15667	9025
894.UY690.lane3.NoIndex.L003	30048	30048	22911	22208	29607	14227	6671
894.UY69.lane3.NoIndex.L003	36776	36776	28949	27163	35995	14933	7906
894.UY689.lane3.NoIndex.L003	35390	35390	27412	26811	34942	17120	8138
894.UY688.lane3.NoIndex.L003	32480	32480	28148	27573	31946	13815	7590
894.UY687.lane3.NoIndex.L003	38972	38972	32730	31479	38452	18909	9549
894.UY686.lane3.NoIndex.L003	32911	32911	29146	29063	32518	15956	8592
894.UY685.lane3.NoIndex.L003	42708	42708	36702	35458	41881	19101	10383
894.UY684.lane3.NoIndex.L003	23846	23846	22512	22540	23689	12332	5915
894.UY683.lane3.NoIndex.L003	37003	37003	20854	19499	36120	17230	7481
894.UY682.lane3.NoIndex.L003	34861	34861	18326	17261	34015	16628	6926
894.UY681.lane3.NoIndex.L003	40405	40405	21887	20291	39291	17964	9342
894.UY680.lane3.NoIndex.L003	30142	30142	27863	27457	29811	13612	6842
894.UY68.lane3.NoIndex.L003	31912	31912	28537	26716	31483	15354	8117
894.UY679.lane3.NoIndex.L003	38840	38840	22152	21088	37823	17191	8172
894.UY678.lane3.NoIndex.L003	31535	31535	18119	17129	30862	14905	6666
894.UY677.lane3.NoIndex.L003	27703	27703	25054	24882	27508	12991	5538
894.UY676.lane3.NoIndex.L003	24439	24439	23220	23116	24272	12346	6305
894.UY675.lane3.NoIndex.L003	35440	35440	31191	30928	35128	16409	8568
894.UY674.lane3.NoIndex.L003	32248	32248	26988	26226	31775	14960	7080
894.UY673.lane3.NoIndex.L003	35250	35250	33022	32843	34942	16853	8330
894.UY672.lane3.NoIndex.L003	31578	31578	29205	29010	31260	13771	6730
894.UY671.lane3.NoIndex.L003	25342	25342	21790	20991	24784	11074	5863
894.UY670.lane3.NoIndex.L003	18587	18587	16490	16258	18359	8769	5148
894.UY67.lane3.NoIndex.L003	35471	35471	32105	29997	35005	16877	9046
894.UY669.lane3.NoIndex.L003.r	26622	26622	21225	21003	26149	11648	6253
894.UY669.lane3.NoIndex.L003	27473	27473	25205	24553	27145	13138	7078
894.UY668.lane3.NoIndex.L003	22756	22756	20553	19916	22449	10342	5728
894.UY667.lane3.NoIndex.L003	21381	21381	19333	19087	21142	10389	5709
894.UY666.lane3.NoIndex.L003	19715	19715	17863	17694	19543	9631	5378
894.UY665.lane3.NoIndex.L003	27073	27073	24796	24537	26775	13253	6990
894.UY664.lane3.NoIndex.L003	28027	28027	25801	25474	27765	12895	6995
894.UY663.lane3.NoIndex.L003	26389	26389	23902	23772	25989	11665	6563
894.UY662.lane3.NoIndex.L003	26429	26429	18449	14923	26086	12400	6869
894.UY661.lane3.NoIndex.L003.r	28711	28711	21187	20323	28161	12211	6704
894.UY661.lane3.NoIndex.L003	13813	13813	12663	11931	13582	6341	2642
894.UY660.lane3.NoIndex.L003	26410	26410	21562	20401	25827	11050	5783
894.UY66.lane3.NoIndex.L003	36557	36557	32104	30073	36077	17753	9587
894.UY659.lane3.NoIndex.L003	25779	25779	20806	19399	25229	10602	5606
894.UY658.lane3.NoIndex.L003	30072	30072	27775	27619	29613	12649	6825
894.UY657.lane3.NoIndex.L003	28315	28315	23860	22746	27795	11960	6096
894.UY656.lane3.NoIndex.L003	30776	30776	27434	27153	30468	15482	8383
894.UY655.lane3.NoIndex.L003	20	20	15	12	17	0	0
894.UY654.lane3.NoIndex.L003	22366	22366	20865	20558	22141	10620	5786
894.UY653.lane3.NoIndex.L003.r	28156	28156	26122	25828	27797	12683	6635
894.UY653.lane3.NoIndex.L003	19591	19591	17673	17914	19392	9026	5072
894.UY652.lane3.NoIndex.L003	23431	23431	19502	18755	22870	9762	4956
894.UY651.lane3.NoIndex.L003	25083	25083	19883	18779	24492	9990	5348
894.UY650.lane3.NoIndex.L003	27684	27684	22272	21017	27046	11246	5786
894.UY65.lane3.NoIndex.L003	34892	34892	29126	26785	34235	15490	8500
894.UY649.lane3.NoIndex.L003	30963	30963	24864	23348	30284	12308	6736
894.UY648.lane3.NoIndex.L003	20991	20991	19279	18787	20769	10217	5647
894.UY647.lane3.NoIndex.L003	22707	22707	20631	20181	22394	10672	5511
894.UY646.lane3.NoIndex.L003	22494	22494	20498	20421	22227	10994	5924
894.UY645.lane3.NoIndex.L003	23747	23747	21410	20684	23393	10808	5979
894.UY644.lane3.NoIndex.L003	25362	25362	19821	18670	24730	10008	5339
894.UY643.lane3.NoIndex.L003	23728	23728	21624	21128	23405	11647	5333
894.UY642.lane3.NoIndex.L003	28191	28191	25717	25701	27870	13818	6908
894.UY641.lane3.NoIndex.L003	30170	30170	25048	23730	29642	12575	6507
894.UY640.lane3.NoIndex.L003	26287	26287	23902	23133	25840	11993	6190
894.UY64.lane3.NoIndex.L003	17226	17226	15495	14974	17010	8455	4052
894.UY639.lane3.NoIndex.L003	22912	22912	21343	21130	22710	11960	6150
894.UY63.lane3.NoIndex.L003	36545	36545	29995	28376	36218	17905	9709
894.UY62.lane3.NoIndex.L003	35139	35139	31275	29242	34615	16898	8681
894.UY61.lane3.NoIndex.L003	31297	31296	27059	25806	30761	13937	6864
894.UY60.lane3.NoIndex.L003	33425	33425	28594	26571	32834	15026	7994
894.UY6.lane3.NoIndex.L003	18602	18602	16614	15853	18359	9158	4558
894.UY59.lane3.NoIndex.L003	27715	27714	24548	23675	27347	13204	6234
894.UY58.lane3.NoIndex.L003	32534	32534	30193	29068	32157	15925	8880
894.UY57.lane3.NoIndex.L003	36208	36208	30458	28523	35543	15995	8828
894.UY56.lane3.NoIndex.L003	33760	33760	30155	28776	33295	15497	8378
894.UY55.lane3.NoIndex.L003	33136	33136	29698	27919	32749	16014	8254
894.UY54.lane3.NoIndex.L003	33345	33345	27647	26075	32793	14644	7446
894.UY53.lane3.NoIndex.L003	29994	29994	27021	25418	29626	14640	7270
894.UY52.lane3.NoIndex.L003	30201	30201	27244	26066	29856	14182	7859
894.UY51.lane3.NoIndex.L003	28779	28779	25993	25004	28452	14111	6604
894.UY50.lane3.NoIndex.L003	25185	25185	20976	19700	24808	11254	5734
894.UY5.lane3.NoIndex.L003	33201	33201	26492	24562	32505	14100	7658
894.UY49.lane3.NoIndex.L003	33399	33399	28982	27412	32890	15780	7844
894.UY48.lane3.NoIndex.L003	17431	17431	14969	14461	17184	8351	4144
894.UY47.lane3.NoIndex.L003	20792	20792	17212	16351	20469	9947	4963
894.UY46.lane3.NoIndex.L003	20178	20178	16970	16142	19858	9445	4725
894.UY45.lane3.NoIndex.L003	27772	27772	25706	24279	27453	13736	7388
894.UY44.lane3.NoIndex.L003	42	42	38	36	41	9	4
894.UY43.lane3.NoIndex.L003	38174	38174	32444	30340	37528	16843	8151
894.UY42.lane3.NoIndex.L003	19035	19035	16014	15625	18848	9080	5317
894.UY41.lane3.NoIndex.L003	43	43	35	35	43	8	0
894.UY40.lane3.NoIndex.L003	8929	8929	8425	8448	8807	4487	2539
894.UY4.lane3.NoIndex.L003	17386	17386	15041	14290	17149	8231	3968
894.UY39.lane3.NoIndex.L003	51	51	41	39	51	6	0
894.UY38.lane3.NoIndex.L003	48	48	44	42	48	12	4
894.UY37.lane3.NoIndex.L003	21417	21417	19910	19839	21241	10220	5838
894.UY36.lane3.NoIndex.L003	21255	21255	19849	19217	21030	10070	5625
894.UY35.lane3.NoIndex.L003	19891	19891	18974	18798	19698	9923	5443
894.UY34.lane3.NoIndex.L003	23517	23517	21752	21583	23289	11255	6493
894.UY33.lane3.NoIndex.L003	21644	21644	17765	16776	21281	10022	5028
894.UY32.lane3.NoIndex.L003	14734	14734	13702	13653	14582	6773	3936
894.UY31.lane3.NoIndex.L003	19505	19505	17522	17545	19340	9783	5235
894.UY30.lane3.NoIndex.L003	7	7	5	5	7	0	0
894.UY3.lane3.NoIndex.L003	24605	24605	20982	19595	24293	11796	5872
894.UY29.lane3.NoIndex.L003	34045	34045	31458	30649	33661	15942	8970
894.UY28.lane3.NoIndex.L003	19752	19752	16929	16357	19451	9594	4807
894.UY27.lane3.NoIndex.L003	17314	17314	15178	14735	17060	8252	4156
894.UY26.lane3.NoIndex.L003	17	17	14	13	15	0	0
894.UY25.lane3.NoIndex.L003	35268	35268	32458	30851	34861	17225	9645
894.UY24.lane3.NoIndex.L003	24	24	23	24	24	0	0
894.UY23.lane3.NoIndex.L003	31978	31978	26779	25068	31509	15267	7587
894.UY22.lane3.NoIndex.L003	0	0					
894.UY21.lane3.NoIndex.L003	26812	26812	25200	24316	26505	13381	6849
894.UY20.lane3.NoIndex.L003	19261	19261	16213	15436	18989	8861	4406
894.UY2.lane3.NoIndex.L003	31520	31520	26847	24799	31041	14544	7350
894.UY19.lane3.NoIndex.L003	25566	25566	22733	21360	25216	12708	6245
894.UY182.lane3.NoIndex.L003	1	1	1	1	1	0	0
894.UY181.lane3.NoIndex.L003	7	7	6	4	7	0	0
894.UY180.lane3.NoIndex.L003	20713	20713	15573	14810	20071	9364	5389
894.UY18.lane3.NoIndex.L003	6	6	4	5	5	0	0
894.UY1799.lane5.NoIndex.L005	0	0					
894.UY1798.lane5.NoIndex.L005	39889	39889	29032	27630	39364	22064	15563
894.UY1797.lane5.NoIndex.L005	33886	33886	32178	31938	33701	19082	13817
894.UY1796.lane5.NoIndex.L005	48391	48390	33919	32401	47803	25662	17933
894.UY1795.lane5.NoIndex.L005	44448	44448	40018	38809	43956	24404	17225
894.UY1794.lane5.NoIndex.L005	42562	42562	36581	35539	42262	25634	18633
894.UY1793.lane5.NoIndex.L005	42159	42159	38403	37480	41837	24435	17498
894.UY1792.lane5.NoIndex.L005	37912	37912	26753	25437	37390	19488	13639
894.UY1791.lane5.NoIndex.L005	42426	42426	26772	24983	41849	22367	15865
894.UY1790.lane5.NoIndex.L005	40329	40329	34259	33380	40000	22082	15679
894.UY179.lane3.NoIndex.L003	14774	14774	13840	12425	14668	7527	4332
894.UY1789.lane5.NoIndex.L005	39760	39760	37549	37111	39456	22469	16411
894.UY1788.lane5.NoIndex.L005	46651	46651	41544	40238	46136	23941	17576
894.UY1787.lane5.NoIndex.L005	40428	40428	35951	34830	39970	22014	15882
894.UY1786.lane5.NoIndex.L005	42369	42369	28315	25445	42055	24962	17751
894.UY1785.lane5.NoIndex.L005	37814	37814	31552	30386	37544	22492	15723
894.UY1784.lane5.NoIndex.L005	41169	41169	31842	29476	40565	20259	14861
894.UY1783.lane5.NoIndex.L005	41166	41166	36536	35686	40836	24563	17480
894.UY1782.lane5.NoIndex.L005	37782	37782	32364	31850	37404	21522	15531
894.UY1781.lane5.NoIndex.L005	42050	42050	35958	35863	41528	22295	15814
894.UY1780.lane5.NoIndex.L005	34701	34701	30483	29337	34456	20864	15309
894.UY178.lane3.NoIndex.L003	16145	16145	15369	15235	16010	8037	4660
894.UY1779.lane5.NoIndex.L005	26564	26564	24546	24177	26389	15249	10680
894.UY1778.lane5.NoIndex.L005	43389	43389	37090	35900	42697	24029	16701
894.UY1777.lane5.NoIndex.L005	38613	38613	9872	9597	38030	23911	12556
894.UY1776.lane5.NoIndex.L005	36379	36378	9591	9374	35884	22801	11860
894.UY177.lane3.NoIndex.L003	20198	20198	19403	18787	19997	10578	5643
894.UY176.lane3.NoIndex.L003	15784	15784	14992	14783	15589	7936	4215
894.UY175.lane3.NoIndex.L003	19006	19006	17617	16498	18758	9537	5208
894.UY174.lane3.NoIndex.L003	18467	18467	17727	17140	18232	9710	5023
894.UY173.lane3.NoIndex.L003	19576	19576	18835	18394	19397	10346	5699
894.UY172.lane3.NoIndex.L003	27121	27121	21095	19988	26580	11991	6354
894.UY171.lane3.NoIndex.L003	28113	28113	21650	20126	27771	13547	7402
894.UY170.lane3.NoIndex.L003	20359	20359	16578	15678	19994	8796	4372
894.UY17.lane3.NoIndex.L003	29907	29898	22114	20608	29335	12416	6805
894.UY169.lane3.NoIndex.L003	26769	26769	20890	19521	26327	11864	6425
894.UY168.lane3.NoIndex.L003	26857	26857	20363	19004	26325	11655	6261
894.UY167.lane3.NoIndex.L003	25002	25002	19854	18436	24702	11787	6328
894.UY166.lane3.NoIndex.L003	23536	23536	18901	17839	23206	10734	5941
894.UY165.lane3.NoIndex.L003	22592	22592	18317	17108	22332	10353	5602
