#SampleID	split-libraries	adaptor-clean-up	cr_silva_seqs	cr_gg_seqs	or_gg_seqs	deblur_100nt_seqs	deblur_150nt_seqs
550.L1S178.s.1.sequence	33858	33857	32498	32394	33733	21736	3467
550.L1S179.s.1.sequence	36119	36119	34759	34597	36074	23637	1053
550.L1S18.s.1.sequence	21652	21652	21257	20985	21633	15045	560
550.L1S180.s.1.sequence	28588	28588	27962	27877	28561	19515	631
550.L1S181.s.1.sequence	33261	33261	32433	32314	33221	22258	828
550.L1S182.s.1.sequence	31482	31482	30694	30615	31450	20831	964
550.L1S183.s.1.sequence	36087	36087	34935	34822	36038	23611	1327
550.L1S184.s.1.sequence	39311	39311	38331	38108	39254	25841	1194
550.L1S185.s.1.sequence	45565	45565	44372	44044	45502	30331	1022
550.L1S186.s.1.sequence	43714	43714	42365	42097	43661	28527	1315
550.L1S187.s.1.sequence	43332	43332	41524	41301	43260	27616	1337
550.L1S188.s.1.sequence	45557	45557	43194	43077	45473	29012	1820
550.L1S189.s.1.sequence	40139	40139	38433	38358	40057	25682	1810
550.L1S19.s.1.sequence	32362	32362	31689	31327	32321	22260	587
550.L1S190.s.1.sequence	37299	37299	35627	35439	37213	23558	1512
550.L1S191.s.1.sequence	39998	39998	37661	37549	39904	24396	1779
550.L1S193.s.1.sequence	51708	51708	48566	48437	51609	33186	1874
550.L1S194.s.1.sequence	46992	46992	43852	43925	46875	29264	1974
550.L1S195.s.1.sequence	43940	43940	42498	42363	43794	28619	6020
550.L1S196.s.1.sequence	45337	45337	43447	43258	45258	29573	1585
550.L1S197.s.1.sequence	45069	45069	42868	42787	45012	29650	1274
550.L1S198.s.1.sequence	45099	45099	43309	43119	45001	28683	2048
550.L1S199.s.1.sequence	49228	49228	47451	47156	49138	32209	1595
550.L1S2.s.1.sequence	39880	39880	39336	39133	39851	28374	635
550.L1S20.s.1.sequence	30131	30131	29553	29179	30094	20643	603
550.L1S200.s.1.sequence	49504	49503	47968	47628	49413	32655	1733
550.L1S201.s.1.sequence	48090	48090	46761	46395	48014	32568	1549
550.L1S202.s.1.sequence	41364	41364	40255	40095	41262	28028	2620
550.L1S203.s.1.sequence	40061	40061	39185	39032	40005	26151	1469
550.L1S204.s.1.sequence	37770	37770	36725	36634	37731	25240	1364
550.L1S205.s.1.sequence	41466	41466	40413	40313	41411	27430	1320
550.L1S206.s.1.sequence	40941	40941	39610	39447	40877	27094	1486
550.L1S207.s.1.sequence	42738	42738	41169	40946	42674	28157	1624
550.L1S208.s.1.sequence	42060	42060	40099	39975	41971	27375	1362
550.L1S209.s.1.sequence	46308	46308	44412	44278	46215	30297	1495
550.L1S21.s.1.sequence	36688	36688	35821	35203	36653	25316	583
550.L1S210.s.1.sequence	42472	42472	40920	40875	42402	27972	1270
550.L1S212.s.1.sequence	37875	37875	36884	36796	37795	24636	2701
550.L1S213.s.1.sequence	40068	40068	38789	38843	40000	26181	1939
550.L1S214.s.1.sequence	37445	37445	36153	36062	37342	23596	2267
550.L1S215.s.1.sequence	39784	39784	38348	38194	39716	25589	1998
550.L1S216.s.1.sequence	43287	43287	41578	41532	43227	28001	1603
550.L1S217.s.1.sequence	53585	53585	52688	52512	53506	36906	2879
550.L1S218.s.1.sequence	52040	52040	49753	49802	51949	33793	2326
550.L1S219.s.1.sequence	41737	41737	40167	40160	41666	27507	1718
550.L1S22.s.1.sequence	28511	28511	27900	27545	28474	19533	679
550.L1S220.s.1.sequence	37895	37895	36644	36486	37824	24550	1296
550.L1S221.s.1.sequence	38448	38448	37431	37227	38397	25450	1500
550.L1S222.s.1.sequence	45196	45196	43929	43770	45059	29269	4863
550.L1S223.s.1.sequence	37346	37346	35937	35705	37276	24025	1550
550.L1S224.s.1.sequence	41122	41122	39639	39387	41046	26442	1622
550.L1S225.s.1.sequence	51358	51358	49767	49484	51269	32789	1918
550.L1S226.s.1.sequence	49223	49223	47569	47264	49143	31687	2052
550.L1S228.s.1.sequence	36987	36987	35890	35800	36940	23879	1502
550.L1S229.s.1.sequence	34518	34518	33501	33374	34474	22914	1407
550.L1S23.s.1.sequence	37560	37560	36483	36015	37504	25151	1064
550.L1S231.s.1.sequence	48943	48943	47364	47013	48871	32456	1415
550.L1S232.s.1.sequence	39489	39489	38033	37753	39423	25458	1168
550.L1S233.s.1.sequence	41450	41450	40130	39844	41355	26715	1366
550.L1S234.s.1.sequence	38847	38847	37720	37485	38778	25218	1385
550.L1S235.s.1.sequence	39441	39441	38164	37945	39375	25508	1329
550.L1S236.s.1.sequence	41362	41362	39786	39543	41277	26812	1473
550.L1S237.s.1.sequence	41736	41736	40220	40012	41642	26746	2167
550.L1S238.s.1.sequence	38554	38554	37276	37130	38486	25196	1305
550.L1S239.s.1.sequence	43764	43764	42725	42565	43649	28525	4596
550.L1S24.s.1.sequence	32102	32102	31480	31109	32056	22107	621
550.L1S240.s.1.sequence	40135	40135	38665	38434	40057	25661	1192
550.L1S241.s.1.sequence	39703	39703	38625	38488	39581	25411	3011
550.L1S242.s.1.sequence	35923	35923	34661	34464	35869	23477	1097
550.L1S243.s.1.sequence	38160	38160	37099	36925	38109	25348	1072
550.L1S244.s.1.sequence	33738	33738	32775	32629	33699	22466	972
550.L1S245.s.1.sequence	33021	33021	32254	32130	32977	22101	976
550.L1S246.s.1.sequence	41317	41317	40325	40131	41269	27248	1180
550.L1S247.s.1.sequence	29702	29702	28886	28758	29654	19730	792
550.L1S248.s.1.sequence	38935	38935	37501	37331	38843	25124	1203
550.L1S249.s.1.sequence	42096	42096	40453	40276	42011	26870	1313
550.L1S25.s.1.sequence	37965	37965	37130	36557	37920	26397	946
550.L1S250.s.1.sequence	43706	43706	42544	42384	43626	28094	1323
550.L1S251.s.1.sequence	42290	42290	40892	40707	42212	27270	1406
550.L1S252.s.1.sequence	32461	32461	31716	31609	32393	21066	1152
550.L1S253.s.1.sequence	39682	39682	38375	38276	39611	25587	1421
550.L1S254.s.1.sequence	39825	39825	38098	38002	39756	25670	1415
550.L1S255.s.1.sequence	32840	32840	31132	31085	32768	20895	1284
550.L1S256.s.1.sequence	33724	33724	32401	32356	33672	22143	1046
550.L1S257.s.1.sequence	30537	30537	28982	29036	30481	19714	1118
550.L1S258.s.1.sequence	37259	37259	36309	36233	37179	24067	1992
550.L1S259.s.1.sequence	38758	38758	37654	37562	38686	25305	1881
550.L1S26.s.1.sequence	29907	29907	29310	29034	29865	20401	572
550.L1S260.s.1.sequence	35100	35100	34109	34008	35051	22941	1488
550.L1S261.s.1.sequence	38876	38876	38005	37895	38787	25471	3570
550.L1S262.s.1.sequence	35683	35682	34776	34662	35612	23178	2119
550.L1S263.s.1.sequence	33078	33078	31839	31793	33014	20946	1571
550.L1S264.s.1.sequence	40565	40565	39200	39123	40433	25733	4033
550.L1S266.s.1.sequence	39189	39189	36792	36850	39088	25226	1499
550.L1S267.s.1.sequence	40188	40188	38980	39036	40132	26713	1780
550.L1S268.s.1.sequence	38562	38562	37503	37448	38492	25125	1881
550.L1S269.s.1.sequence	38230	38230	36680	36585	38150	24669	1585
550.L1S27.s.1.sequence	24283	24283	23801	23542	24257	16563	395
550.L1S270.s.1.sequence	42023	42023	41085	40952	41971	27472	1652
550.L1S271.s.1.sequence	46545	46545	45136	44950	46444	30034	2008
550.L1S272.s.1.sequence	45877	45877	45296	45181	45804	31811	4709
550.L1S273.s.1.sequence	49669	49669	48154	47800	49582	32301	1602
550.L1S274.s.1.sequence	27096	27096	26953	26902	27062	17883	4322
550.L1S275.s.1.sequence	42003	42003	40829	40599	41943	27602	1246
550.L1S276.s.1.sequence	36023	36023	35389	35277	35981	23497	1909
550.L1S277.s.1.sequence	45066	45066	43485	43255	44995	29431	1446
550.L1S278.s.1.sequence	41204	41204	40145	40007	41132	26495	1995
550.L1S279.s.1.sequence	35530	35530	34767	34627	35453	24101	3847
550.L1S28.s.1.sequence	32466	32466	31819	31371	32439	22517	523
550.L1S280.s.1.sequence	50188	50188	48859	48590	50022	33852	7050
550.L1S281.s.1.sequence	32898	32898	31194	31047	32837	20956	1148
550.L1S282.s.1.sequence	41588	41588	40684	40613	41504	27219	4265
550.L1S283.s.1.sequence	39214	39214	38539	38398	39142	26386	3062
550.L1S284.s.1.sequence	36583	36583	34931	34898	36514	23193	1683
550.L1S285.s.1.sequence	45857	45857	44338	44252	45773	29327	2106
550.L1S286.s.1.sequence	47200	47200	46073	45907	47133	30437	2531
550.L1S287.s.1.sequence	49399	49399	47172	46953	49275	31089	2126
550.L1S289.s.1.sequence	54208	54208	51851	51680	54093	34624	2501
550.L1S29.s.1.sequence	27568	27568	27107	26756	27540	18897	441
550.L1S290.s.1.sequence	55269	55269	53417	53204	55182	35814	1908
550.L1S291.s.1.sequence	45388	45388	43971	43867	45310	29685	1200
550.L1S292.s.1.sequence	44264	44264	43172	43103	44223	29720	1411
550.L1S293.s.1.sequence	40694	40694	39543	39333	40629	26622	1090
550.L1S294.s.1.sequence	50017	50017	48718	48531	49972	32963	1164
550.L1S295.s.1.sequence	48286	48286	47014	46888	48229	32305	971
550.L1S296.s.1.sequence	50737	50737	49109	48987	50646	33147	1547
550.L1S297.s.1.sequence	50796	50796	48966	48862	50679	33158	1813
550.L1S298.s.1.sequence	50829	50829	48948	48798	50769	33723	1225
550.L1S299.s.1.sequence	43534	43534	40796	41054	43470	28184	1379
550.L1S3.s.1.sequence	25355	25355	24872	24744	25308	17349	429
550.L1S30.s.1.sequence	29731	29731	29041	28557	29690	20742	558
550.L1S300.s.1.sequence	42159	42159	40798	40748	42097	27826	1083
550.L1S301.s.1.sequence	40260	40260	38692	38684	40183	26319	932
550.L1S302.s.1.sequence	47670	47670	45954	45845	47595	31733	1058
550.L1S303.s.1.sequence	50002	50002	48517	48225	49954	33766	887
550.L1S304.s.1.sequence	48348	48348	46725	46558	48277	32545	790
550.L1S305.s.1.sequence	56087	56087	54158	53948	55998	36901	1706
550.L1S306.s.1.sequence	48418	48418	47201	46962	48340	32790	1159
550.L1S307.s.1.sequence	48411	48411	47152	46910	48351	32638	915
550.L1S308.s.1.sequence	43774	43774	42638	42442	43740	30061	631
550.L1S309.s.1.sequence	37589	37589	36654	36712	37512	24806	3513
550.L1S31.s.1.sequence	27773	27773	27275	26931	27744	19182	536
550.L1S310.s.1.sequence	44594	44594	42587	42728	44518	28811	1203
550.L1S311.s.1.sequence	45142	45142	43223	43234	45080	29547	1135
550.L1S312.s.1.sequence	50709	50709	48607	48552	50630	33252	1272
