	observed_species
M25.533992	635
M27.533971	609
M8.533991	942
M38.533987	1216
M7.533981	1247
M10.533956	955
M36.533972	1164
M32.533975	1366
M43.533980	1087
M21.533958	570
M5a.533960	734
M6.533983	635
M23.533996	579
M9.533957	736
M41.533984	1195
M42.533985	878
M12.533968	977
M4.533962	635
M5b.533952	627
M3.533973	571
M33.533976	1183
M39.533953	1179
M37.533988	883
M40.533979	1004
C1.533959	541
M34.533967	393
M44.533951	896
M2.533982	669
M30.533965	446
C2.533995	488
M24.533997	565
M1.533993	403
M35.533969	862
M20.533986	595
M14.533974	608
M13.533970	473
M28.533994	407
M11.533989	132
M22.533954	681
M16.533966	164
M15.533977	117
M26.533978	416
M29.533955	517
M18.533964	106
M31.533961	427
M17.533963	112
