	observed_species
0109BCDNA.486539	1197
1101BCDNA.486582	1186
1910B.486502	1085
2610B.486561	898
2601B.486514	907
0707B.486583	646
1512BCDNA.486548	920
1503T.486488	896
1409T.486587	831
1910T.486471	994
0803B.486445	798
1208B.486533	784
0802B.486524	1052
2105T.486491	458
2408T.486480	937
2112T.486589	947
2704T.486560	561
0911T.486492	838
1708B.486500	942
2809T.486600	812
0505T.486565	643
0710T.486554	853
0109B.486504	936
2408B.486546	681
1210T.486461	1007
0206T.486458	356
1208T.486596	800
2209T.486498	1007
1305T.486479	492
2206t.486478	671
0401B.486509	812
2906B.486563	697
2601TCDNA.486585	1365
0802TCDNA.486506	1112
1101TCDNA.486469	1349
0505TCDNA.486599	650
0803TCDNA.486559	1212
0102TCDNA.486534	1277
2112TCDNA.486519	1060
1503TCDNA.486485	1032
2704TCDNA.486525	790
2004TCDNA.486518	635
0103TCDNA.486508	1213
0802BCDNA.486477	1097
0401TCDNA.486486	1379
0803BCDNA.486551	896
0912TCDNA.486517	1475
0911TCDNA.486465	1228
1512TCDNA.486595	1253
1801TCDNA.486568	1413
1210TCDNA.486464	938
0704TCDNA.486571	1078
2610TCDNA.486457	1240
1204TCDNA.486459	673
1204BCDNA.486523	694
1708BCDNA.486553	820
1409TCDNA.486592	1010
1910TCDNA.486549	1154
2809TCDNA.486511	904
1208TCDNA.486581	789
0102BCDNA.486538	1031
2105TCDNA.486451	686
0103BCDNA.486452	1177
0401BCDNA.486528	1187
2604TCDNA.486574	713
2906TCDNA.486537	551
2601BCDNA.486507	961
0109TCDNA.486552	849
0206BCDNA.486593	562
2408TCDNA.486493	930
2704BCDNA.486579	176
2209TCDNA.486590	1225
2112BCDNA.486522	1273
0109T.486531	600
0709T.486499	889
1101B.486578	881
0707T.486496	682
1307BCDNA.486573	783
2408BCDNA.486572	723
0710TCDNA.486446	878
1305TCDNA.486463	441
2206TCDNA.486472	754
0709TCDNA.486530	970
0806TCDNA.486543	651
0707BCDNA.486449	860
1801B.486556	1016
1708T.486526	728
0710B.486575	704
2209BCDNA.486540	914
0710BCDNA.486483	742
0806BCDNA.486588	656
1409BCDNA.486564	966
2209B.486470	693
1409B.486468	677
0912BCDNA.486505	966
0709BCDNA.486535	955
1204B.486562	823
2105BCDNA.486545	469
1708TCDNA.486577	727
2604BCDNA.486474	767
2004BCDNA.486544	773
1208BCDNA.486462	816
0704BCDNA.486487	680
2906BCDNA.486473	653
1305BCDNA.486542	626
0709B.486467	907
0912B.486484	884
1307T.486447	843
2206B.486489	711
2112B.486555	890
1307B.486527	725
0707TCDNA.486570	724
1307TCDNA.486547	725
2206BCDNA.486536	649
0911BCDNA.486576	1093
2004B.486558	648
2906T.486450	634
0505BCDNA.486494	780
1512B.486495	911
2809B.486513	768
1210BCDNA.486594	1005
0206TCDNA.486550	489
2610BCDNA.486456	1164
1210B.486497	782
1503BCDNA.486569	1113
0704B.486466	924
2809BCDNA.486510	750
2604T.486586	708
0806T.486567	495
0103B.486453	927
0911B.486454	594
0102B.486580	918
1910BCDNA.486516	1127
1801BCDNA.486490	1196
1503B.486566	936
2704B.486455	688
0505B.486591	632
1305B.486521	531
2105B.486448	696
0206B.486460	581
0806B.486597	716
