	observed_species
545.538755	1973
544.538638	2389
547.538772	2280
364.538674	2332
438.538559	1859
537.538693	2563
394.538593	2120
534.538769	2504
506.538710	2688
355.538536	2315
501.538692	2658
492.538601	2486
509.538729	2454
580.538735	2547
367.538663	2695
654.538565	2338
411.538629	2245
661.538622	2523
653.538576	2552
401.538538	2400
379.538666	2701
551.538640	2318
629.538689	2296
399.538635	2160
804.538718	2386
560.538701	2495
815.538750	2455
773.538598	2247
376.538686	2141
753.538784	2299
369.538631	2325
370.538555	2100
575.538744	2615
523.538691	2500
562.538678	2413
439.538623	2311
571.538661	2534
535.538669	2579
426.538727	2168
420.538677	1883
404.538804	2101
389.538697	2360
730.538672	1983
462.538572	1893
384.538558	2511
720.538664	2265
767.538807	2214
400.538535	2630
675.538662	2598
365.538719	2723
363.538742	2295
398.538656	2072
351.538749	2232
724.538764	1843
381.538632	2298
427.538548	2370
421.538801	2312
821.538774	2341
573.538616	2586
588.538811	2609
532.538607	2584
618.538557	2383
751.538644	2213
742.538780	2391
415.538659	2238
533.538653	2585
546.538550	2495
589.538642	2637
708.538748	2428
564.538609	2437
559.538712	2315
784.538633	2441
597.538715	2620
572.538574	2592
594.538732	2311
543.538552	2280
524.538762	2223
640.538809	2016
522.538575	2444
596.538544	2359
587.538566	2356
499.538721	2487
558.538713	2175
598.538753	2233
780.538647	2395
467.538758	2201
436.538699	2200
769.538560	2174
595.538541	2400
405.538788	2283
361.538736	2002
525.538714	2473
671.538628	2207
403.538703	2198
627.538546	1758
526.538790	2575
425.538725	2193
754.538803	2397
437.538581	2304
807.538648	2398
442.538802	1947
538.538786	2571
801.538794	2452
766.538539	2290
610.538797	2225
578.538716	2360
413.538634	2283
633.538808	2491
577.538570	2677
433.538591	2139
668.538746	2219
357.538577	2352
631.538590	2264
416.538768	2209
362.538778	2123
372.538540	2662
397.538594	2530
350.538782	2278
514.538805	2432
747.538597	2091
740.538658	2394
757.538600	2434
409.538765	2055
368.538793	2350
825.538747	2036
761.538734	2249
642.538694	2309
380.538595	2349
414.538798	1902
507.538702	2362
605.538681	2260
555.538643	2356
542.538733	2454
713.538580	2189
382.538770	2134
576.538704	2324
408.538547	2072
352.538705	2133
550.538646	2450
606.538767	2164
528.538785	2249
375.538796	2333
697.538667	2699
574.538810	2669
386.538603	2544
491.538724	2384
561.538649	2436
497.538625	2263
718.538551	2156
393.538588	2572
504.538726	2511
639.538679	2297
390.538621	1915
430.538620	2011
612.538624	1910
586.538763	2197
417.538777	2232
431.538728	2182
652.538696	2329
756.538683	2254
726.538556	2076
423.538561	1917
502.538626	2353
446.538562	2374
593.538795	2469
373.538630	2294
791.538739	2228
716.538665	2107
387.538752	2365
565.538578	2633
500.538573	2472
383.538781	2405
548.538731	2394
582.538657	2438
584.538619	2432
778.538612	2014
366.538652	2064
632.538776	1662
636.538671	2472
539.538583	2234
510.538542	2251
820.538707	2413
704.538651	2559
590.538655	2666
392.538761	2556
396.538571	2431
531.538582	2589
635.538645	1854
451.538791	2217
583.538636	2139
481.538553	2439
536.538783	2614
374.538592	1980
619.538614	2317
424.538676	2165
792.538685	2405
568.538730	2431
777.538604	2260
479.538720	2137
354.538698	2247
556.538737	2358
406.538627	2073
737.538564	1450
410.538549	1971
570.538613	2268
739.538687	2081
790.538654	1806
645.538599	2247
746.538618	2398
529.538754	2476
826.538606	2019
513.538789	2254
601.538760	2122
463.538589	1921
579.538650	2283
388.538682	1914
690.538567	2324
715.538563	2419
402.538596	2110
443.538543	1964
458.538690	2165
378.538759	1927
518.538637	1973
495.538617	2250
412.538779	2185
549.538684	2373
738.538711	1713
714.538706	1973
407.538608	2093
505.538660	2540
641.538771	2121
759.538799	2245
452.538745	1960
823.538579	2235
391.538688	2397
630.538668	1913
395.538537	1910
552.538812	2056
611.538722	1821
655.538611	2251
733.538806	2133
488.538569	1888
540.538756	2467
520.538743	2281
786.538545	2267
503.538708	1950
600.538602	2049
698.538568	2724
644.538675	2364
435.538792	2003
686.538554	1978
827.538775	2018
418.538585	1836
768.538757	2029
422.538615	1670
455.538680	1853
622.538787	1923
563.538773	2284
494.538586	2433
521.538641	2163
