	observed_species
sp1641.486293	735
sp0733.486401	700
sp0703.486302	728
sp1543.486261	698
sp1552.486256	614
sp1341.486319	691
sp0747.486414	698
sp0354.486204	650
sp1140.486374	713
sp1089.486365	520
sp1028.486396	445
sp0755.486320	741
sp1307.486286	771
sp0383.486359	333
sp1555.486339	712
sp1941.486417	628
sp1037.486378	506
sp1565.486407	665
sp0329.486434	588
sp1525.486424	680
sp0724.486422	720
sp1271.486425	701
sp1033.486406	464
sp1000.486433	685
sp1277.486281	616
sp1548.486181	694
sp1409.486368	568
sp1287.486195	749
sp0705.486280	688
sp1615.486408	665
sp1403.486444	717
sp1299.486367	632
sp1142.486341	752
sp0734.486191	621
sp1001.486234	595
sp1390.486212	616
sp0370.486388	766
sp0349.486235	534
sp1160.486357	701
sp1342.486409	659
sp1157.486306	742
sp1347.486383	650
sp0314.486178	665
sp0382.486232	526
sp1031.486193	553
sp0350.486426	456
sp1026.486254	519
sp1582.486404	724
sp1532.486423	693
sp1942.486372	683
sp1298.486439	685
sp0768.486413	627
sp0738.486225	648
sp1588.486273	729
sp1304.486294	648
sp1579.486360	626
sp1155.486268	672
sp0317.486222	646
sp1632.486334	618
sp1345.486427	634
sp0742.486305	686
sp1644.486395	616
sp1151.486315	700
sp1165.486215	609
sp0767.486436	675
sp0759.486364	644
sp1280.486340	645
sp1410.486325	626
sp1631.486385	705
sp1314.486354	773
sp1616.486400	681
sp1591.486421	610
sp1926.486185	605
sp0736.486274	657
sp0721.486343	657
sp0727.486272	776
sp0714.486380	680
sp0739.486278	680
sp1261.486347	656
sp1144.486350	692
sp0756.486224	751
sp0195.486348	675
sp1627.486304	675
sp1312.486219	621
sp1608.486246	640
sp0731.486190	674
sp0200.486337	630
sp1557.486316	622
sp1944.486244	648
sp1573.486240	643
sp1300.486410	729
sp0752.486228	618
sp0769.486266	683
sp1294.486197	672
sp1149.486362	652
sp0706.486177	675
sp1527.486245	679
sp1536.486223	640
sp1550.486312	604
sp1286.486369	701
sp0192.486253	644
sp1561.486353	616
sp1284.486392	673
sp1541.486279	669
sp1526.486390	634
sp1545.486382	560
sp1315.486342	714
sp1938.486189	641
sp1405.486438	621
sp1402.486209	678
sp1005.486314	572
sp1147.486186	624
sp1928.486435	679
sp0729.486251	660
sp1278.486313	666
sp1407.486221	689
sp0743.486308	585
sp1164.486217	635
sp1376.486216	730
sp1288.486416	640
sp1626.486182	656
sp0346.486328	492
sp1590.486295	715
sp0758.486336	649
sp1617.486356	594
sp1400.486307	694
sp0343.486402	531
sp1554.486441	580
sp1529.486398	680
sp0341.486201	502
sp1640.486282	657
sp1029.486384	723
sp0342.486270	562
sp1395.486290	521
sp0379.486267	646
sp1036.486230	637
sp0753.486213	702
sp0702.486196	673
sp1636.486303	670
sp0715.486292	655
sp0722.486437	686
sp1645.486411	660
sp1348.486259	670
sp1601.486298	668
sp1613.486428	664
sp1338.486297	685
sp0701.486321	649
sp1648.486288	733
sp1599.486211	626
sp0757.486198	680
sp1535.486229	612
sp1620.486375	671
sp1614.486194	621
sp1934.486258	553
sp1611.486208	647
sp1308.486403	644
sp1927.486440	696
sp1163.486226	711
sp1384.486214	614
sp1612.486311	608
sp1404.486289	619
sp1006.486250	750
sp1010.486203	663
sp1647.486202	709
sp1013.486180	712
sp0380.486333	505
sp1637.486415	713
sp1649.486344	690
sp1642.486358	773
sp1597.486210	547
sp0344.486275	608
sp0325.486283	548
sp1310.486370	637
sp1389.486332	711
sp1309.486291	649
sp0340.486431	540
sp1936.486277	650
sp1380.486345	702
sp1275.486249	725
sp1533.486324	669
sp0193.486346	757
sp1012.486429	696
sp1378.486443	740
sp0381.486399	575
sp1639.486263	704
sp0754.486442	651
sp0333.486377	530
sp1158.486285	667
sp1635.486331	753
sp0372.486183	555
sp1520.486187	649
sp1018.486432	586
sp1020.486386	721
sp1268.486379	686
sp1374.486238	707
sp1580.486394	606
sp1039.486361	603
sp1016.486371	716
sp1546.486255	598
sp1587.486381	610
sp1344.486310	673
sp1929.486205	662
sp0352.486373	576
sp1273.486391	708
sp0353.486397	556
sp1017.486420	765
sp1540.486393	642
sp1100.486363	624
sp1145.486243	603
sp1598.486296	730
sp1933.486247	554
sp1007.486430	735
sp1019.486376	640
sp0310.486188	559
sp1560.486323	723
sp1083.486405	594
sp1087.486355	597
sp1392.486284	656
sp0371.486309	508
sp1584.486241	765
sp1935.486366	759
sp1281.486220	696
sp0339.486335	599
sp1279.486418	712
sp1276.486300	708
sp1386.486207	639
sp1553.486218	587
sp0740.486269	688
sp1004.486317	677
sp1568.486318	617
sp1035.486242	501
sp1021.486237	699
sp0373.486264	312
sp1576.486330	714
sp1399.486265	521
sp1027.486352	626
sp1377.486262	449
sp1274.486227	670
sp1023.486233	624
sp1038.486271	617
sp1547.486299	677
sp1566.486301	700
sp1585.486412	713
sp1015.486184	680
sp1282.486419	697
sp1098.486349	611
sp0345.486199	541
sp1034.486257	551
sp1011.486327	685
sp1379.486260	475
sp1272.486351	748
sp1932.486239	667
sp1014.486389	512
sp0384.486179	491
sp0368.486276	480
sp0351.486252	317
sp0347.486329	362
sp0355.486236	227
