	chao1	observed_otus	faith_pd	shannon
1736.B10.0610	1034.0485436893205	697	61.45052193049559	7.5533344396921525
1721.S8B	1649.884792626728	1091	90.7049008690966	8.320811386453265
1883.2011.086.Crump.Artic.LTREB.main.lane3.NoIndex	466.0857142857143	301	38.37359448929619	6.192368259325826
1883.2008.269.Crump.Artic.LTREB.main.lane2.NoIndex	415.77272727272725	301	38.362332706964196	5.894198636881871
755.SSFA.L1.D1.31.05.11.lane1.NoIndex.L001	1408.0085470085469	753	74.23960112645801	7.014989997527981
550.L4S125.s.4.sequence	1013.0263157894738	663	56.73808710604969	7.368330677986221
1288.TBE06Nov07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	272.85714285714283	212	31.902829619230108	5.208789205686849
1883.2010.301B.Crump.Artic.LTREB.main.lane3.NoIndex	627.6382978723404	322	39.50821353890119	4.855730699857395
2192.H03a.Bathroom.Door.Knob.1374.lane5.NoIndex.L005	414.48387096774195	188	21.686337667462006	3.5072848487188275
1622.UPMain.101.102A	2682.7799999999997	1356	164.40434385496	9.217705568494512
1774.268.Skin.Puer	155.875	120	18.732988405349996	3.4181865911320877
864.13.OTC.addV.noG.noW.lane2.NoIndex	802.5081967213115	382	35.047432801131	3.823873964268444
1883.2011.25.Crump.Artic.LTREB.main.lane4.NoIndex	441.0769230769231	309	38.85112807845119	6.477367694322813
894.C1508.lane5.NoIndex.L005	466.0	364	36.1070916439995	5.945900834622406
1883.2002.044.Crump.Artic.LTREB.main.lane1.NoIndex	5937.652605459058	2438	263.90353144971596	10.383048998389272
1883.2010.223.Crump.Artic.LTREB.main.lane3.NoIndex	4547.073746312684	1983	214.90495193369625	9.356521983971922
550.L1S214.s.1.sequence	202.95652173913044	174	20.32383257227	5.306131776234194
945.P4.D8.lane2.NoIndex.L002	749.1935483870968	425	54.24437981087509	4.636718469162604
1453.45796SDZ4.G4.Pnem.stom	124.66666666666667	113	16.11877250725	4.5087012936671815
1521.Aphid11.s.7.1.sequences	13.0	12	3.7494633626999994	0.13957387677798727
1883.2011.114.Crump.Artic.LTREB.main.lane3.NoIndex	498.2368421052631	304	37.75528566740319	5.961748024731192
2229.S1.N11.AH1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	312.8333333333333	191	24.806623469029002	4.605605012611267
1715.McG.NM1	1551.8169491525423	1134	85.38486765524499	7.98809532328765
1579.G.2.0	337.3333333333333	333	37.23330997986799	7.93437000354768
1883.2008.309.Crump.Artic.LTREB.main.lane2.NoIndex	2517.1310043668122	1352	114.91273525749719	8.907962999278428
755.EF.EPSILON.22.07.11.lane1.NoIndex.L001	713.7662337662338	415	47.40584270429668	5.345263965175675
2229.W2.T1.4.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	78.125	59	11.04647705761	2.729863520110311
945.P11.D3.lane3.NoIndex.L003	174.86666666666667	128	17.092566889490005	4.356484313198168
1883.2008.12.Crump.Artic.LTREB.main.lane2.NoIndex	1559.2857142857142	982	84.56361574411409	8.35201906584404
1521.EB139.s.6.1.sequences	2212.4189944134077	1130	92.50523003222402	8.119411062511542
722.SV1.2.s.2.1.sequence	1569.8217821782177	1054	76.52148655787201	8.656570583310199
990.KA2F.A.22	2374.4285714285716	1370	102.85401683242397	8.93298385121625
1521.Sample140.s.7.1.sequences	32.5	31	6.9699250406	3.363721883309883
894.SL870.lane3.NoIndex.L003	130.83333333333334	125	14.383964799888503	5.149899374971933
1481.NA.13.T8	173.25	156	17.930850148733096	5.95505145210133
1039.L.Vermelha.SA	1040.3288590604027	802	86.40354580929507	8.348474749472851
678.OA.mesocosm.433	1662.6666666666665	861	92.169258685216	7.353412308862628
990.KA3F.D.02	2532.992452830189	1436	116.62583699365854	9.17413033369537
638.RMK.ENR.21.2	55.142857142857146	50	8.65637627656	3.328731862919055
894.UY925.lane3.NoIndex.L003	499.0923076923077	376	35.209396312280994	5.853191273357393
1721.S21M	1190.2820512820513	893	73.43842983719495	7.680697485369528
1883.2010.343.Crump.Artic.LTREB.main.lane3.NoIndex	2085.3725490196075	942	109.07310135849019	7.399088676122367
2382.DPOO1.C1.HA.4.641.bulk.9.12.lane7.NoIndex.L007.sequences	2808.5118644067798	1594	131.45312340481263	9.423074908952287
1883.2008.538.Crump.Artic.LTREB.main.lane3.NoIndex	405.5333333333333	275	34.57593430398519	6.062187651648213
945.P13.F1.lane5.NoIndex.L005	695.2625	449	51.910284187404194	6.3324531052461825
940.F.01	44.0	33	7.6340940359300005	1.8460449991634662
1235.sp1532	199.92857142857144	147	20.165631916020004	5.338094782123734
990.KA3U.D.13	2004.0045248868778	1199	100.97612048445795	8.525491558233238
905.SA.Station.1.t0	307.5	210	23.7328821721	2.817688908888302
1883.2005.177.Crump.Artic.LTREB.main.lane4.NoIndex	4192.249291784703	1956	199.7017313469127	9.229248058643288
1883.2010.171.Crump.Artic.LTREB.main.lane3.NoIndex	374.5625	263	34.133853913417205	5.958083967557351
894.UY1346.lane5.NoIndex.L005	696.625	499	44.430441904512705	6.575803360127
864.4.CON.V.addG.noW.pooled.lane2.NoIndex	1015.6923076923077	388	33.33627108268899	3.5721044516814433
755.SSFB.L1.3.D3.21.06.11.lane1.NoIndex.L001	740.3888888888889	334	34.78745288019398	4.372398714167333
945.P12.E1.lane3.NoIndex.L003	824.8208955223881	630	55.0086840658961	5.921055077573043
2229.S2.T21.ES2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	478.0175438596491	361	43.239102197362	6.372990718164409
