	PD_whole_tree	chao1	observed_otus	shannon
1030.TVF.2004.Loc2.D0.Rep3	0.0385030000861	7798.42993197	5479.0	9.91331591143
1030.TVF.2004.Loc4.D0.Rep2	0.0296920108651	6168.08550186	4120.0	8.50964505334
1030.TVF.2010.Loc4.D0.Rep4	0.030414845058	6380.21989529	4217.0	9.05458479488
1030.TVF.2004.Loc4.D0.Rep3	0.0247666125314	5092.32903226	3392.0	8.02052653574
1030.TVF.2004.Loc5.D10.Rep1	0.0246280245045	4889.61162791	3166.0	7.63975429197
1030.TVF.2004.Loc5.D10.Rep3	0.0257072956888	5023.32009346	3176.0	7.74317381494
1030.TVF.2010.Loc2.D10.Rep1	0.0185167960682	3295.890625	2272.0	7.2393488644
1030.TVF.2010.Loc3.D0.Rep4	0.0273690953756	5470.92022263	3769.0	8.80136960367
1030.TVF.2010.Loc4.D10.Rep2	0.0215705298085	4325.55672823	2825.0	7.94807783877
1030.TVF.Control.Loc2.D0.Rep3	0.0324305147524	6438.01020408	4485.0	9.20296005826
1030.TVF.2004.Loc1.D0.Rep1	0.021509185164	4451.58	2899.0	8.20568220765
1030.TVF.2004.Loc1.D10.Rep1	0.023188846313	4461.4496124	3060.0	8.36976574478
1030.TVF.2004.Loc1.D10.Rep2	0.0223733534074	4415.04373178	2888.0	8.32759429939
1030.TVF.2004.Loc1.D10.Rep3	0.0215100076283	4075.28571429	2850.0	8.32016778009
1030.TVF.2004.Loc1.D10.Rep4	0.020939559839	3854.80706522	2721.0	8.20793176262
1030.TVF.2004.Loc2.D0.Rep1	0.0338567271025	6868.90016639	4619.0	9.35023396121
1030.TVF.2004.Loc2.D0.Rep2	0.0390067074177	8046.82401091	5544.0	9.87558349063
1030.TVF.2004.Loc2.D0.Rep5	0.0380741168611	8117.0	5494.0	9.90663911084
1030.TVF.2004.Loc2.D10.Rep1	0.0249020617661	4850.59529412	3247.0	8.45599452846
1030.TVF.2004.Loc2.D10.Rep2	0.0280332929016	5349.89915966	3649.0	8.87596782214
1030.TVF.2004.Loc2.D10.Rep4	0.0261929244724	5021.68340611	3422.0	8.61970128486
1030.TVF.2004.Loc2.D10.Rep5	0.02964819534	5606.15984405	3873.0	8.83632658771
1030.TVF.2004.Loc3.D0.Rep1	0.0342665325135	6760.40740741	4612.0	9.15120616649
1030.TVF.2004.Loc3.D10.Rep1	0.0317156232145	6085.23367698	4225.0	9.07112612291
1030.TVF.2004.Loc4.D10.Rep1	0.0225788956208	4163.00819672	2855.0	7.9887383506
1030.TVF.2004.Loc4.D10.Rep2	0.0234900372044	4361.4765625	2968.0	8.22643069324
1030.TVF.2004.Loc4.D10.Rep3	0.0349983343644	6937.00895522	4852.0	9.4525375429
1030.TVF.2004.Loc5.D0.Rep2	0.0275851875116	5023.96511628	3551.0	8.9000498403
1030.TVF.2004.Loc5.D0.Rep3	0.0341236777434	6912.84433962	4719.0	9.245470692
1030.TVF.2004.Loc5.D0.Rep4	0.0311561998034	5831.11411992	3988.0	8.51988589191
1030.TVF.2004.Loc5.D0.Rep5	0.0345799171371	6841.58161648	4633.0	9.23084309129
1030.TVF.2004.Loc5.D10.Rep2	0.0216039173819	3828.33235294	2522.0	7.11941470953
1030.TVF.2004.Loc5.D10.Rep5	0.0235394902465	4665.20430108	2830.0	7.46065672153
1030.TVF.2010.Loc1.D10.Rep4	0.0292514430525	5872.12145749	3932.0	8.93706714712
1030.TVF.2010.Loc4.D10.Rep3	0.0260795452551	5119.6453202	3383.0	8.78860081253
1030.TVF.Control.Loc4.D10.Rep4	0.0176124524036	3364.83892617	2227.0	6.95607325154
1030.TVF.2010.Loc1.D10.Rep1	0.0322322583415	6206.5904059	4263.0	9.22075688854
1030.TVF.2010.Loc4.D0.Rep1	0.0282593396528	6047.86809269	3941.0	8.6158508019
1030.TVF.2010.Loc4.D0.Rep5	0.0242442335824	4846.51357466	3254.0	8.32274962539
1030.TVF.2010.Loc1.D10.Rep3	0.0283744219865	5289.63543788	3715.0	8.96667364698
1030.TVF.2010.Loc3.D10.Rep5	0.0334720846222	6200.88832487	4364.0	9.23506696829
1030.TVF.Control.Loc1.D10.Rep3	0.0162582028796	3418.10729614	1938.0	6.29605922125
1030.TVF.Control.Loc5.D10.Rep3	0.0183758961894	3532.99684543	2346.0	7.33647490837
1030.TVF.2010.Loc4.D10.Rep4	0.0248203546967	4758.26315789	3224.0	8.61284677507
1030.TVF.2010.Loc5.D0.Rep4	0.0279441165138	5817.55029586	3791.0	8.709830699
1030.TVF.Control.Loc2.D0.Rep2	0.0345433583206	7231.87414966	4819.0	9.30750986104
1030.TVF.2004.Loc3.D0.Rep2	0.0350051893523	7265.72300469	4971.0	9.67187214883
1030.TVF.2004.Loc4.D0.Rep4	0.0233400130077	4712.95696203	3017.0	7.68094652001
1030.TVF.Control.Loc1.D0.Rep5	0.0084549752113	1791.26168224	965.0	5.34877217833
1030.TVF.2004.Loc1.D0.Rep4	0.0238067083281	4773.44976077	3242.0	8.20163066623
1030.TVF.2010.Loc2.D0.Rep2	0.0149497316049	3096.37931034	1876.0	7.04218227659
1030.TVF.2010.Loc3.D0.Rep1	0.0251887056705	4908.41200828	3384.0	8.58877446932
1030.TVF.Control.Loc4.D0.Rep2	0.0334562284063	6919.7984375	4658.0	8.78955710395
1030.TVF.Control.Loc5.D10.Rep2	0.0176593015349	3290.67313916	2153.0	7.00798565447
1030.TVF.2004.Loc5.D0.Rep1	0.0352980895801	7010.43382353	4961.0	9.54767514126
1030.TVF.2004.Loc5.D10.Rep4	0.0301916562302	5799.46153846	3807.0	8.39436655866
1030.TVF.2010.Loc1.D0.Rep5	0.0272420464664	5678.15500945	3779.0	8.68286794066
1030.TVF.2010.Loc4.D0.Rep3	0.0266048828374	5946.5	3731.0	8.5986978077
1030.TVF.2010.Loc5.D0.Rep1	0.0241702386542	4993.64818763	3289.0	8.08573872854
1030.TVF.2010.Loc5.D0.Rep3	0.0281035738721	6197.32625483	3995.0	9.00961885391
1030.TVF.2004.Loc4.D0.Rep5	0.03426477009	6782.55487805	4813.0	9.56401955901
1030.TVF.Control.Loc3.D0.Rep1	0.0275805682837	5318.81818182	3690.0	8.18597933432
1030.TVF.Control.Loc3.D10.Rep2	0.0310419488859	5999.44699647	4174.0	9.00444293998
1030.TVF.2004.Loc1.D0.Rep2	0.0195930862391	3864.02923977	2636.0	8.08561672488
1030.TVF.2004.Loc1.D0.Rep3	0.0238648873244	4935.11056511	3292.0	8.25455349247
1030.TVF.2004.Loc3.D0.Rep4	0.0305670535408	6095.30810811	4171.0	8.93136118014
1030.TVF.2004.Loc4.D0.Rep1	0.021882936427	4400.39304813	2894.0	7.61608532843
1030.TVF.2004.Loc4.D10.Rep4	0.0266918536782	5148.53103448	3503.0	8.76001587611
1030.TVF.2004.Loc2.D10.Rep3	0.0317429894542	6198.66915888	4186.0	9.15186894327
1030.TVF.2010.Loc4.D0.Rep2	0.0257468780406	5359.87730061	3495.0	8.21756922798
1030.TVF.2010.Loc5.D0.Rep2	0.0154413738892	2955.21011673	1962.0	7.33602782362
1030.TVF.2010.Loc1.D0.Rep4	0.0199440524444	4024.42120344	2547.0	6.95353314335
1030.TVF.Control.Loc5.D0.Rep1	0.0226547984424	4698.02469136	3021.0	7.5945363903
1030.TVF.Control.Loc3.D0.Rep4	0.0252269340335	5258.49141631	3441.0	7.95921256886
1030.TVF.Control.Loc4.D0.Rep1	0.0328382209213	6819.66209262	4489.0	8.87699838282
1030.TVF.Control.Loc4.D0.Rep3	0.0309672187753	6485.48939929	4276.0	8.53145563805
1030.TVF.Control.Loc4.D0.Rep4	0.0254945426458	5649.12713936	3472.0	7.70780078144
1030.TVF.Control.Loc4.D0.Rep5	0.0358395071782	7335.63983051	5064.0	9.2068693509
1030.TVF.2010.Loc1.D10.Rep5	0.0278320666673	5342.69871795	3629.0	8.74538954154
1030.TVF.2010.Loc4.D10.Rep5	0.027797545548	5298.07058824	3683.0	8.74508712611
1030.TVF.Control.Loc3.D0.Rep2	0.0266520889295	5700.58091286	3692.0	8.18957369606
1030.TVF.Control.Loc3.D10.Rep5	0.0157107236639	3128.51181102	1978.0	6.7259870733
1030.TVF.Control.Loc4.D10.Rep5	0.0182126219254	3483.62626263	2263.0	7.3298919014
1030.TVF.2004.Loc3.D0.Rep5	0.0324072977611	6438.70149254	4453.0	9.21988466399
1030.TVF.2010.Loc3.D0.Rep2	0.0221375758408	4466.09390863	2990.0	8.22605822201
1030.TVF.Control.Loc1.D10.Rep1	0.0174613315878	3506.14754098	2162.0	5.84379571299
1030.TVF.Control.Loc3.D0.Rep3	0.0239490483587	4843.29805616	3232.0	7.56991778602
1030.TVF.Control.Loc5.D10.Rep1	0.0289632661194	5723.54234234	3898.0	8.3284979056
1030.TVF.2004.Loc2.D0.Rep4	0.0280101520021	5573.37575758	3742.0	8.61008729811
1030.TVF.2010.Loc5.D10.Rep1	0.0284400781342	5438.55128205	3751.0	8.59173085594
1030.TVF.2010.Loc5.D10.Rep5	0.0267476066847	5202.29251701	3435.0	8.49256484281
1030.TVF.2004.Loc3.D10.Rep2	0.0322268435054	6350.22495606	4332.0	9.17405895544
1030.TVF.2004.Loc3.D10.Rep3	0.0223890361784	4098.38596491	2859.0	8.10314306117
1030.TVF.2004.Loc3.D10.Rep5	0.0281224111014	5579.10294118	3700.0	8.68688215818
1030.TVF.2010.Loc1.D0.Rep3	0.0210558965707	4187.15463918	2792.0	8.09763718988
1030.TVF.2010.Loc2.D0.Rep4	0.0169193623232	3574.87822878	2234.0	7.60299502841
1030.TVF.2010.Loc2.D10.Rep3	0.0210339552382	3878.21848739	2642.0	7.5042552613
1030.TVF.2010.Loc2.D10.Rep4	0.0200461107487	3659.28783383	2535.0	7.87660630671
1030.TVF.2010.Loc3.D10.Rep1	0.0272295561995	4917.05084746	3510.0	8.95437812293
1030.TVF.2010.Loc3.D10.Rep2	0.0275309955088	5525.19396552	3683.0	8.67791941748
1030.TVF.2010.Loc3.D10.Rep4	0.0326377936523	6135.26728972	4349.0	9.46457602798
1030.TVF.2010.Loc5.D10.Rep2	0.0231153728382	4390.77749361	2939.0	8.23260635652
1030.TVF.2010.Loc5.D10.Rep3	0.0194228551584	3960.80743243	2473.0	7.79331115569
