	PD_whole_tree	chao1	observed_otus	shannon
1030.tvf.2004.loc3.d10.rep1	0.0362310655881	3128.32198142	2161.0	8.70491833158
1030.tvf.control.loc4.d0.rep5	0.0418373906865	3903.04651163	2589.0	8.7614274394
1030.tvf.2004.loc3.d10.rep2	0.0382945438596	3355.24471299	2260.0	8.81682671567
1030.tvf.control.loc2.d0.rep2	0.0413629218674	3665.85014409	2500.0	8.86694020262
1030.tvf.2010.loc1.d10.rep1	0.0390261922722	3493.74750831	2278.0	8.89989572729
1030.tvf.control.loc2.d0.rep3	0.0389715597349	3266.40055249	2332.0	8.79169039138
1030.tvf.2010.loc3.d10.rep3	0.0358531370608	3106.60377358	2072.0	8.73613336926
1030.tvf.2004.loc2.d0.rep3	0.0477611085252	4091.71875	2895.0	9.53921283121
1030.tvf.2010.loc3.d10.rep5	0.0394941621984	3282.0	2277.0	8.85363412585
1030.tvf.control.loc4.d0.rep3	0.0354596721731	3284.01869159	2152.0	8.07584033937
1030.tvf.2010.loc5.d10.rep4	0.0344778748843	2540.50337838	1869.0	8.31639649296
1030.tvf.control.loc4.d0.rep2	0.0401826902969	3627.39106145	2392.0	8.35882451778
1030.tvf.control.loc3.d10.rep2	0.0359823668194	3043.84615385	2121.0	8.60797009546
1030.tvf.2004.loc2.d0.rep2	0.0460746759526	4012.56666667	2878.0	9.45510702313
1030.tvf.control.loc5.d10.rep1	0.0330779076964	2906.0	1944.0	7.98835012972
1030.tvf.control.loc4.d0.rep1	0.0380667847863	3539.26923077	2277.0	8.41466986153
1030.tvf.control.loc5.d10.rep4	0.0242542937872	2033.28571429	1384.0	7.50541698368
1030.tvf.2004.loc1.d10.rep1	0.0285950082425	2361.29464286	1650.0	8.09160921488
1030.tvf.2010.loc4.d10.rep4	0.030575358831	2502.35826772	1742.0	8.32910415493
1030.tvf.2004.loc4.d10.rep5	0.0304287171449	2645.9339207	1731.0	8.11197794033
1030.tvf.2004.loc3.d10.rep3	0.0254139898487	2156.01538462	1456.0	7.81154607577
1030.tvf.2004.loc3.d0.rep1	0.0416080715952	3567.40871935	2408.0	8.75319344865
1030.tvf.2004.loc1.d10.rep5	0.0346949513802	2999.03731343	1998.0	8.59889031441
1030.tvf.2004.loc4.d10.rep2	0.0283154033913	2238.34513274	1563.0	7.94627699478
1030.tvf.2010.loc1.d10.rep5	0.0326737283219	2734.0438247	1865.0	8.3907342568
1030.tvf.2004.loc2.d0.rep5	0.0443498917573	4191.32978723	2820.0	9.50214587153
1030.tvf.2010.loc1.d10.rep3	0.0353227061437	2977.33096085	1999.0	8.65171601223
1030.tvf.2004.loc4.d10.rep3	0.0405454760137	3657.15890411	2504.0	9.07737502015
1030.tvf.2010.loc4.d10.rep3	0.0329457068127	2704.77876106	1800.0	8.47299194294
1030.tvf.2010.loc3.d0.rep1	0.0307660532963	2794.36363636	1745.0	8.23405776054
1030.tvf.2010.loc3.d0.rep4	0.0326437050676	2841.26492537	1931.0	8.47130033823
1030.tvf.2004.loc2.d0.rep4	0.0332046236989	2843.84589041	1950.0	8.28743836949
1030.tvf.control.loc2.d0.rep5	0.0330973015558	3280.45374449	1911.0	8.07906636543
1030.tvf.2004.loc5.d10.rep4	0.0365301990275	2966.62921348	1937.0	8.0945070227
1030.tvf.control.loc2.d10.rep3	0.0233446650554	2051.84615385	1287.0	6.98551596336
1030.tvf.2004.loc3.d0.rep5	0.038132422541	3484.44409938	2340.0	8.90028750094
1030.tvf.2004.loc1.d0.rep1	0.0263642357747	2192.37864078	1517.0	7.93348917912
1030.tvf.2004.loc1.d0.rep3	0.0290064487915	2538.61065574	1724.0	7.93905598878
1030.tvf.2010.loc5.d10.rep1	0.0339384277726	2991.45522388	1949.0	8.25453947073
1030.tvf.2004.loc4.d0.rep5	0.041157495869	3648.84285714	2516.0	9.19349493575
1030.tvf.2004.loc1.d10.rep4	0.0256876843593	2095.97938144	1440.0	7.90688901055
1030.tvf.2004.loc4.d0.rep1	0.0268588217343	2433.43961353	1542.0	7.34482734297
1030.tvf.2004.loc4.d0.rep3	0.0290638574516	2652.84255319	1719.0	7.71565109543
1030.tvf.2010.loc4.d10.rep5	0.03369081038	2910.67032967	1944.0	8.44852320355
1030.tvf.2004.loc4.d0.rep2	0.0330684624969	3023.92628205	2075.0	8.16777934806
1030.tvf.2004.loc3.d0.rep4	0.035787577307	3089.31176471	2175.0	8.62007579898
