	PD_whole_tree	chao1	observed_otus	shannon
805.ph.4.5.year.2007	0.0307000184461	2588.54347826	1540.0	8.97885363131
805.ph.5.0.year.2006	0.0331504910764	2771.66442953	1760.0	9.28703354899
805.ph.6.5.year.2007	0.0406326774709	3308.38642298	2104.0	9.61425738746
805.ph.6.0.year.2006	0.0392822195796	3195.51239669	2036.0	9.5534117851
805.ph.7.5.year.2006	0.0395238663581	2742.09139785	1940.0	9.53627873399
805.ph.7.5.year.2007	0.016180814503	744.12244898	573.0	8.24203923092
805.ph.5.5.year.2007	0.020699519914	893.24137931	732.0	7.47808038933
807.c.s.11.a	0.0350203923949	2550.7148289	1591.0	8.89254472789
807.s.f.11.a	0.0341343199341	2385.54895105	1552.0	8.70907202303
807.bg.f.11.b	0.0348016424252	2497.9253112	1540.0	8.69332152917
807.e.s.12.a	0.0321451410623	2234.51464435	1416.0	8.52269897351
807.bg.s.12.a	0.037206349802	2591.00327869	1709.0	8.96093953817
807.bg.s.11.b	0.0344425723875	2489.49090909	1610.0	8.91387846864
807.e.f.11.a	0.034585072935	2417.85283019	1562.0	8.78429798046
807.w.s.11.b	0.0343670178824	2451.58555133	1553.0	8.80354514178
807.s.f.11.b	0.0340565743129	2541.53053435	1570.0	8.66853052162
807.b.f.11.a	0.0330730574588	2415.10788382	1460.0	8.26236581753
807.bg.s.12.b	0.0372501898515	2711.15194346	1692.0	8.92017918877
807.c.f.10.a	0.0332890773972	2305.69516729	1524.0	8.79754317701
807.b.s.12.a	0.0391962271363	2980.95975232	1890.0	9.33123360582
807.s.s.12.a	0.0373724066204	2781.56896552	1758.0	9.21216481099
807.s.s.11.a	0.03513753556	2312.54109589	1621.0	9.14032118551
807.s.f.10.a	0.0321354654056	2266.39271255	1454.0	8.69954446957
807.s.s.11.b	0.0376096498937	2793.20338983	1800.0	9.41007831934
807.b.s.12.b	0.0339234551459	2479.42857143	1524.0	8.30907981806
807.s.f.10.b	0.0348137290187	2425.84375	1636.0	9.13581483517
807.c.f.11.b	0.0314665332596	2259.75	1392.0	8.21487495884
807.e.s.11.b	0.0346061154497	2408.29166667	1644.0	9.24689577494
807.c.s.11.b	0.0341622371641	2457.54198473	1545.0	8.85891304085
807.c.f.10.b	0.0347536860556	2431.99307958	1619.0	9.03750560778
807.e.s.11.a	0.0366474698305	2539.66898955	1675.0	9.11564847863
807.e.f.10.b	0.0362961218816	2580.44043321	1646.0	9.02148641081
807.b.s.11.b	0.0321395108157	2403.47033898	1431.0	8.19498063405
807.c.s.12.b	0.0309732555878	2057.76829268	1361.0	8.18400305411
807.b.f.11.b	0.0372541572608	2573.51034483	1661.0	8.80425002329
807.e.s.12.b	0.0321345081219	2213.89300412	1462.0	8.74124160299
807.e.f.10.a	0.0358167000055	2561.75539568	1641.0	9.0734225818
807.w.f.11.a	0.0348457519323	2513.49193548	1527.0	8.57653038479
807.w.f.10.a	0.0340053631786	2567.77966102	1540.0	8.81577816735
807.c.f.11.a	0.0303907307081	2266.95890411	1342.0	7.91289892519
807.w.f.10.b	0.0354060181925	2612.13636364	1607.0	8.86861578159
807.w.s.11.a	0.0334836931804	2337.18852459	1486.0	8.72818339961
807.w.s.12.b	0.0339310070509	2438.26506024	1522.0	8.80590401584
807.s.s.12.b	0.0380505676907	2602.11111111	1781.0	9.28883497084
807.bg.s.11.a	0.0381461187894	2629.57460317	1697.0	8.85768051613
807.bg.f.11.a	0.0363390684663	2580.48275862	1586.0	8.75589959623
807.c.s.12.a	0.0308253836149	2237.86021505	1332.0	8.28569449389
807.e.f.11.b	0.0334842179137	2497.0875	1538.0	8.78638040716
807.b.s.11.a	0.0334106595224	2443.5204918	1489.0	8.59727623743
807.w.s.12.a	0.0369262592178	2577.28417266	1628.0	8.91238330754
807.w.f.11.b	0.0334119288098	2415.59911894	1443.0	8.57583522054
808.ak.19.18a.s.4.1.sequences	0.0214114766456	1712.67839196	1118.0	7.81950323816
808.ak.19.12a.s.4.1.sequences	0.0224273142349	1913.62352941	1168.0	8.19471210899
808.ak.19.12a.s.4.1.sequences.r	0.0223892497973	1856.59146341	1135.0	8.1217992733
808.hi.20.11a.s.4.1.sequences	0.030053898017	2692.34339623	1691.0	9.19034976636
