#Sample	Metric	NSTI
1024.RU006.C181.RH.3.586.bulk.4.12.G1.L00	Weighted NSTI	0.203678275488
1024.DPOO1.C1.HA.3.236.bulk.9.11.G1.L00	Weighted NSTI	0.219011826158
1024.SH008.C6.HA.3.536.bulk.4.12.G1.L00	Weighted NSTI	0.205051486142
1024.DPOO1.C1.HA.1.426.bulk.4.12.G1.L00	Weighted NSTI	0.22076623604
1024.RU006.C181.RH.1.376.bulk.9.11.G1.L00	Weighted NSTI	0.187079172031
1024.SH007.C6.RH.1.82.rhizo.6.11.G1.L00	Weighted NSTI	0.194576742172
1024.SH008.C6.HA.4.341.bulk.9.11.G1.L00	Weighted NSTI	0.204867609689
1024.MU002.C3.HA.2.65.bulk.6.11.G1.L00	Weighted NSTI	0.211343627438
1024.MU002.C3.HA.5.78.rhizo.6.11.G1.L00	Weighted NSTI	0.210088054469
1024.MU002.C3.HA.4.491.bulk.4.12.G1.L00	Weighted NSTI	0.216260882739
1024.SH005.C3.RH.4.466.bulk.4.12.G1.L00	Weighted NSTI	0.207933866486
1024.SH007.C6.RH.3.89.bulk.6.11.G1.L00	Weighted NSTI	0.200933353813
1024.SH004.C1.RH.1.202.rhizo.9.11.G1.L00	Weighted NSTI	0.204128235182
1024.DPOO1.C1.HA.2.25.bulk.6.11.G1.L00	Weighted NSTI	0.205386111578
1024.SH004.C1.RH.4.14.rhizo.6.11.G1.L00	Weighted NSTI	0.208213742028
1024.SH004.C1.RH.5.222.rhizo.9.11.G1.L00	Weighted NSTI	0.226780181586
1024.SH008.C6.HA.5.546.bulk.4.12.G1.L00	Weighted NSTI	0.202662934094
1024.HE003.C181.HA.2.356.bulk.9.11.G1.L00	Weighted NSTI	0.2098400114
1024.MU002.C3.HA.5.77.bulk.6.11.G1.L00	Weighted NSTI	0.232843448776
1024.SH004.C1.RH.5.19.root.6.11.G1.L00	Weighted NSTI	0.222539745077
1024.SH005.C3.RH.2.456.bulk.4.12.G1.L00	Weighted NSTI	0.210677087561
1024.SH005.C3.RH.2.256.bulk.9.11.G1.L00	Weighted NSTI	0.204337833508
1024.SH008.C6.HA.1.101.bulk.6.11.G1.L00	Weighted NSTI	0.19341669677
1024.MU002.C3.HA.1.62.rhizo.6.11.G1.L00	Weighted NSTI	0.218686112437
1024.SH004.C1.RH.1.1.bulk.6.11.G1.L00	Weighted NSTI	0.20835696919
1024.SH004.C1.RH.3.9.bulk.6.11.G1.L00	Weighted NSTI	0.213422389296
1024.SH005.C3.RH.3.263.root.9.11.G1.L00	Weighted NSTI	0.212464620252
1024.DPOO1.C1.HA.3.237.rhizo.9.11.G1.L00	Weighted NSTI	0.222364864039
1024.SH008.C6.HA.3.337.rhizo.9.11.G1.L00	Weighted NSTI	0.202034496642
1024.RU006.C181.RH.4.154.rhizo.6.11.G1.L00	Weighted NSTI	0.213596294272
1024.SH005.C3.RH.5.58.rhizo.6.11.G1.L00	Weighted NSTI	0.227184426209
1024.MU002.C3.HA.5.496.bulk.4.12.G1.L00	Weighted NSTI	0.203766434649
1024.HE003.C181.HA.4.367.rhizo.9.11.G1.L00	Weighted NSTI	0.204590481971
1024.RU006.C181.RH.4.392.rhizo.9.11.G1.L00	Weighted NSTI	0.213486924039
1024.SH004.C1.RH.4.217.rhizo.9.11.G1.L00	Weighted NSTI	0.210222140581
1024.HE003.C181.HA.3.130.rhizo.6.11.G1.L00	Weighted NSTI	0.221981297353
1024.SH007.C6.RH.4.317.rhizo.9.11.G1.L00	Weighted NSTI	0.198960646304
1024.MU002.C3.HA.3.486.bulk.4.12.G1.L00	Weighted NSTI	0.217425707612
1024.DPOO1.C1.HA.3.436.bulk.4.12.G1.L00	Weighted NSTI	0.228566544382
1024.HE003.C181.HA.2.125.bulk.6.11.G1.L00	Weighted NSTI	0.208870349712
1024.HE003.C181.HA.5.371.bulk.9.11.G1.L00	Weighted NSTI	0.223935260552
1024.SH008.C6.HA.2.107.root.6.11.G1.L00	Weighted NSTI	0.195938007574
1024.SH008.C6.HA.2.105.bulk.6.11.G1.L00	Weighted NSTI	0.201603583969
1024.SH004.C1.RH.5.17.bulk.6.11.G1.L00	Weighted NSTI	0.208922099078
1024.MU002.C3.HA.1.476.bulk.4.12.G1.L00	Weighted NSTI	0.202379530926
1024.DPOO1.C1.HA.1.227.rhizo.9.11.G1.L00	Weighted NSTI	0.221550629321
1024.HE003.C181.HA.5.372.rhizo.9.11.G1.L00	Weighted NSTI	0.21120550576
1024.SH007.C6.RH.4.94.rhizo.6.11.G1.L00	Weighted NSTI	0.215849957259
1024.HE003.C181.HA.5.137.bulk.6.11.G1.L00	Weighted NSTI	0.210856657067
1024.SH007.C6.RH.3.90.rhizo.6.11.G1.L00	Weighted NSTI	0.205447622914
1024.SH008.C6.HA.1.526.bulk.4.12.G1.L00	Weighted NSTI	0.207802608771
1024.MU002.C3.HA.4.73.bulk.6.11.G1.L00	Weighted NSTI	0.21527038852
1024.RU006.C181.RH.2.145.bulk.6.11.G1.L00	Weighted NSTI	0.19990752625
1024.SH004.C1.RH.3.211.bulk.9.11.G1.L00	Weighted NSTI	0.210985142035
1024.SH008.C6.HA.1.327.rhizo.9.11.G1.L00	Weighted NSTI	0.211035085267
1024.SH007.C6.RH.2.307.rhizo.9.11.G1.L00	Weighted NSTI	0.209432491803
1024.SH005.C3.RH.5.272.rhizo.9.11.G1.L00	Weighted NSTI	0.212187864586
1024.DPOO1.C1.HA.1.22.rhizo.6.11.G1.L00	Weighted NSTI	0.220967437241
1024.DPOO1.C1.HA.5.37.bulk.6.11.G1.L00	Weighted NSTI	0.211917191561
1024.SH008.C6.HA.2.331.bulk.9.11.G1.L00	Weighted NSTI	0.206567267795
1024.MU002.C3.HA.5.297.rhizo.9.11.G1.L00	Weighted NSTI	0.226530927301
1024.SH004.C1.RH.3.10.rhizo.6.11.G1.L00	Weighted NSTI	0.23467655088
1024.DPOO1.C1.HA.2.431.bulk.4.12.G1.L00	Weighted NSTI	0.229975763653
1024.SH005.C3.RH.3.262.rhizo.9.11.G1.L00	Weighted NSTI	0.212498955326
1024.RU006.C181.RH.4.153.bulk.6.11.G1.L00	Weighted NSTI	0.175878989866
1024.DPOO1.C1.HA.4.33.bulk.6.11.G1.L00	Weighted NSTI	0.210641455699
1024.SH008.C6.HA.3.110.rhizo.6.11.G1.L00	Weighted NSTI	0.226808264464
1024.RU006.C181.RH.5.396.bulk.9.11.G1.L00	Weighted NSTI	0.177043117291
1024.MU002.C3.HA.3.69.bulk.6.11.G1.L00	Weighted NSTI	0.208030029987
1024.MU002.C3.HA.2.281.bulk.9.11.G1.L00	Weighted NSTI	0.225235022134
1024.MU002.C3.HA.5.296.bulk.9.11.G1.L00	Weighted NSTI	0.228115219301
1024.RU006.C181.RH.1.141.bulk.6.11.G1.L00	Weighted NSTI	0.204857175841
1024.SH005.C3.RH.4.53.bulk.6.11.G1.L00	Weighted NSTI	0.203504978541
1024.RU006.C181.RH.2.382.rhizo.9.11.G1.L00	Weighted NSTI	0.179425183184
1024.SH004.C1.RH.5.18.rhizo.6.11.G1.L00	Weighted NSTI	0.226117731545
1024.MU002.C3.HA.3.287.rhizo.9.11.G1.L00	Weighted NSTI	0.225439890592
1024.HE003.C181.HA.3.362.rhizo.9.11.G1.L00	Weighted NSTI	0.216215921264
1024.HE003.C181.HA.3.361.bulk.9.11.G1.L00	Weighted NSTI	0.239827752315
1024.SH007.C6.RH.2.85.bulk.6.11.G1.L00	Weighted NSTI	0.202902726058
1024.RU006.C181.RH.5.397.rhizo.9.11.G1.L00	Weighted NSTI	0.193693666064
1024.DPOO1.C1.HA.4.242.rhizo.9.11.G1.L00	Weighted NSTI	0.221550827977
