,perm,level_name,entropy
502,Real,Order,3.08449874554
512,Real,Family,3.39424310876
514,Real,Family,3.32944241564
516,Real,Genus,2.91798703041
519,Real,Family,2.9684486102
520,Real,Phylum,2.0432504475
521,Real,Family,2.1005912828
524,Real,Order,1.80753577634
527,Real,Class,2.99115037503
530,Real,Order,2.50871029415
531,Real,Family,0.462395033412
532,Real,Family,2.47927068089
539,Real,Genus,3.14681138929
540,Real,Family,3.10452992472
545,Real,Family,2.92425907445
546,Real,Class,2.31272452979
550,Real,Phylum,3.61143572262
552,Real,Order,3.27242653238
554,Real,Phylum,2.58617535528
556,Real,Genus,1.17628347258
557,Real,Species,2.59556603207
558,Real,Species,1.34538691182
567,Real,Family,2.54889943209
568,Real,Family,3.53868767594
569,Real,Order,1.71736046632
570,Real,Order,3.70702092759
572,Real,Genus,2.03035758871
574,Real,Family,3.14392033153
578,Real,Family,3.38632961063
579,Real,Phylum,2.50164154497
582,Real,Phylum,2.43246365877
587,Real,Class,2.67502174781
588,Real,Family,3.50702902329
593,Real,Order,2.84360669153
596,Real,Genus,2.05867956699
598,Real,Class,2.19968552391
601,Real,Phylum,3.3292329711
607,Real,Genus,1.79555140175
610,Real,Genus,2.44557047927
616,Real,Family,2.69659668199
618,Real,Order,1.47351695463
619,Real,Class,1.50697661962
620,Real,Class,2.69227670755
621,Real,Genus,2.88817224392
626,Real,Class,3.24959459762
630,Real,Order,2.1514613593
631,Real,Class,2.68094457495
633,Real,Family,1.15264299862
635,Real,Order,1.41878578182
638,Real,Genus,2.57709263887
640,Real,Genus,3.40092573733
643,Real,Genus,2.23513621662
644,Real,Order,2.20708454026
646,Real,Genus,2.62643293522
652,Real,Class,3.58284003482
654,Real,Genus,2.89855087033
655,Real,Class,2.58789124297
656,Real,Genus,2.28359692652
658,Real,Family,2.63194652779
662,Real,Family,2.43448576331
663,Real,Phylum,1.67448158278
664,Real,Order,3.11046280365
666,Real,Order,2.76747949275
667,Real,Genus,2.86767305613
668,Real,Genus,2.42578913733
674,Real,Order,2.79495853494
675,Real,Family,2.95077748541
676,Real,Family,2.75523900392
677,Real,Family,2.36941519646
679,Real,Order,3.26988812857
680,Real,Family,2.37923287445
683,Real,Genus,3.50751216493
685,Real,Class,2.50164154497
686,Real,Order,2.50850485383
687,Real,Family,2.99260210243
691,Real,Class,2.41541896731
693,Real,Species,1.68099488655
695,Real,Genus,2.73497330347
696,Real,Family,2.90468102423
701,Real,Family,2.51553368798
703,Real,Order,3.15385531197
705,Real,Genus,2.7147089258
706,Real,Species,1.60267478132
707,Real,Family,1.82760897454
710,Real,Family,2.82986586201
712,Real,Order,2.83561221738
720,Real,Class,1.75294837157
728,Real,Class,2.9912883263
730,Real,Order,1.84847520826
731,Real,Genus,2.7064887319
738,Real,Family,3.24465073228
739,Real,Genus,1.67427619536
745,Real,Genus,2.95841387105
749,Real,Class,2.72489553183
752,Real,Family,3.32062349787
761,Real,Order,2.48584558599
766,Real,Order,2.5956008778
769,Real,Family,3.52385427184
771,Real,Family,3.10933669154
774,Real,Family,1.90834750687
778,Real,Order,3.11120695831
779,Real,Order,2.53496069782
782,Real,Phylum,2.91086260294
786,Real,Family,2.99821985081
799,Real,Class,3.11211494891
803,Real,Class,2.80028173287
808,Real,Genus,2.37116334261
810,Real,Order,2.06993463679
814,Real,Class,2.42028246049
817,Real,Phylum,3.11114617723
819,Real,Family,2.75854632367
820,Real,Genus,3.13672349322
824,Real,Order,1.97091137727
825,Real,Species,2.17349137199
827,Real,Order,1.94909045214
829,Real,Order,3.33781120488
830,Real,Genus,3.09857929201
835,Real,Family,2.5427724104
837,Real,Order,1.93378438894
841,Real,Family,3.67831085037
842,Real,Order,3.09129626009
845,Real,Family,2.26397372452
851,Real,Order,3.32286920215
853,Real,Genus,2.87298654562
857,Real,Genus,2.32643747787
859,Real,Family,2.44724236251
