sample_name	sample_accession
2229.W2.N13.EH1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	None
2229.W2.N13.EH2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	None
2229.W2.N13.EH3.Thomas.CMB.Seaweed.lane5.NoIndex.L005	None
2229.W2.N13.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	None
2229.W2.N13.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	None
2229.S2.N3.5.SP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577466
2229.S2.N3.4.HE5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577426
2229.T.L.B.3.HE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577985
2229.S2.N3.5.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577449
2229.S2.N2.6.HE5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577368
2229.T.L.B.3.SE4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578002
2229.S2.N3.5.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577451
2229.S2.N2.6.HE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577364
2229.S2.N3.5.SP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577459
2229.S2.N2.6.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577379
2229.T.L.B.3.HE5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577994
2229.S2.N3.4.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577430
2229.S2.N2.6.HE2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577361
2229.S2.N3.5.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577455
2229.S2.N3.4.HE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577422
2229.S2.N3.4.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577435
2229.S2.N3.6.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577476
2229.T.L.B.3.SE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577996
2229.S2.N3.6.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577471
2229.T.B.I.3.HE5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577943
2229.S2.T33.EH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577880
2229.W1.T1.6.HP5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1578418
2229.S2.T11.PS3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577578
2229.W1.T33.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578663
2229.S1.N23.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1576780
2229.S2.T12.EH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577593
2229.S2.N1.9.HE2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577281
2229.S1.T2.5.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1576999
2229.S2.T13.PS1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577627
2229.W2.N1.5.HP3.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1578706
2229.W1.N21.ES1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1578215
2229.W2.N1.4.SE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578692
2229.T.B.I.1.HE2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577896
2229.W1.N1.7.SE2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578076
2229.S1.T3.4.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577132
2229.S1.T23.EH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577089
2229.S2.T1.4.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577520
2229.S1.T21.EH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577036
2229.S1.T2.6.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577013
2229.S2.T22.EH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577711
2229.W1.N1.4.SE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578029
2229.S1.T13.PH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1576965
2229.S2.N2.4.SP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577346
2229.W1.T2.4.HP4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1578499
2229.W2.T13.EH1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1579065
2229.S2.N22.EH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577392
2229.W1.N1.7.SE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578074
2229.W1.T12.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1578452
2229.W2.N2.6.HP5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1578854
2229.S1.T2.5.SP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577003
2229.S1.N21.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1576759
2229.S2.N1.4.HP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577229
2229.W1.N1.7.HE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578068
2229.W1.N2.5.SP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1578179
2229.T.L.B.2.SE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577974
2229.W2.N1.4.SE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578696
2229.W2.N2.6.HE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578840
2229.B.I.chem.HEpL3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1576445
2229.S1.T2.5.SP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577002
2229.W1.T32.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578647
2229.W2.N1.4.HE4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578681
2229.W2.T1.5.HP4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1579013
2229.W2.N11.EH1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1578765
2229.W1.T11.PS5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578444
2229.S2.T21.EH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577670
2229.S2.T11.EH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577560
2229.W1.N11.ES4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1578114
2229.S1.N1.4.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1576505
2229.S1.T1.5.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1576884
2229.S2.T23.PS3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577779
2229.S2.T13.PH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577618
2229.S2.T1.4.FP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577511
2229.W2.N13.EH5.3E1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	ERS1578802
2229.S2.T21.PS3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1577698
2229.S1.N3.4.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1576809
2229.W1.N3.4.SE4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	ERS1578282
