sample_name	sample_accession
1036.P.N.7.2.s.4.1.sequences	ERS1266268
1036.P.N.7.1.s.4.1.sequences	ERS1266267
1036.P.N.21.2.s.4.1.sequences	ERS1266266
1036.P.N.21.1.s.4.1.sequences	ERS1266265
1036.P.N.2.2.s.4.1.sequences	ERS1266264
1036.P.N.2.1.s.4.1.sequences	ERS1266263
1036.P.N.14.2.s.4.1.sequences	ERS1266262
1036.P.N.14.1.s.4.1.sequences	ERS1266261
1036.P.C.7.2.s.4.1.sequences	ERS1266260
1036.P.C.7.1.s.4.1.sequences	ERS1266259
1036.P.C.21.2.s.4.1.sequences	ERS1266258
1036.P.C.21.1.s.4.1.sequences	ERS1266257
1036.P.C.2.2.s.4.1.sequences	ERS1266256
1036.P.C.2.1.s.4.1.sequences	ERS1266255
1036.P.C.14.2.s.4.1.sequences	ERS1266254
1036.P.C.14.1.s.4.1.sequences	ERS1266253
1036.P.Ac.7.2.s.4.1.sequences	ERS1266250
1036.P.Ac.7.1.s.4.1.sequences	ERS1266249
1036.P.Ac.21.2.s.4.1.sequences	ERS1266248
1036.P.Ac.21.1.s.4.1.sequences	ERS1266247
1036.P.Ac.2.2.s.4.1.sequences	ERS1266246
1036.P.Ac.2.1.s.4.1.sequences	ERS1266245
1036.P.Ac.14.2.s.4.1.sequences	ERS1266244
1036.P.Ac.14.1.s.4.1.sequences	ERS1266243
1036.B.N.7.2.s.4.1.sequences	ERS1266242
1036.B.N.7.1.s.4.1.sequences	ERS1266241
1036.A.C.0.1.s.4.1.sequences	ERS1266205
1036.A.C.0.2.s.4.1.sequences	ERS1266206
1036.B.C.0.1.s.4.1.sequences	ERS1266225
1036.B.C.0.2.s.4.1.sequences	ERS1266226
1036.P.C.0.1.s.4.1.sequences	ERS1266251
1036.P.C.0.2.s.4.1.sequences	ERS1266252
1036.A.Ac.2.1.s.4.1.sequences	ERS1266201
1036.A.Ac.2.1.s.4.1.sequences.r	ERS1266202
1036.A.Ac.2.2.s.4.1.sequences	ERS1266203
1036.A.Ac.2.2.s.4.1.sequences.r	ERS1266204
1036.A.C.2.1.s.4.1.sequences	ERS1266207
1036.A.C.2.1.s.4.1.sequences.r	ERS1266208
1036.A.C.2.2.s.4.1.sequences	ERS1266209
1036.A.C.2.2.s.4.1.sequences.r	ERS1266210
1036.A.N.2.1.s.4.1.sequences	ERS1266211
1036.A.N.2.2.s.4.1.sequences	ERS1266212
1036.A.N.7.1.s.4.1.sequences	ERS1266213
1036.A.N.7.2.s.4.1.sequences	ERS1266214
1036.A.V.2.1.s.4.1.sequences	ERS1266215
1036.A.V.2.2.s.4.1.sequences	ERS1266216
1036.B.Ac.14.1.s.4.1.sequences	ERS1266217
1036.B.Ac.14.2.s.4.1.sequences	ERS1266218
1036.B.Ac.2.1.s.4.1.sequences	ERS1266219
1036.B.Ac.2.2.s.4.1.sequences	ERS1266220
1036.B.Ac.21.1.s.4.1.sequences	ERS1266221
1036.B.Ac.21.2.s.4.1.sequences	ERS1266222
1036.B.Ac.7.1.s.4.1.sequences	ERS1266223
1036.B.Ac.7.2.s.4.1.sequences	ERS1266224
1036.B.C.14.1.s.4.1.sequences	ERS1266227
1036.B.C.14.2.s.4.1.sequences	ERS1266228
1036.B.C.2.1.s.4.1.sequences	ERS1266229
1036.B.C.2.2.s.4.1.sequences	ERS1266230
1036.B.C.21.1.s.4.1.sequences	ERS1266231
1036.B.C.21.2.s.4.1.sequences	ERS1266232
1036.B.C.7.1.s.4.1.sequences	ERS1266233
1036.B.C.7.2.s.4.1.sequences	ERS1266234
1036.B.N.14.1.s.4.1.sequences	ERS1266235
1036.B.N.14.2.s.4.1.sequences	ERS1266236
1036.B.N.2.1.s.4.1.sequences	ERS1266237
1036.B.N.2.2.s.4.1.sequences	ERS1266238
1036.B.N.21.1.s.4.1.sequences	ERS1266239
1036.B.N.21.2.s.4.1.sequences	ERS1266240
