sample_name	sample_accession
1716.McG.PAPrS01	ERS1563463
1716.McG.PAPrS02	ERS1563464
1716.McG.PAPrS35	ERS1563497
1716.McG.PAPrS34	ERS1563496
1716.McG.PAPrS37	ERS1563499
1716.McG.PAPrS36	ERS1563498
1716.McG.PAPrS31	ERS1563493
1716.McG.PAPrS30	ERS1563492
1716.McG.PAPrS33	ERS1563495
1716.McG.PAPrS32	ERS1563494
1716.McG.PAPrS39	ERS1563501
1716.McG.PAPrS38	ERS1563500
1716.McG.PAPrS19	ERS1563481
1716.McG.PAPrS18	ERS1563480
1716.McG.PAPrS17	ERS1563479
1716.McG.PAPrS16	ERS1563478
1716.McG.PAPrS15	ERS1563477
1716.McG.PAPrS14	ERS1563476
1716.McG.PAPrS13	ERS1563475
1716.McG.PAPrS12	ERS1563474
1716.McG.PAPrS11	ERS1563473
1716.McG.PAPrS10	ERS1563472
1716.McG.PAPrS22	ERS1563484
1716.McG.PAPrS23	ERS1563485
1716.McG.PAPrS20	ERS1563482
1716.McG.PAPrS21	ERS1563483
1716.McG.PAPrS26	ERS1563488
1716.McG.PAPrS27	ERS1563489
1716.McG.PAPrS24	ERS1563486
1716.McG.PAPrS25	ERS1563487
1716.McG.PAPrS28	ERS1563490
1716.McG.PAPrS29	ERS1563491
1716.McG.PAPrS40	ERS1563502
1716.McG.PAPrS41	ERS1563503
1716.McG.PAPrS42	ERS1563504
1716.McG.PAPrS43	ERS1563505
1716.McG.PAPrS08	ERS1563470
1716.McG.PAPrS09	ERS1563471
1716.McG.PAPrS04	ERS1563466
1716.McG.PAPrS05	ERS1563467
1716.McG.PAPrS06	ERS1563468
1716.McG.PAPrS07	ERS1563469
1716.McG.PAPrS03	ERS1563465
