sample_name	sample_accession
1717.10.high.fertilizer	ERS1563735
1717.1.high.fertilizer	ERS1563734
1717.19.high.fertilizer	ERS1563739
1717.19H.high.fertilizer	ERS1563740
1717.12.improved.leguminous	ERS1563737
1717.2.low.fertilizer	ERS1563742
1717.12IF.improved.leguminous	ERS1563738
1717.10H.high.fertilizer	ERS1563736
1717.1H.high.fertilizer	ERS1563741
1717.39L.low.fertilizer	ERS1563755
1717.32.high.fertilizer	ERS1563749
1717.KBC7.experimental.plot	ERS1563786
1717.20.low.fertilizer	ERS1563743
1717.KBC10.experimental.plot	ERS1563770
1717.4H.high.fertilizer	ERS1563760
1717.6IF.improved.leguminous	ERS1563764
1717.KBC18.experimental.plot	ERS1563776
1717.20L.low.fertilizer	ERS1563744
1717.KBC14.experimental.plot	ERS1563773
1717.KBC9.experimental.plot	ERS1563788
1717.KBC11.experimental.plot	ERS1563771
1717.41L.low.fertilizer	ERS1563759
1717.4.high.fertilizer	ERS1563757
1717.KBC20.experimental.plot	ERS1563779
1717.32H.high.fertilizer	ERS1563750
1717.7H.high.fertilizer	ERS1563766
1717.KBC13.experimental.plot	ERS1563772
1717.21.improved.leguminous	ERS1563745
1717.7.high.fertilizer	ERS1563765
1717.36L.low.fertilizer	ERS1563752
1717.KBC4.experimental.plot	ERS1563784
1717.KBC19.experimental.plot	ERS1563777
1717.38H.high.fertilizer	ERS1563754
1717.KBC21.experimental.plot	ERS1563780
1717.KBC16.experimental.plot	ERS1563775
1717.37L.low.fertilizer	ERS1563753
1717.3IF.improved.leguminous	ERS1563756
1717.9.improved.leguminous	ERS1563767
1717.5.low.fertilizer	ERS1563761
1717.KBC2.experimental.plot	ERS1563778
1717.3.improved.leguminous	ERS1563748
1717.KBC6.experimental.plot	ERS1563785
1717.21IF.improved.leguminous	ERS1563746
1717.35H.high.fertilizer	ERS1563751
1717.KBC22.experimental.plot	ERS1563781
1717.KBC24.experimental.plot	ERS1563782
1717.9IF.improved.leguminous	ERS1563768
1717.KBC1.experimental.plot	ERS1563769
1717.40L.low.fertilizer	ERS1563758
1717.6.improved.leguminous	ERS1563763
1717.5L.low.fertilizer	ERS1563762
1717.2L.low.fertilizer	ERS1563747
1717.KBC8.experimental.plot	ERS1563787
1717.KBC15.experimental.plot	ERS1563774
1717.POH.high.with.maure	ERS1563789
1717.KBC3.experimental.plot	ERS1563783
