sample_name	sample_accession
945.P1.E4.lane2.NoIndex.L002	None
945.P10.G7.lane3.NoIndex.L003	None
945.P12.B5.lane5.NoIndex.L005	None
945.P6.G3.lane2.NoIndex.L002	None
945.P9.G7.lane3.NoIndex.L003	ERS1628201
945.P9.H9.lane3.NoIndex.L003	ERS1628215
945.P9.H12.lane3.NoIndex.L003	ERS1628207
945.P9.G6.lane3.NoIndex.L003	ERS1628200
945.P9.H8.lane3.NoIndex.L003	ERS1628214
945.P9.G8.lane3.NoIndex.L003	ERS1628202
945.P9.H7.lane3.NoIndex.L003	ERS1628213
945.P9.G4.lane3.NoIndex.L003	ERS1628198
945.P9.G9.lane3.NoIndex.L003	ERS1628203
945.P9.H1.lane2.NoIndex.L002	ERS1628204
945.P9.H3.lane3.NoIndex.L003	ERS1628209
945.P9.H10.lane3.NoIndex.L003	ERS1628205
945.P9.G5.lane3.NoIndex.L003	ERS1628199
945.P9.H4.lane3.NoIndex.L003	ERS1628210
945.P9.H5.lane3.NoIndex.L003	ERS1628211
945.P11.G10.lane3.NoIndex.L003	ERS1627288
945.P12.F10.lane5.NoIndex.L005	ERS1627368
945.P10.H1.lane3.NoIndex.L003	ERS1627219
945.P6.B6.lane2.NoIndex.L002	ERS1627856
945.P11.C11.lane3.NoIndex.L003	ERS1627251
945.P4.C5.lane2.NoIndex.L002	ERS1627681
945.P4.A7.lane2.NoIndex.L002	ERS1627659
945.P1.E6.lane2.NoIndex.L002	ERS1627118
945.P11.D7.lane3.NoIndex.L003	ERS1627265
945.P1.B8.lane2.NoIndex.L002	ERS1627091
945.P7.E6.lane2.NoIndex.L002	ERS1627984
945.P14.C12.lane3.NoIndex.L003	ERS1627440
945.P5.A3.lane2.NoIndex.L002	ERS1627745
945.P7.F7.lane2.NoIndex.L002	ERS1627997
945.P10.F4.lane3.NoIndex.L003	ERS1627206
945.P14.G10.lane3.NoIndex.L003	ERS1627453
945.P5.B11.lane2.NoIndex.L002	ERS1627754
945.P13.E3.lane5.NoIndex.L005	ERS1627421
945.P12.A12.lane5.NoIndex.L005	ERS1627311
945.P9.D11.lane3.NoIndex.L003	ERS1628158
945.P12.E2.lane3.NoIndex.L003	ERS1627359
945.P10.A6.lane3.NoIndex.L003	ERS1627162
945.P5.F11.lane2.NoIndex.L002	ERS1627802
945.P13.E1.lane5.NoIndex.L005	ERS1627419
945.P7.F9.lane2.NoIndex.L002	ERS1627999
945.P6.A4.lane2.NoIndex.L002	ERS1627842
945.P6.C12.lane2.NoIndex.L002	ERS1627863
945.P13.F1.lane5.NoIndex.L005	ERS1627423
945.P5.H7.lane2.NoIndex.L002	ERS1627833
945.P12.C12.lane5.NoIndex.L005	ERS1627334
945.P12.E5.lane5.NoIndex.L005	ERS1627362
945.P11.D2.lane3.NoIndex.L003	ERS1627261
945.P4.B6.lane2.NoIndex.L002	ERS1627670
945.P12.F4.lane5.NoIndex.L005	ERS1627373
945.P8.H6.lane2.NoIndex.L002	ERS1628116
945.P4.F1.lane2.NoIndex.L002	ERS1627708
945.P12.G7.lane5.NoIndex.L005	ERS1627388
945.P11.D4.lane3.NoIndex.L003	ERS1627263
945.P8.H8.lane2.NoIndex.L002	ERS1628118
945.P7.C3.lane2.NoIndex.L002	ERS1627957
945.P11.B4.lane3.NoIndex.L003	ERS1627245
945.P2.H8.lane2.NoIndex.L002	ERS1627555
945.P8.C12.lane2.NoIndex.L002	ERS1628051
945.P4.E12.lane2.NoIndex.L002	ERS1627700
945.P8.D8.lane2.NoIndex.L002	ERS1628070
945.P9.H11.lane3.NoIndex.L003	ERS1628206
945.P1.A4.lane2.NoIndex.L002	ERS1627078
945.P3.D12.lane2.NoIndex.L002	ERS1627595
945.P13.C4.lane5.NoIndex.L005	ERS1627414
945.P5.C1.lane2.NoIndex.L002	ERS1627764
945.P7.C1.lane2.NoIndex.L002	ERS1627952
945.P12.C9.lane5.NoIndex.L005	ERS1627342
945.P7.B3.lane2.NoIndex.L002	ERS1627945
945.P1.E7.lane2.NoIndex.L002	ERS1627119
945.P5.C8.lane2.NoIndex.L002	ERS1627774
945.P14.H10.lane3.NoIndex.L003	ERS1627457
945.P12.C2.lane3.NoIndex.L003	ERS1627335
945.P4.C2.lane2.NoIndex.L002	ERS1627678
945.P2.H12.lane2.NoIndex.L002	ERS1627548
945.P5.F4.lane2.NoIndex.L002	ERS1627806
945.P8.E7.lane2.NoIndex.L002	ERS1628081
945.P10.F10.lane3.NoIndex.L003	ERS1627201
945.P11.G7.lane3.NoIndex.L003	ERS1627294
945.P4.A3.lane2.NoIndex.L002	ERS1627655
945.P3.G1.lane2.NoIndex.L002	ERS1627628
945.P3.D7.lane2.NoIndex.L002	ERS1627601
945.P13.E2.lane5.NoIndex.L005	ERS1627420
945.P5.G7.lane2.NoIndex.L002	ERS1627821
945.P4.C10.lane2.NoIndex.L002	ERS1627675
945.P5.B10.lane2.NoIndex.L002	ERS1627753
945.P7.F6.lane2.NoIndex.L002	ERS1627996
945.P5.G9.lane2.NoIndex.L002	ERS1627823
945.P5.H9.lane2.NoIndex.L002	ERS1627835
945.P7.G10.lane2.NoIndex.L002	ERS1628001
945.P3.D9.lane2.NoIndex.L002	ERS1627603
945.P11.H10.lane3.NoIndex.L003	ERS1627298
945.P3.H1.lane2.NoIndex.L002	ERS1627640
945.P8.H7.lane2.NoIndex.L002	ERS1628117
945.P8.A8.lane2.NoIndex.L002	ERS1628034
945.P11.D11.lane3.NoIndex.L003	ERS1627259
945.P5.H10.lane2.NoIndex.L002	ERS1627825
945.P3.D4.lane2.NoIndex.L002	ERS1627598
945.P1.F3.lane2.NoIndex.L002	ERS1627127
945.P11.B12.lane3.NoIndex.L003	ERS1627242
945.P9.D3.lane2.NoIndex.L002	ERS1628161
945.P13.B2.lane5.NoIndex.L005	ERS1627408
945.P2.A6.lane2.NoIndex.L002	ERS1627469
945.P1.G9.lane2.NoIndex.L002	ERS1627145
945.P1.D2.lane2.NoIndex.L002	ERS1627105
945.P1.C12.lane2.NoIndex.L002	ERS1627094
945.P7.D8.lane2.NoIndex.L002	ERS1627974
945.P9.E8.lane3.NoIndex.L003	ERS1628178
945.P1.B12.lane2.NoIndex.L002	ERS1627085
945.P3.E8.lane2.NoIndex.L002	ERS1627614
945.P12.C4.lane3.NoIndex.L003	ERS1627337
945.P1.H11.lane2.NoIndex.L002	ERS1627148
945.P8.B4.lane2.NoIndex.L002	ERS1628042
945.P10.B9.lane3.NoIndex.L003	ERS1627171
945.P10.B2.lane3.NoIndex.L003	ERS1627166
945.P12.G8.lane5.NoIndex.L005	ERS1627389
945.P7.D9.lane2.NoIndex.L002	ERS1627975
945.P1.G4.lane2.NoIndex.L002	ERS1627140
945.P10.F7.lane3.NoIndex.L003	ERS1627209
945.P1.C5.lane2.NoIndex.L002	ERS1627098
945.P11.D8.lane3.NoIndex.L003	ERS1627266
945.P3.D8.lane2.NoIndex.L002	ERS1627602
945.P1.D8.lane2.NoIndex.L002	ERS1627110
945.P10.F3.lane3.NoIndex.L003	ERS1627205
945.P5.D3.lane2.NoIndex.L002	ERS1627781
945.P13.C2.lane5.NoIndex.L005	ERS1627412
945.P7.B1.lane2.NoIndex.L002	ERS1627940
945.P5.E1.lane2.NoIndex.L002	ERS1627788
945.P6.A9.lane2.NoIndex.L002	ERS1627847
