sample_name	sample_accession
1674.McG.F110715Ly2H1	ERS1303599
1674.McG.F110715Ly2H3	ERS1303601
1674.McG.F110715Ly2H2	ERS1303600
1674.McG.F110714Ch3H3	ERS1303561
1674.McG.F110714Ch3H2	ERS1303560
1674.McG.F110714Ch3H1	ERS1303559
1674.McG.P110715Ly1	ERS1303673
1674.McG.G110719Di6	ERS1303662
1674.McG.F110715Ly2H5	ERS1303603
1674.McG.P110714Hi3	ERS1303669
1674.McG.F110714Jr5H3	ERS1303591
1674.McG.F110714Jr5H1	ERS1303589
1674.McG.P110715Ly2	ERS1303674
1674.McG.G110713Sp6	ERS1303645
1674.McG.P110714Hi1	ERS1303667
1674.McG.P110714Hi2	ERS1303668
1674.McG.F110714Ch1H5	ERS1303544
1674.McG.G110713Sp4	ERS1303643
1674.McG.G110713Sp5	ERS1303644
1674.McG.P110718Cps1	ERS1303676
1674.McG.G110713So1	ERS1303640
1674.McG.G110713So3	ERS1303641
1674.McG.G110713So5	ERS1303642
1674.McG.G110715Ly2	ERS1303652
1674.McG.G110719Di7	ERS1303663
1674.McG.G110719Di4	ERS1303660
1674.McG.G110719Di5	ERS1303661
1674.McG.G110713Br3	ERS1303630
1674.McG.G110713Br2	ERS1303629
1674.McG.G110713Br1	ERS1303628
1674.McG.G110715Ly5	ERS1303653
1674.McG.P110718Cps3	ERS1303678
1674.McG.P110718Cps2	ERS1303677
1674.McG.F110714Jr3H3	ERS1303581
1674.McG.G110718Ha3	ERS1303656
1674.McG.G110718Ha6	ERS1303657
1674.McG.F110714Ch2R4	ERS1303557
1674.McG.F110714Ch2R5	ERS1303558
1674.McG.F110714Ch2R2	ERS1303555
1674.McG.F110714Ch2R3	ERS1303556
1674.McG.F110714Ch2R1	ERS1303554
1674.McG.G110714Jr3	ERS1303650
1674.McG.G110714Jr1	ERS1303649
1674.McG.F110714Jr5R3	ERS1303596
1674.McG.P110715Ly3	ERS1303675
1674.McG.F110715Ly2R5	ERS1303607
1674.McG.F110715Ly2R4	ERS1303606
1674.McG.F110715Ly2R3	None
1674.McG.F110714Ch1H1	ERS1303540
1674.McG.F110714Ch1H2	ERS1303541
1674.McG.F110714Ch1H3	ERS1303542
1674.McG.F110714Ch1H4	ERS1303543
1674.McG.F110714Ch3H4	ERS1303562
1674.McG.F110714Ch3H5	ERS1303563
1674.McG.F110715Ly6H1	ERS1303618
1674.McG.F110715Ly6H4	ERS1303621
1674.McG.F110715Ly6H5	ERS1303622
1674.McG.P110718Sm1	ERS1303685
1674.McG.P110718Sm2	ERS1303686
1674.McG.P110718Sm3	ERS1303687
1674.McG.F110714Jr1R5	ERS1303578
1674.McG.F110714Jr1R4	ERS1303577
1674.McG.P110718Nm1	ERS1303682
1674.McG.P110718Nm3	ERS1303684
1674.McG.P110718Nm2	ERS1303683
1674.McG.F110714Jr1H1	ERS1303569
1674.McG.F110714Jr3H2	ERS1303580
1674.McG.F110714Jr3H1	ERS1303579
1674.McG.F110714Jr3H5	ERS1303583
1674.McG.F110714Jr3H4	ERS1303582
1674.McG.P110714Jr1	ERS1303670
1674.McG.P110714Jr2	ERS1303671
1674.McG.P110714Jr3	ERS1303672
1674.McG.P110718Wd3	ERS1303690
1674.McG.P110718Gl3	ERS1303681
1674.McG.P110718Gl2	ERS1303680
1674.McG.P110718Gl1	ERS1303679
1674.McG.F110714Ch2H1	ERS1303550
1674.McG.F110714Ch2H3	ERS1303552
1674.McG.F110714Ch2H2	ERS1303551
1674.McG.F110714Ch2H4	ERS1303553
1674.McG.G110718Ha2	ERS1303655
1674.McG.F110715Ly5H1	ERS1303608
1674.McG.F110715Ly5H3	ERS1303610
1674.McG.F110715Ly5H2	ERS1303609
1674.McG.F110715Ly5H5	ERS1303612
1674.McG.F110715Ly5H4	ERS1303611
1674.McG.F110714Jr5R2	ERS1303595
1674.McG.F110714Jr5R1	ERS1303594
1674.McG.G110719Di3	ERS1303659
1674.McG.P110718Wd2	ERS1303689
1674.McG.P110718Wd1	ERS1303688
1674.McG.G110714Ch2	ERS1303647
1674.McG.G110714Ch3	ERS1303648
1674.McG.G110714Ch1	ERS1303646
1674.McG.P110714Ch3	ERS1303666
1674.McG.P110714Ch2	ERS1303665
1674.McG.P110714Ch1	ERS1303664
1674.McG.G110714Jr5	ERS1303651
1674.McG.F110715Ly5R5	ERS1303617
1674.McG.F110715Ly5R4	ERS1303616
1674.McG.F110715Ly5R3	ERS1303615
1674.McG.F110715Ly5R2	ERS1303614
1674.McG.F110715Ly5R1	ERS1303613
1674.McG.F110714Jr5H5	ERS1303593
1674.McG.F110714Jr5H4	ERS1303592
1674.McG.F110714Jr5H2	ERS1303590
1674.McG.G110713Sj1	ERS1303634
1674.McG.G110713Sj3	ERS1303636
1674.McG.G110713Sj2	ERS1303635
1674.McG.F110714Ch1R1	ERS1303545
1674.McG.F110714Ch1R2	ERS1303546
1674.McG.F110714Ch1R3	ERS1303547
1674.McG.F110714Ch1R4	ERS1303548
1674.McG.F110714Ch1R5	ERS1303549
1674.McG.G110713Lb6	ERS1303633
1674.McG.G110713Lb4	ERS1303631
1674.McG.G110713Lb5	ERS1303632
1674.McG.F110714Ch3R2	ERS1303565
1674.McG.F110714Ch3R3	ERS1303566
1674.McG.F110714Ch3R1	ERS1303564
1674.McG.F110714Ch3R4	ERS1303567
1674.McG.F110714Ch3R5	ERS1303568
1674.McG.F110715Ly6R1	ERS1303623
1674.McG.F110715Ly6R2	ERS1303624
1674.McG.F110715Ly6R3	ERS1303625
1674.McG.F110715Ly6R4	ERS1303626
1674.McG.F110715Ly6R5	ERS1303627
1674.McG.F110714Jr5R5	ERS1303598
1674.McG.F110714Jr5R4	ERS1303597
1674.McG.G110713Sm5	ERS1303639
1674.McG.G110713Sm1	ERS1303637
1674.McG.G110713Sm3	ERS1303638
1674.McG.G110719Di1	ERS1303658
1674.McG.F110715Ly2R1	ERS1303604
1674.McG.F110715Ly2R2	ERS1303605
1674.McG.G110715Ly6	ERS1303654
1674.McG.F110715Ly2H4	ERS1303602
1674.McG.F110714Jr1H3	ERS1303571
1674.McG.F110714Jr1H2	ERS1303570
1674.McG.F110714Jr1H5	ERS1303573
1674.McG.F110714Jr1H4	ERS1303572
1674.McG.F110715Ly6H2	ERS1303619
1674.McG.F110715Ly6H3	ERS1303620
1674.McG.F110714Jr1R3	ERS1303576
1674.McG.F110714Jr1R2	ERS1303575
1674.McG.F110714Jr1R1	ERS1303574
1674.McG.F110714Jr3R5	ERS1303588
1674.McG.F110714Jr3R4	ERS1303587
1674.McG.F110714Jr3R1	ERS1303584
1674.McG.F110714Jr3R3	ERS1303586
1674.McG.F110714Jr3R2	ERS1303585
