sample_name	sample_accession
1632.E3B02.r.EMPbird.v4.NoIndex.L001	ERS1247364
1632.E5D01.r.EMPbird.v4.NoIndex.L001	ERS1247612
1632.E3E06.r.EMPbird.v4.NoIndex.L001	ERS1247415
1632.E2H04.r.EMPbird.v4.NoIndex.L001	ERS1247340
1632.E6D06.r.EMPbird.v4.NoIndex.L001	ERS1247711
1632.E1G03.r.EMPbird.v4.NoIndex.L001	ERS1247221
1632.E4C12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247507
1632.E3F11.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247435
1632.E4G04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247551
1632.E2C02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247271
1632.E4B01.r.EMPbird.v4.NoIndex.L001	ERS1247483
1632.E1F04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247209
1632.E6F02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247727
1632.E3E08.r.EMPbird.v4.NoIndex.L001	ERS1247418
1632.E5H12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247675
1632.E5B06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247590
1632.E3C07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247383
1632.E6B07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247692
1632.E4B08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247490
1632.E4H11.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247570
1632.E5A01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247572
1632.E2B05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247261
1632.E2H01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247336
1632.E4E07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247527
1632.E6E04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247720
1632.E1F01.r.EMPbird.v4.NoIndex.L001	ERS1247206
1632.E5E09.r.EMPbird.v4.NoIndex.L001	ERS1247634
1632.E3B07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247369
1632.E4H09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	ERS1247568
