sample_name	sample_accession
925.ID5y	ERS1610457
925.IE2x	ERS1610462
925.IE2y	ERS1610463
925.IE2z	ERS1610464
925.IA3z	ERS1610408
925.IA3y	ERS1610407
925.SD2x	ERS1610663
925.IF4y	ERS1610484
925.IF4x	ERS1610483
925.SI3z	ERS1610743
925.SH3x	ERS1610726
925.SH3y	ERS1610727
925.SH3z	ERS1610728
925.SG3z	ERS1610713
925.SG3y	ERS1610712
925.SD2z	ERS1610665
925.SD2y	ERS1610664
925.IA3x	ERS1610406
925.SI3y	ERS1610742
925.SI3x	ERS1610741
925.SM2z	ERS1610787
925.SB3z	ERS1610638
925.SB3x	ERS1610636
925.SB3y	ERS1610637
925.IC5z	ERS1610444
925.IC5y	ERS1610443
925.IC5x	ERS1610442
925.IH2y	ERS1610507
925.IH2x	ERS1610506
925.IH2z	ERS1610508
925.ID5x	ERS1610456
925.ID5z	ERS1610458
925.IE3z	ERS1610467
925.IN5z	ERS1610599
925.IN5x	ERS1610597
925.IN5y	ERS1610598
925.IE3y	ERS1610466
925.IE3x	ERS1610465
925.IM5y	ERS1610584
925.IM5x	ERS1610583
925.IM5z	ERS1610585
925.IG3y	ERS1610495
925.SN2x	ERS1610793
925.IG3z	ERS1610496
925.SF4z	ERS1610701
925.SF4y	ERS1610700
925.SF4x	ERS1610699
925.IF3x	ERS1610480
925.SI4y	ERS1610745
925.SI4z	ERS1610746
925.IB2z	ERS1610420
925.IB2y	ERS1610419
925.IB2x	ERS1610418
925.IC4x	ERS1610439
925.IC4y	ERS1610440
925.IA2x	ERS1610403
925.IC4z	ERS1610441
925.SE4x	ERS1610684
925.SE4y	ERS1610685
925.SE4z	ERS1610686
925.SG4z	ERS1610716
925.SG4x	ERS1610714
925.SG4y	ERS1610715
925.ID2y	ERS1610448
925.IJ3x	ERS1610535
925.IJ3y	ERS1610536
925.IJ3z	ERS1610537
925.ID2x	ERS1610447
925.IK3y	ERS1610551
925.IK3x	ERS1610550
925.IK3z	ERS1610552
925.ID2z	ERS1610449
925.IA2z	ERS1610405
925.SC4z	ERS1610656
925.SC4x	ERS1610654
925.SC4y	ERS1610655
925.SG3x	ERS1610711
925.II1y	ERS1610516
925.II1x	ERS1610515
925.II1z	ERS1610517
925.IO2z	ERS1610605
925.IO2x	ERS1610603
925.IO2y	ERS1610604
925.SA4x	ERS1610624
925.SF3z	ERS1610698
925.SF3x	ERS1610696
925.SF3y	ERS1610697
925.IC2x	ERS1610433
925.SJ3y	ERS1610757
925.IB5z	ERS1610429
925.IB5x	ERS1610427
925.IB5y	ERS1610428
925.SN1x	ERS1610792
925.IC1z	ERS1610432
925.IC1y	ERS1610431
925.IC1x	ERS1610430
925.IM1y	ERS1610575
925.IM1x	ERS1610574
925.IM1z	ERS1610576
925.SA2z	ERS1610620
925.SA2x	ERS1610618
925.SA2y	ERS1610619
925.SE1z	ERS1610677
925.SE1y	ERS1610676
925.SE1x	ERS1610675
925.IL2y	ERS1610563
925.IL2x	ERS1610562
925.IL2z	ERS1610564
925.IK4x	ERS1610553
925.IK4y	ERS1610554
925.IK4z	ERS1610555
925.IB4x	ERS1610424
925.II2x	ERS1610518
925.II2y	ERS1610519
925.II2z	ERS1610520
925.IB4z	ERS1610426
925.SM3y	ERS1610789
925.SM3x	ERS1610788
925.SM3z	ERS1610790
925.SB2y	ERS1610634
925.SB2x	ERS1610633
925.SB2z	ERS1610635
925.SK3x	ERS1610771
925.II5y	ERS1610528
925.II5x	ERS1610527
925.II5z	ERS1610529
925.IH1x	ERS1610503
925.IH1y	ERS1610504
925.IH1z	ERS1610505
925.IB1z	ERS1610417
925.IB1x	ERS1610415
925.IB1y	ERS1610416
925.IG4x	ERS1610497
925.IG4y	ERS1610498
925.IG4z	ERS1610499
925.IF2z	ERS1610479
925.IF2y	ERS1610478
925.IF2x	ERS1610477
925.IL1x	ERS1610559
925.IL1y	ERS1610560
925.IL1z	ERS1610561
925.SE5z	ERS1610689
925.SE5y	ERS1610688
925.SE5x	ERS1610687
925.SH2z	ERS1610725
925.SH2y	ERS1610724
925.SH2x	ERS1610723
925.SD1z	ERS1610662
925.SD1x	ERS1610660
925.SD1y	ERS1610661
925.SC1y	ERS1610646
925.SC1x	ERS1610645
925.SC1z	ERS1610647
925.SB5x	ERS1610642
925.SB5y	ERS1610643
925.SB5z	ERS1610644
925.IH4z	ERS1610514
925.IH4y	ERS1610513
925.IH4x	ERS1610512
925.IN3x	ERS1610591
925.IN3y	ERS1610592
