sample_name	sample_accession
1642.MS00058	ERS1300687
1642.MS00060	ERS1300689
1642.MS00118	ERS1300747
1642.MS00119	ERS1300748
1642.MS00120	ERS1300749
1642.MS00243	ERS1300872
1642.MS00242	ERS1300871
1642.MS00241	ERS1300870
1642.MS00240	ERS1300869
1642.MS00247	ERS1300876
1642.MS00246	ERS1300875
1642.MS00245	ERS1300874
1642.MS00244	ERS1300873
1642.MS00562	ERS1301191
1642.MS00563	ERS1301192
1642.MS00249	ERS1300878
1642.MS00248	ERS1300877
1642.MS00566	ERS1301195
1642.MS00567	ERS1301196
1642.MS00564	ERS1301193
1642.MS00565	ERS1301194
1642.MS00098	ERS1300727
1642.MS00099	ERS1300728
1642.MS00092	ERS1300721
1642.MS00093	ERS1300722
1642.MS00090	ERS1300719
1642.MS00091	ERS1300720
1642.MS00096	ERS1300725
1642.MS00097	ERS1300726
1642.MS00094	ERS1300723
1642.MS00095	ERS1300724
1642.MS00148	ERS1300777
1642.MS00149	ERS1300778
1642.MS00418	ERS1301047
1642.MS00419	ERS1301048
1642.MS00140	ERS1300769
1642.MS00141	ERS1300770
1642.MS00142	ERS1300771
1642.MS00143	ERS1300772
1642.MS00144	ERS1300773
1642.MS00145	ERS1300774
1642.MS00146	ERS1300775
1642.MS00147	ERS1300776
1642.MS00561	ERS1301190
1642.MS00003	ERS1300632
1642.MS00104	ERS1300733
1642.MS00529	ERS1301158
1642.MS00105	ERS1300734
1642.MS00511	ERS1301140
1642.MS00510	ERS1301139
1642.MS00100	ERS1300729
1642.MS00101	ERS1300730
1642.MS00102	ERS1300731
1642.MS00103	ERS1300732
1642.MS00468	ERS1301097
1642.MS00450	ERS1301079
1642.MS00282	ERS1300911
1642.MS00342	ERS1300971
1642.MS00343	ERS1300972
1642.MS00340	ERS1300969
1642.MS00341	ERS1300970
1642.MS00346	ERS1300975
1642.MS00347	ERS1300976
1642.MS00344	ERS1300973
1642.MS00345	ERS1300974
1642.MS00108	ERS1300737
1642.MS00348	ERS1300977
1642.MS00349	ERS1300978
1642.MS00109	ERS1300738
1642.MS00432	ERS1301061
1642.MS00525	ERS1301154
1642.MS00520	ERS1301149
1642.MS00521	ERS1301150
1642.MS00117	ERS1300746
1642.MS00116	ERS1300745
1642.MS00115	ERS1300744
1642.MS00114	ERS1300743
1642.MS00113	ERS1300742
1642.MS00112	ERS1300741
1642.MS00111	ERS1300740
1642.MS00110	ERS1300739
1642.MS00449	ERS1301078
1642.MS00036	ERS1300665
1642.MS00037	ERS1300666
1642.MS00030	ERS1300659
1642.MS00031	ERS1300660
1642.MS00599	ERS1301228
1642.MS00598	ERS1301227
1642.1BLANK	ERS1300624
1642.MS00593	ERS1301222
1642.MS00592	ERS1301221
1642.MS00591	ERS1301220
