sample_name	sample_accession
1622.UPSub.19.20	ERS1257535
1622.UPSub.17.18	ERS1257532
1622.UPSub.21.22	ERS1257538
1622.UPSub.13.14	ERS1257525
1622.UPSub.2.3	ERS1257537
1622.UPSub.0.1	ERS1257508
1622.UPSub.11.12	ERS1257521
1622.UPSub.18.19	ERS1257534
1622.UPSub.8.9	ERS1257607
1622.UPSub.6.7	ERS1257588
1622.UPSub.4.5	ERS1257567
1622.UPSub.15.16	ERS1257528
1622.UPSub.12.13	ERS1257523
1622.UPSub.9.10	ERS1257618
1622.UPSub.10.11	ERS1257510
1622.UPSub.16.17	ERS1257530
1622.UPSub.14.15	ERS1257526
1622.UPSub.7.8	ERS1257598
1622.UPSub.5.6	ERS1257577
1622.UPSub.3.4	ERS1257558
1622.UPSub.1.2	ERS1257509
1622.UPSub.23.24	ERS1257542
1622.UPSub.22.23	ERS1257539
1622.UPMain.32.33A	ERS1257429
1622.UPMain.32.33B	ERS1257430
1622.UPMain.37.38A	ERS1257439
1622.UPMain.37.38B	ERS1257440
1622.UPMain.22.23	ERS1257413
1622.UPMain.62.63	ERS1257468
1622.UPSub.58.59	ERS1257586
1622.UPMain.8.9	ERS1257487
1622.PP.91.92A	ERS1257331
1622.PP.91.92B	ERS1257332
1622.UPMain.13.14A	ERS1257386
1622.UPMain.13.14B	ERS1257387
1622.UPSub.68.69	ERS1257597
1622.DP.21.22B	ERS1257290
1622.UPMain.2.3	ERS1257410
1622.UPSub.102.103	ERS1257513
1622.UPMain.0.1	ERS1257333
1622.UPMain.6.7	ERS1257467
1622.UPSub.191.192	ERS1257536
1622.UPMain.78.79	ERS1257485
1622.UPMain.30.31A	ERS1257425
1622.UPMain.30.31B	ERS1257426
1622.UPMain.138.139	ERS1257396
1622.UPMain.101.102B	ERS1257340
1622.UPMain.137.138	ERS1257395
1622.UPMain.100.101B	ERS1257338
1622.UPMain.101.102A	ERS1257339
1622.UPSub.47.48	ERS1257574
1622.UPMain.24.25	ERS1257415
1622.UPMain.127.128	ERS1257383
1622.UPMain.38.39A	ERS1257441
1622.UPMain.38.39B	ERS1257442
1622.UPMain.112.113	ERS1257360
1622.UPSub.30.31	ERS1257559
1622.UPMain.111.112	ERS1257359
1622.UPMain.17.18B	ERS1257405
