sample_name	sample_accession
1039.P.Massambaba.SA.1.4	ERS1280071
1039.I.Fundao.HB	ERS1280049
1039.P.Dois.Rios.SB	ERS1280068
1039.P.Dois.Rios.SA	ERS1280066
1039.P.Dois.Rios.HA	ERS1280065
1039.I.Fundao.SB	ERS1280051
1039.L.Jacarepia.SB.1.6	ERS1280056
1039.I.Fundao.SA	ERS1280050
1039.L.Jacarepia.HB	ERS1280053
1039.P.Abraao.SA.	ERS1280062
1039.P.Massambaba.SA.1.4.a	ERS1280072
1039.L.Jacarepia.SB	ERS1280055
1039.L.Jacarepia.SA	ERS1280054
1039.L.Vermelha.SA	ERS1280058
1039.L.Vermelha.SB	ERS1280059
1039.L.Vermelha.HC	ERS1280057
1039.P.Abraao.SB	ERS1280064
1039.P.Abraao.SA.1.4	ERS1280063
1039.P.Abraao.HA	ERS1280061
1039.P.Dois.Rios.SA.1.7	ERS1280067
1039.L.Vermelha.SC.2.3	ERS1280060
1039.I.Fundao.SB.7.8	ERS1280052
1039.P.Massambaba.SA	ERS1280070
1039.P.Massambaba.HA	ERS1280069
1039.P.Massambaba.SB	ERS1280073
