sample_name	sample_accession
1453.45796SDZ4.F1.Pnem.stom	None
1453.45796SDZ4.G3.Pnem.feces	None
1453.54167SDZ1.B6.Tfran.feces	ERS1229164
1453.44923SDZ5.H8.Pnem.stom	ERS1228996
1453.45661SDZ2.F8.Pnem.stom	ERS1229080
1453.54374SDZ1.D7.Tcris.feces	ERS1229182
1453.44923SDZ3.C8.Pnem.stom	ERS1228980
1453.44568SDZ5.F1.Pnem.stom	ERS1228925
1453.45661SDZ2.G1.Pnem.stom	ERS1229081
1453.45560SDZ2.D3.Pnem.feces	ERS1229057
1453.46834SDZ4.B8.Pnem.stom	ERS1229125
1453.44568SDZ5.G8.Pnem.stom	ERS1228940
1453.54323SDZ1.C2.Cguer.duod	ERS1229168
1453.45560SDZ2.C3.Pnem.stom	ERS1229054
1453.45796SDZ4.F2.Pnem.stom	ERS1229091
1453.46834SDZ4.B1.Pnem.stom	ERS1229118
1453.54379SDZ1.G3.Tcris.stom	ERS1229202
1453.54167SDZ1.B4.Tfran.ileum	ERS1229162
1453.45560SDZ2.E6.Pnem.feces	ERS1229063
1453.54432SDZ1.H3.Tfran.stom	ERS1229210
1453.44568SDZ5.F7.Pnem.stom	ERS1228931
1453.44923SDZ2.H4.Pnem.stom	ERS1228952
1453.54167SDZ1.B1.Tfran.feces	ERS1229159
1453.44568SDZ5.E4.Pnem.stom	ERS1228920
1453.48000SDZ3.H5.Cang.stom	ERS1229145
1453.54167SDZ1.A7.Tfran.feces	ERS1229157
1453.45300SDZ4.E1.Pnem.stom	ERS1229036
1453.45661SDZ2.F5.Pnem.stom	ERS1229077
1453.54167SDZ1.A1.Tfran.stom	ERS1229151
1453.44899SDZ3.G2.Pnem.stom	ERS1228942
1453.48000SDZ3.H8.Cang.colon	ERS1229148
1453.46834SDZ4.A8.Pnem.feces	ERS1229117
1453.44923SDZ3.B8.Pnem.stom	ERS1228972
1453.54323SDZ1.D1.Cguer.stom	ERS1229175
1453.44568SDZ5.D8.Pnem.stom	ERS1228916
1453.44923SDZ5.H3.Pnem.stom	ERS1228991
1453.45560SDZ2.D8.Pnem.stom	ERS1229060
1453.44568SDZ5.F4.Pnem.stom	ERS1228928
1453.44568SDZ5.H1.Pnem.stom	ERS1228941
1453.54432SDZ2.H8.Tfran.feces	ERS1229219
1453.46834SDZ4.B5.Pnem.duod	ERS1229122
1453.45796SDZ4.F7.Pnem.stom	ERS1229096
1453.44899SDZ3.H1.Pnem.jeju	ERS1228949
1453.45560SDZ2.D4.Pnem.stom	ERS1229058
1453.44923SDZ3.A4.Pnem.stom	ERS1228960
1453.46834SDZ4.C5.Pnem.feces	ERS1229130
1453.54379SDZ1.F5.Tcris.feces	ERS1229196
1453.44923SDZ3.C1.Pnem.stom	ERS1228973
1453.46834SDZ4.A5.Pnem.stom	ERS1229114
1453.54374SDZ1.D8.Tcris.stom	ERS1229183
1453.44568SDZ5.D6.Pnem.duod	ERS1228914
1453.45300SDZ4.D8.Pnem.stom	ERS1229035
1453.45187SDZ5.B7.Tfran.feces	ERS1229011
1453.44568SDZ5.E5.Pnem.stom	ERS1228921
1453.48000SDZ4.A2.Cang.cecum	ERS1229150
1453.45661SDZ2.F1.Pnem.stom	ERS1229073
1453.45187SDZ5.C1.Tfran.stom	ERS1229013
1453.44568SDZ5.D4.Pnem.stom	ERS1228912
1453.44568SDZ5.C8.Pnem.stom	ERS1228908
1453.45661SDZ2.F2.Pnem.duod	ERS1229074
1453.45300SDZ3.F8.Pnem.stom	ERS1229029
1453.54323SDZ1.D5.Cguer.stom	ERS1229179
1453.54432SDZ2.A2.Tfran.feces	ERS1229216
1453.45661SDZ2.E8.Pnem.colon	ERS1229072
1453.45560SDZ2.C4.Pnem.cecum	ERS1229055
1453.44923SDZ3.A3.Pnem.stom	ERS1228959
1453.44899SDZ3.G3.Pnem.stom	ERS1228943
1453.44568SDZ5.E8.Pnem.stom	ERS1228924
1453.44923SDZ3.B4.Pnem.stom	ERS1228968
1453.54323SDZ1.D3.Cguer.stom	ERS1229177
1453.46834SDZ4.D3.Pnem.stom	ERS1229136
1453.44923SDZ3.D8.Pnem.stom	ERS1228988
1453.45300SDZ3.E4.Pnem.stom	ERS1229018
1453.44923SDZ3.B7.Pnem.stom	ERS1228971
1453.44923SDZ3.E1.Pnem.stom	ERS1228989
1453.54374SDZ1.E8.Tcris.cecum	ERS1229191
1453.45560SDZ2.G4.Pnem.feces	ERS1229064
1453.44568SDZ5.G4.Pnem.feces	ERS1228936
1453.45796SDZ4.H1.Pnem.feces	ERS1229105
1453.44923SDZ3.B5.Pnem.stom	ERS1228969
1453.44923SDZ5.H7.Pnem.stom	ERS1228995
1453.44568SDZ5.C6.Pnem.stom	ERS1228906
