sample_name	sample_accession
1242.ME24Sep02EB1R1	ERS1266373
1242.ME13Jul06EB2R1	ERS1266339
1242.ME28Feb11EB1R1	ERS1266386
1242.ME13Aug01EB2R3	ERS1266338
1242.ME14Apr00EB1R1	ERS1266343
1242.ME28Nov00EB2R1	ERS1266387
1242.ME14Sep10EB1R1	ERS1266345
1242.ME15Mar00EB1R2	ERS1266348
1242.ME26Feb10EB1R2	ERS1266377
1242.ME01Aug02EB1R1	ERS1266301
1242.ME01Jul02EB1R1	ERS1266302
1242.ME01Nov07EB1R2	ERS1266303
1242.ME02Aug05EB2R2	ERS1266304
1242.ME02Jul01EB2R1	ERS1266305
1242.ME02Oct08EB2R1	ERS1266306
1242.ME02Sep04EB1R2	ERS1266307
1242.ME03Nov06EB2R1	ERS1266308
1242.ME04Dec09EB1R3	ERS1266309
1242.ME04Jun01EB1R2	ERS1266310
1242.ME04May06EB2R1	ERS1266311
1242.ME05Jun02EB1R2	ERS1266312
1242.ME05Jun08EB1R2	ERS1266313
1242.ME06Aug04EB2R1	ERS1266314
1242.ME06Jun00EB1R2	ERS1266315
1242.ME06Nov01EB1R1	ERS1266316
1242.ME06Oct06EB2R1	ERS1266317
1242.ME07Aug03EB1R1	ERS1266318
1242.ME07Aug08EB2R2	ERS1266319
1242.ME07May02EB1R2	ERS1266320
1242.ME08Jul04EB1R2	ERS1266321
1242.ME08Nov05EB2R1	ERS1266322
1242.ME08Sep03EB1R1	ERS1266323
1242.ME08Sep06EB2R1	ERS1266324
1242.ME09Jun03EB1R1	ERS1266325
1242.ME09Jun06EB2R1	ERS1266326
1242.ME09Jun09EB1R2	ERS1266327
1242.ME10May08EB1R1	ERS1266328
1242.ME10Oct05EB2R2	ERS1266329
1242.ME11Apr05EB2R2	ERS1266330
1242.ME11Feb05EB2R1	ERS1266331
1242.ME11Jun04EB1R2	ERS1266332
1242.ME11May00EB1R2	ERS1266333
1242.ME11May07EB1R2	ERS1266334
1242.ME11Nov03EB1R2	ERS1266335
1242.ME12Oct04EB1R2	ERS1266336
1242.ME12Oct07EB1R2	ERS1266337
1242.ME13Mar01EB1R2	ERS1266340
1242.ME13May03EB1R1	ERS1266341
1242.ME13Oct10EB1R1	ERS1266342
1242.ME14Nov09EB1R2	ERS1266344
1242.ME15Jul10EB1R1	ERS1266346
1242.ME15Jun10EB1R2	ERS1266347
1242.ME15Oct03EB1R2	ERS1266349
1242.ME17Apr02EB1R1	ERS1266350
1242.ME17Aug00EB2R1	ERS1266351
1242.ME17Aug10EB1R1	ERS1266352
1242.ME17Jan01EB1R1	ERS1266353
1242.ME17Jul00EB1R1	ERS1266354
1242.ME18May10EB1R2	ERS1266355
1242.ME19Jan11EB1R1	ERS1266356
1242.ME19May04EB1R2	ERS1266357
1242.ME19Nov10EB1R1	ERS1266358
1242.ME19Sep05EB2R2	ERS1266359
1242.ME1Jun11EB1R1	ERS1266360
1242.ME20Apr10EB1R2	ERS1266361
1242.ME20Aug07EB2R2	ERS1266362
1242.ME20Nov02EB1R1	ERS1266363
1242.ME20Oct02EB1R1	ERS1266364
1242.ME21May01EB2R2	ERS1266365
1242.ME22Apr01EB1R2	ERS1266366
1242.ME22Aug06EB2R1	ERS1266367
1242.ME22Jun05EB2R2	ERS1266368
1242.ME22Oct01EB2R1	ERS1266369
1242.ME23Jul07EB2R2	ERS1266370
1242.ME24Feb09EB1R2	ERS1266371
1242.ME24Oct00EB2R1	ERS1266372
1242.ME25Jun07EB2R1	ERS1266374
1242.ME25May05EB2R2	ERS1266375
1242.ME26Aug09EB1R2	ERS1266376
1242.ME26Jun09EB1R1	ERS1266378
1242.ME26Oct09EB2R1	ERS1266379
1242.ME26Sep00EB2R1	ERS1266380
1242.ME26Sep01EB2R1	ERS1266381
1242.ME27Jun03EB1R1	ERS1266382
1242.ME27Sep07EB1R2	ERS1266383
1242.ME27Sep09EB2R1	ERS1266384
1242.ME28Feb02EB1R2	ERS1266385
1242.ME29Apr09EB1R1	ERS1266388
1242.ME29Aug02EB1R1	ERS1266389
1242.ME29Jan10EB1R1	ERS1266390
1242.ME29May07EB2R1	ERS1266391
1242.ME30Jul09EB1R2	ERS1266392
1242.ME30Sep04EB1R2	ERS1266393
1242.ME31Aug05EB2R1	ERS1266394
1242.ME3Dec10EB1R1	ERS1266395
1242.ME3May11EB1R1	ERS1266396
