sample_name	sample_accession
958.O.28	ERS1280582
958.N.08	ERS1280534
958.N.03	ERS1280529
958.N.05	ERS1280531
958.N.27	ERS1280553
958.N.22	ERS1280548
958.O.25	ERS1280579
958.O.07	ERS1280561
958.O.15	ERS1280569
958.O.16	ERS1280570
958.O.17	ERS1280571
958.O.18	ERS1280572
958.O.19	ERS1280573
958.O.20	ERS1280574
958.O.21	ERS1280575
958.O.22	ERS1280576
958.O.23	ERS1280577
958.O.24	ERS1280578
958.O.26	ERS1280580
958.N.01	ERS1280527
958.N.02	ERS1280528
958.N.04	ERS1280530
958.N.06	ERS1280532
958.N.07	ERS1280533
958.N.09	ERS1280535
958.N.10	ERS1280536
958.N.11	ERS1280537
958.N.12	ERS1280538
958.N.13	ERS1280539
958.N.15	ERS1280541
958.N.16	ERS1280542
958.N.18	ERS1280544
958.N.20	ERS1280546
958.N.21	ERS1280547
958.N.23	ERS1280549
958.N.24	ERS1280550
958.N.25	ERS1280551
958.N.26	ERS1280552
958.N.28	ERS1280554
958.N.17	ERS1280543
958.N.19	ERS1280545
958.O.27	ERS1280581
958.O.04	ERS1280558
958.N.14	ERS1280540
958.O.01	ERS1280555
958.O.02	ERS1280556
958.O.03	ERS1280557
958.O.05	ERS1280559
958.O.06	ERS1280560
958.O.08	ERS1280562
958.O.09	ERS1280563
958.O.10	ERS1280564
958.O.11	ERS1280565
958.O.12	ERS1280566
958.O.13	ERS1280567
958.O.14	ERS1280568
