	observed_species
M11Plmr.7.378534	1620
F11Plmr.7.378523	1443
M31Plmr.7.378506	1226
M31Tong.7.378603	756
AQC1cm.7.378625	2384
M11Plmr.6.378531	1616
M31Plmr.6.378592	1196
F11Plmr.6.378587	1377
M31Tong.6.378608	745
LMEpi24M.6.378590	1132
F11Tong.6.378670	797
M11Tong.6.378633	1774
CC1.6.378513	4354
M31Plmr.5.378631	1193
M11Plmr.5.378627	1663
F11Plmr.5.378622	1463
NP5.5.378593	1104
F11Tong.5.378539	781
AQC4cm.5.378630	2365
M31Fcsw.5.378680	1054
CC1.5.378505	4298
M11Plmr.3.378640	1624
M31Plmr.3.378571	1280
F11Plmr.3.378609	1495
AQC4cm.3.378580	2327
M31Fcsw.3.378512	1143
M31Plmr.2.378540	1398
M11Plmr.2.378538	1677
F11Plmr.2.378546	1533
M31Tong.2.378653	757
F11Tong.2.378637	911
M31Plmr.1.378515	1546
M11Plmr.1.378574	1906
F11Plmr.1.378650	1674
F11Fcsw.1.378686	1174
M31Plmr.4.378564	1345
M11Plmr.4.378636	1689
F11Plmr.4.378632	1506
TRRsed3.4.378629	3037
M11Tong.4.378611	1745
Even2.4.378567	871
AQC4cm.4.378647	2360
F11Fcsw.4.378563	1069
SV1.7.378550	3763
SV1.6.378565	3754
SV1.5.378604	3821
SV1.3.378663	3754
SV1.2.378577	3918
SV1.1.378648	4035
SV1.4.378528	3875
NP5.3.378605	1233
NP3.2.378624	1445
NP3.1.378549	1569
CC1.3.378596	4438
CC1.1.378618	4566
AQC7cm.6.378675	2795
AQC1cm.5.378621	2258
AQC7cm.2.378569	2728
CC1.7.378614	4358
CC1.2.378656	4394
CC1.4.378684	4446
NP5.6.378692	1145
NP5.2.378689	1299
NP5.1.378681	1398
NP5.4.378576	1275
M31Fcsw.7.378554	1010
M11Fcsw.7.378690	886
Even1.7.378585	855
Even2.7.378589	708
Even3.7.378570	706
TS28.7.378581	1075
CL3.7.378524	3934
F11Fcsw.7.378599	908
TS29.7.378516	803
M11Fcsw.6.378646	867
Even1.6.378691	873
TS29.6.378566	750
M31Fcsw.6.378623	1015
Even2.6.378643	679
TS28.6.378694	1090
Even3.6.378557	711
F11Fcsw.6.378591	917
Even3.5.378598	726
M11Fcsw.5.378527	893
TS29.5.378661	798
Even1.5.378606	856
Even2.5.378533	746
F11Fcsw.5.378586	931
TS28.5.378677	1072
M11Fcsw.3.378617	932
TS29.3.378658	825
Even2.3.378543	827
Even3.3.378525	798
Even1.3.378674	919
F11Fcsw.3.378693	972
TS28.3.378502	1130
SLEpi20M.3.378559	1251
Even3.2.378615	1000
M31Fcsw.2.378582	1185
Even2.2.378572	955
M11Fcsw.2.378610	1060
TS29.2.378578	886
Even1.2.378619	1011
TS28.2.378509	1150
F11Fcsw.2.378667	1017
M31Fcsw.1.378522	1331
M11Fcsw.1.378517	1163
Even1.1.378500	1095
Even2.1.378535	1066
TS28.1.378579	1325
TS29.1.378657	1031
Even3.1.378584	1110
M11Fcsw.4.378545	939
M31Fcsw.4.378672	1140
Even1.4.378655	1026
TS29.4.378597	900
Even3.4.378541	862
TS28.4.378639	1209
F11Tong.7.378695	791
M31Tong.5.378660	752
M31Tong.3.378685	730
F11Tong.3.378537	829
LMEpi24M.3.378514	1150
M31Tong.1.378612	837
F11Tong.1.378616	1038
F11Tong.4.378664	893
M31Tong.4.378553	776
AQC7cm.7.378521	2754
AQC4cm.7.378526	2403
AQC4cm.6.378511	2429
AQC1cm.6.378645	2365
AQC7cm.5.378555	2727
AQC7cm.3.378573	2733
AQC4cm.2.378503	2325
AQC1cm.2.378601	2208
AQC4cm.1.378626	2622
AQC7cm.1.378628	3088
AQC7cm.4.378594	2782
TRRsed3.7.378662	2876
TRRsed2.6.378529	2739
TRRsed2.5.378620	2719
TRRsed3.5.378532	2898
TRRsed2.3.378575	2762
TRRsed3.3.378682	3029
TRRsed3.2.378668	3088
TRRsed2.2.378508	2843
TRRsed2.1.378519	2958
TRRsed3.1.378551	3121
TRRsed2.4.378641	2821
TRRsed2.7.378536	2644
NP5.7.378666	1166
TRRsed1.7.378671	3340
TRRsed3.6.378568	2871
TRRsed1.6.378552	3324
TRRsed1.5.378676	3382
TRRsed1.3.378518	3518
NP3.3.378607	1274
TRRsed1.2.378560	3534
TRRsed1.1.378665	3604
TRRsed1.4.378634	3551
CL3.3.378600	3852
NP3.7.378556	1245
NP3.6.378602	1259
NP3.5.378558	1232
NP3.4.378651	1338
CL3.6.378510	3914
CL3.5.378638	3904
CL3.2.378520	3915
CL3.1.378507	4125
CL3.4.378649	3978
SLEpi20M.4.378595	1373
LMEpi24M.1.378683	1397
AQC1cm.3.378547	2239
AQC1cm.4.378504	2230
AQC1cm.1.378562	2443
SLEpi20M.7.378679	1194
LMEpi24M.7.378588	1091
M11Tong.7.378644	1684
SLEpi20M.6.378654	1216
NP2.6.378673	1113
SLEpi20M.5.378583	1168
LMEpi24M.5.378530	1153
M11Tong.5.378652	1625
NP2.5.378542	1085
M11Tong.3.378688	1577
NP2.3.378548	1123
LMEpi24M.2.378501	1271
SLEpi20M.2.378678	1328
NP2.2.378642	1317
SLEpi20M.1.378561	1506
LMEpi24M.4.378687	1213
NP2.4.378544	1210
NP2.1.378613	1413
NP2.7.378659	1010
