	observed_species
ELB15.111810.1.608886	1049
ELB6.111810.2.608805	1215
FRX7.120710.2.608812	2412
FRX9.120710.1.608878	2606
ELB6.111810.1.608818	1320
RMK.ENR.3.1.608820	1668
RMK.ENR.36.2.608841	726
VAN20.120210.1.608873	1634
RMK.ENR.5.1.608858	539
RMK.ENR.19.2.608840	404
ELB18.111810.2.608844	1735
VAN45.120210.2.608864	1278
FRX7.120910.2.608839	2199
RMK.ENR.36.1.608856	327
RMK.ENR.2.1.608846	1358
RMK.ENR.8.1.608814	704
VAN45.120210.1.608807	1288
FRX6.120710.1.608863	2444
ELB18.111810.1.608860	1717
FRX6.120710.2.608855	2362
RMK.ENR.26.2.608854	758
VAN65.120210.1.608879	1549
VAN20.120210.2.608806	1092
RMK.ENR.7.2.608808	563
RMK.ENR.10.2.608828	506
RMK.ENR.18.2.608827	489
VAN65.120210.2.608847	658
VAN35.120210.1.608825	1146
RMK.ENR.23.1.608813	682
RMK.ENR.21.2.608874	545
RMK.ENR.6.2.608871	446
RMK.ENR.6.1.608882	456
VAN35.120210.2.608845	1289
RMK.ENR.22.1.608872	847
RMK.ENR.21.1.608837	680
RMK.ENR.23.2.608865	512
RMK.ENR.5.2.608829	501
RMK.ENR.24.1.608876	718
RMK.ENR.25.1.608867	615
RMK.ENR.27.1.608888	854
RMK.ENR.8.2.608877	652
RMK.ENR.14.2.608830	543
FRX7.120710.1.608883	2362
RMK.ENR.25.2.608816	1037
RMK.ENR.22.2.608817	627
RMK.ENR.33.1.608859	296
RMK.ENR.26.1.608891	609
RMK.ENR.1.1.608833	1209
RMK.ENR.17.1.608824	774
RMK.ENR.11.1.608849	548
RMK.ENR.15.2.608838	559
RMK.ENR.18.1.608809	644
RMK.ENR.29.1.608819	502
RMK.ENR.28.2.608815	723
RMK.ENR.28.1.608843	512
RMK.ENR.15.1.608892	635
RMK.ENR.35.1.608811	250
RMK.ENR.20.1.608832	1026
RMK.ENR.29.2.608842	660
RMK.ENR.12.1.608823	467
RMK.ENR.11.2.608831	493
RMK.ENR.17.2.608861	450
RMK.ENR.7.1.608810	662
RMK.ENR.27.2.608866	1043
RMK.ENR.9.1.608836	1009
RMK.ENR.14.1.608862	669
RMK.ENR.20.2.608834	727
RMK.ENR.12.2.608826	401
RMK.ENR.16.1.608885	689
RMK.ENR.35.2.608851	229
RMK.ENR.13.2.608869	483
ELB15.111810.2.608857	1140
RMK.ENR.16.2.608850	298
RMK.ENR.19.1.608821	485
RMK.ENR.4.2.608887	523
RMK.ENR.24.2.608868	605
RMK.ENR.34.1.608853	251
RMK.ENR.31.1.608852	210
RMK.ENR.31.2.608835	252
RMK.ENR.30.1.608848	272
RMK.ENR.34.2.608893	191
RMK.ENR.32.2.608890	220
RMK.ENR.33.2.608870	300
RMK.ENR.9.2.608822	618
RMK.ENR.4.1.608889	877
RMK.ENR.32.1.608884	256
RMK.ENR.10.1.608880	554
RMK.ENR.13.1.608881	647
RMK.ENR.30.2.608875	359
