	observed_species
C7.5m.L3.608682	1576
C8.0m.L3.608790	1485
C10.10m.L3.608780	1533
C8.10m.L3.608699	1559
C7.0m.L3.608803	1535
C8.5m.L3.608786	1463
AcidMid3.L3.608759	1693
IC1.S1.L3.608771	1492
IC3.S2.L3.608700	1710
AcidLow1.L3.608795	1614
IC2.S3.L3.608740	1584
IC1.S3.L3.608714	1588
IC3.S3.L3.608721	1619
C11.10m.G3.608800	1233
AcidCtrl3.G3.608736	1598
C8.3m.G3.608732	1353
C11.3m.G3.608778	1321
C7.3m.G3.608756	1302
C9.10m.G3.608788	625
C11.0m.G3.608798	1098
C7.10m.G3.608723	1273
C10.0m.G3.608801	961
C7.5m.G3.608784	1112
C6.5m.L3.608698	1544
C6.10m.L3.608729	1467
IC2.S2.G3.608763	1696
AcidCtrl1.L3.608749	1408
IC4.S1.G3.608762	1115
AcidCtrl1.G3.608758	1259
IC4.S3.L3.608766	1316
IC2.S3.G3.608785	999
AcidCtrl2.L3.608711	1261
C7.10m.L3.608683	1602
C8.3m.L3.608718	1405
C6.3m.L3.608730	1666
C11.3m.L3.608676	1475
C9.3m.L3.608695	1576
AcidMid1.L3.608692	1448
IC3.S1.L3.608715	1740
IC1.S2.L3.608707	1628
IC4.S1.L3.608693	1594
AcidMid2.L3.608773	1562
IC2.S2.L3.608701	1510
IC2.S1.L3.608781	1189
AcidLow2.L3.608708	1530
C10.10m.G3.608688	1197
C7.0m.G3.608794	1094
C9.5m.G3.608767	1201
C7.3m.L3.608722	1654
C10.3m.G3.608737	1153
C9.3m.G3.608685	1102
AcidMid1.G3.608753	1209
AcidCtrl2.G3.608679	793
IC1.S3.G3.608761	783
IC4.S2.G3.608757	1580
IC2.S1.G3.608802	1332
IC4.S3.G3.608733	1432
AcidMid3.G3.608779	1235
AcidLow2.G3.608750	1209
AcidLow3.L3.608697	1477
AcidCtrl3.L3.608710	1392
IC3.S1.G3.608709	1513
C11.5m.G3.608755	1241
C10.5m.G3.608712	1132
C8.5m.G3.608789	962
C9.5m.L3.608746	1295
C8.10m.G3.608691	1098
C6.3m.G3.608727	1399
C6.10m.G3.608751	948
AcidLow3.G3.608787	1046
IC3.S3.G3.608731	1491
IC1.S2.G3.608703	757
C9.10m.L3.608775	1414
C10.3m.L3.608704	1486
IC1.S1.G3.608776	1474
IC4.S2.L3.608768	1587
C11.0m.L3.608741	1279
C8.0m.G3.608726	629
C11.10m.L3.608793	1473
C9.0m.G3.608738	561
C10.5m.L3.608735	1329
C9.0m.L3.608804	923
IC3.S2.G3.608760	615
AcidLow1.G3.608734	197
