	observed_species
TBE15June09.618049	1545
TBE01June05.617898	1770
TBE07July09.618760	1725
TBE04Nov05.618630	1539
TBE03June09.617646	1445
CBH07July09.617608	1622
CBH21July09.617825	1328
SSB08jun09E.618193	1587
SSB13jul09E.618313	1644
SSB24aug09H.618233	1953
TBE11Aug05.618583	1608
SSB27jul09E.R1.618655	1780
SSB29may09E.617920	1825
TBH04Nov05.618203	2163
CBH12Aug09.617676	1117
CBH18Aug09.618628	1290
TBH08June05.618771	2059
TBH29June05.617536	1900
TBH27July05.617988	1776
CBH29May09.618757	1452
TBH29May09.617519	1640
SSB21jul09H.617786	1822
SSB24aug09E.618283	1831
TBH03Aug05.618171	1900
SSBE15Oct07.618846	1844
NSBE07Aug07.618502	2095
TBE15July08.618008	1965
NSBE11June09.618597	1925
SSBH10Sept07.618214	2206
NSBE27July09.618056	2074
NSBH06May09.618330	2035
SSBH21Aug08.617579	2320
SSBE18July08.617693	1961
SSBH21Sept08.618514	2401
SSBH30Apr08.618605	2593
SSBH21July08.618886	2393
SSBE14July08.618698	2055
CB28July05.617535	1734
SSBE10July08.618166	1957
SSBH09June08.618383	2238
SSBH27Sept08.617598	2344
CB10Aug05.617782	1706
SSBH07Aug08.618343	2255
NSB15sep08H.617627	2217
SSBH10Sept07.618615	2215
NSBH02Aug09.618428	1897
NSBH12June09.617593	1944
NSBH05June09.618393	1988
NSBE11June09.617768	1869
SSBE15Oct07.618920	1846
NSBE23Aug07.618111	1942
NSBE07Aug07.618587	1999
NSBE06Aug09.618675	2053
SSBH05July07.617767	2217
NSBH06May09.617990	1892
SSBH13July07.618752	2161
TBE02Aug07.618859	1704
CBE18July07.618500	1830
TBE31July07.618692	1546
TBE10Sept07.618380	1544
TBE16July07.618606	1474
TBE25July07.617975	1427
TBE27Aug07.617570	1917
TBE27June07.617859	1366
CBE25July07.618200	1730
TBE09Aug07.618804	1546
TBE06Nov07.617823	1685
TBE02Aug07.618147	1461
TBH21JJune07.618493	1829
MAH15June05.617704	2882
MAH04Oct05.618402	2784
MA30jun09H.618720	2470
MA28jul09H.R1.618893	2692
MAH11Aug05.618808	3105
MAH21Aug08.618890	2705
MAE09Oct08.617514	2313
MAH08Aug07.618792	3069
MAH20July07.618085	2989
MAH24Aug07.618385	2573
MAH16July07.618215	3003
MAH25Sept05.618332	3032
NSBH07Aug07.618873	2009
TBH10Oct08.617833	2096
TBH01Aug08.618098	2058
NSBH26June09.618186	1903
SSBH07Nov07.617751	2069
NSBH05June09.617972	2089
SSBH13July07.617594	2119
HKH04July07.617850	3135
TBE30April08.618898	1484
SSBE24July07.617662	1918
TBH29July08.618362	2106
NSBH19June07.618830	1725
NSBE21July09.618585	2138
SSBH22Oct07.617826	2296
TBH01July08.617869	1913
SSBH29July07.617858	1584
SSBH05July07.618339	2204
NSBE06Aug09.618139	2094
NSBE22June07.618163	1533
NSBH12June09.617674	1963
HKH27Aug07.617885	2237
NSB21may08H.618093	2314
NSB30jun08H.617820	2336
TBE08Aug08.618776	1520
MAE27Aug07.618061	1549
SSB23jun09E.618091	1570
NSBE08June09.617932	1724
CB10June05.618891	1998
CB21June05.618148	1670
SSBE19June07.R1.618883	1231
FBE10July07.618833	1779
FBH18July07.617574	2400
FBH05July07.618609	2059
FBE27June07.618531	1864
FBE02July07.618802	1724
FBH10July07.618416	2004
FBE05July07.617916	1638
FBH02July07.618725	2032
FBH06Aug07.618573	1947
FBH27June07.617970	2068
FBH29June07.618244	2082
FBE29June07.618384	1738
CBH27June07.618306	1527
FBH12July07.618129	2090
FBE27June07.618251	1663
FBE10July07.617583	1428
FBH05July07.618554	1826
FBE05July07.618820	1381
FBH18July07.617709	2147
TBE03Aug05.618137	1575
TBE24Aug05.618659	1746
MA14jul09E.618272	1630
TBE13Sept05.617562	1484
TBE30Aug05.618024	1638
MA20jul09H.618080	2589
TBE08Aug08.617500	1608
SSBE09Aug07.617495	2067
NSB15jul08E.618691	1692
NSB13jul08H.617880	1740
NSB19jul08E.618619	1539
TBE31Aug08.618457	1799
NSBH26June09.618318	1852
MAH23Oct07.618235	611
MAH11Sept07.618487	2121
MAE05Nov07.618574	2280
CBH01Oct07.617682	1887
WSBE05July07.618144	1405
MAE23Oct07.618594	696
CBE08June09.617780	1043
SSBH09Sept08.618399	2403
NSBH19June07.618868	1633
NSBE19July07.617802	1459
TBE07Nov07.618410	1852
MA03aug09E.618298	2729
MA03aug09H.R1.617750	2570
MA14jul09H.617957	2647
MA03jun09H.618777	2669
MAH05Sept05.618110	3051
MA30may09H.618134	2719
MA24jun09H.618184	2497
MAH27July05.618779	3037
MAH30Aug05.617791	3060
HKH01Aug07.617552	3075
HKH08Aug07.618178	2927
MAH05Oct08.618834	2972
MAH20Sept08.617994	3026
HKH26June07.617721	3138
HKH08Aug07.618533	2968
HKH27Aug07.618246	2202
HKH12July07.618197	3001
NSBH16July07.618451	1920
MAH26July07.618159	3038
MAH10Aug07.618506	3130
MAH23July07.618960	3046
MAH26June07.618081	3161
MAH28June07.618242	3321
MAH01Aug07.618002	3259
MAH05Nov07.617612	3036
MAH22Aug07.618927	3093
MAH01Oct07.618688	2916
MAE27Aug07.618448	1807
MAH01Aug07.618124	3061
MAH22Aug07.618909	2977
MAH08Aug07.618915	2833
WSBE11July07.617963	1719
NSB31jun08H.R1.618843	2071
MAE01June05.618136	1167
MAE08June05.618747	1123
MAE22June05.617634	1633
TBH11Aug05.617606	1883
SSB02aug09E.618135	1798
NSB03may08H.618987	1924
CB12July05.618829	1727
NSBH23Aug07.618623	2047
NSBE16July07.618822	1818
NSBE27June07.618599	1656
HKE09July07.618971	1815
NSBE19June07.618155	1354
HKE10Aug07.618943	1960
NSBE05July07.618617	1696
HKE17July07.617696	1811
CBH27July07.617933	1525
CBH12July07.618294	2097
WSBH30Oct07.617998	1825
CBE05July07.618201	1703
CBH02July07.618790	1517
FBE09Aug07.617905	1598
WSBE22Oct07.618507	1897
CBE10July07.617908	1934
MAE17July07.617888	2029
CBH19June07.617497	1567
CBH18July07.618234	1957
FBE25July07.618821	1481
WSBE07Aug07.618719	2089
CBE02July07.618784	1794
CBH05July07.618302	1596
CBH21June07.618632	1585
CBE27June07.618743	1659
WSBE16July07.618256	1662
CBH20Aug07.618179	2203
CBH29June07.617989	1600
CBE21June07.618187	1344
CBH10July07.617860	1731
CBH09Aug07.618348	1705
FBH10Sept07.618053	2785
WSBE11June07.618759	1682
TBH27July07.618572	1996
FBE27Aug07.617694	1714
CBE27July07.617842	1548
WSBH08Nov07.618070	1797
MAE06July07.618968	2039
WSBH02Oct07.617502	1991
WSBH25Sept07.618099	2060
CBE25July07.617847	1473
MAE16July07.618638	1804
CBE10Sept07.617923	1597
CBH10July07.618279	1463
CBH20Aug07.617586	1934
CBH27June07.618095	1365
CBH06Aug07.618331	1640
FBH27Aug07.618577	1565
CBE05July07.617561	1465
CBE27June07.617515	1375
CBH19June07.618763	1285
CBE18July07.618669	1582
CBE10July07.617568	1573
HKH24Aug07.617722	2700
MAE25Aug08.617995	1691
CBH05July07.618238	1348
CBH18July07.618255	1729
MAH29June05.617919	2894
TBE13June08.617910	1813
TBE26May08.618986	1928
TBH06June08.617936	1789
TBH06June08.618064	1764
TBH04May08.618248	1865
TBH26May08.618229	1957
TBH01Oct07.618038	1867
TBE09Oct05.618980	1573
TBH24Aug09.617808	1737
TBH09Oct05.618014	1860
TBH08June09.618406	1621
TBH17Oct05.617753	1962
TBH22June05.618270	2008
TBH15June09.618712	1598
HKH28June07.618858	3187
SSBE07Aug07.618555	1675
