	observed_species
P.Ac.21.1.414759	2186
P.C.7.1.414758	1843
P.Ac.2.1.414770	2176
P.Ac.7.2.414807	1652
P.C.21.2.414808	1816
P.N.21.1.414788	2097
P.N.7.1.414798	2120
A.V.2.1.414755	2893
A.N.7.1.414745	3105
P.C.14.1.414773	2135
B.C.0.1.414809	2321
A.C.0.1.414795	3121
P.C.14.2.414771	1939
A.N.2.2.414760	2926
A.C.2.1.414780	3101
A.C.2.1.414769	3061
A.C.0.2.414767	3200
A.V.2.2.414801	3020
A.N.2.1.414746	3017
A.Ac.2.2.414797	3113
A.Ac.2.2.414782	2954
A.C.2.2.414783	3161
A.C.2.2.414762	2858
A.Ac.2.1.414799	2911
A.N.7.2.414765	2765
A.Ac.2.1.414748	3052
B.Ac.7.2.414774	2198
B.N.21.1.414778	2420
P.C.21.1.414796	2039
P.N.14.2.414747	1927
P.C.2.1.414763	2042
P.N.7.2.414754	2007
P.Ac.14.2.414743	1984
P.Ac.7.1.414802	2127
P.N.21.2.414764	1880
B.N.21.2.414768	2437
B.C.7.2.414776	2244
B.C.2.2.414791	2237
B.C.2.1.414790	2429
B.N.2.2.414777	2324
B.Ac.2.1.414789	2277
B.C.14.1.414784	2336
B.N.7.2.414805	2305
B.N.7.1.414794	2229
B.C.0.2.414756	2340
P.C.0.1.414806	2204
B.C.14.2.414786	2360
B.N.14.2.414752	2250
B.N.2.1.414772	2348
B.N.14.1.414781	2359
B.Ac.2.2.414750	2440
B.C.21.1.414804	1903
B.Ac.21.1.414803	2416
B.C.7.1.414810	2242
B.Ac.14.2.414766	2321
B.Ac.7.1.414800	2201
B.Ac.14.1.414753	2210
P.N.2.2.414779	2360
P.Ac.21.2.414793	1962
P.N.2.1.414757	2117
P.N.14.1.414792	1801
P.C.0.2.414751	2256
P.C.2.2.414775	1807
P.C.7.2.414749	1873
P.Ac.14.1.414787	2058
P.Ac.2.2.414744	1947
