	observed_species
T.3.1.H.E.2.479593	1913
BMC.8.5T.17.1.479870	3965
BMC.8.5T.23.3.479572	3563
BMC.8.1T.11.2.479704	3691
BMC.8.1T.30.2.479811	3429
BMC.7.5T.18.2.479695	3598
Soil.NIL.100.N.10.3.479723	2905
BMC.7.5T.21.1.479641	3857
BMC.7.1T.26.3.479589	3388
Soil.NIL.100.N.22.1.479760	3380
BMC.8.5T.2.2.479789	3456
T.3.1.H.P.1.479672	2201
BMC.8.1T.30.1.479901	3492
BMC.8.1T.30.3.479844	3357
BMC.8.5T.23.1.479635	3444
BMC.7.5T.18.3.479735	3335
BMC.7.1T.26.1.479766	3463
BMC.8.5T.23.2.479832	3513
BMC.7.1T.26.2.479923	3742
BMC.7.1T.3.2.479886	3755
BMC.7.5T.5.3.479929	3434
BMC.7.1T.20.3.479860	2843
Soil.NIL.100.N.10.2.479845	3162
BMC.7.5T.21.2.479621	3371
Soil.NIL.100.N.10.1.479705	2784
T.2.3.H.P.5.479661	2057
BMC.8.1T.11.3.479872	3088
BMC.7.5T.18.1.479585	3345
BMC.7.1T.3.1.479927	3800
T.3.1.H.P.4.479898	1769
Soil.NIL.100.N.22.2.479722	3177
BMC.8.5T.17.3.479794	3520
T.3.1.H.E.3.479664	2521
BbC.479806	2171
T.3.1.S.E.2.479784	2612
T.3.1.H.E.1.479880	2343
BMC.7.5T.5.1.479912	3163
BMC.7.1T.3.3.479703	3322
BMC.8.5T.17.2.479596	3586
BMC.8.5T.2.3.479883	3630
Soil.NIL.100.N.22.3.479899	3361
T.2.2.H.P.4.479755	2300
Soil.NIL.100.N.14.1.479683	3471
T.3.1.S.E.3.479743	2612
T.3.2.H.E.4.479770	2238
BMC.7.5T.21.3.479716	3162
T.3.2.H.E.1.479865	2517
T.3.1.H.P.2.479656	2079
BMC.7.1T.20.2.479928	3262
T.3.1.H.P.5.479903	1935
T.3.2.H.E.5.479930	2219
T.2.2.S.E.4.479746	2170
T.3.3.S.E.2.479701	2163
T.1.2.S.E.1.479677	1770
T.2.1.H.P.1.479669	1144
LuE.479902	2824
W.1.2.S.E.2.479854	2151
N.2.2.S.E.5.479890	2861
T.1.3.S.E.1.479785	1191
N.1.3.S.E.2.479887	1996
W.2.1.H.E.4.479622	1346
T.3.3.S.E.5.479820	2155
W.2.1.S.E.3.479711	1783
N.2.2.S.E.1.479632	2056
N.2.1.S.E.5.479687	1850
W.3.2.S.E.1.479639	2032
LuA.479576	3279
T.3.1.H.E.5.479662	2416
