	observed_species
M25.533992	928
M27.533971	882
M8.533991	1419
M38.533987	1832
M7.533981	1917
M10.533956	1409
M36.533972	1710
M32.533975	2088
M43.533980	1736
M21.533958	862
M5a.533960	1108
M6.533983	944
M23.533996	828
M9.533957	1106
M41.533984	1764
M42.533985	1351
M12.533968	1498
M4.533962	992
M5b.533952	940
M3.533973	861
M33.533976	1847
M39.533953	1755
M37.533988	1371
M40.533979	1525
C1.533959	803
M34.533967	629
M44.533951	1357
M2.533982	1001
M30.533965	597
C2.533995	757
M24.533997	872
M1.533993	540
M35.533969	1311
M20.533986	903
M14.533974	776
M13.533970	661
M28.533994	574
M11.533989	217
M22.533954	964
M16.533966	229
M15.533977	194
M26.533978	556
M29.533955	756
M18.533964	159
M31.533961	625
M17.533963	157
