	observed_species
HCanyon7R1.603167	3034
Halls4R2.603110	1688
CrustControlR2.603145	2851
Stillton3R1.603152	1982
HCanyon7R2.603174	3316
HCanyon5R2.603198	3176
Halls4R1.603122	1572
Stillton9R1.603144	2444
Stillton8R1.603163	2481
HCanyon9R3.603191	3101
HCanyon10R1.603162	2553
Stillton9R3.603181	2583
CrustControlR3.603140	2572
Halls10R2.603161	2711
HCanyon10R3.603109	2586
HCanyon10R2.603158	2838
Halls8R2.603137	3180
HCanyon5R1.603119	3060
Halls3R1.603105	2413
HCanyon9R2.603128	2662
HCanyon9R1.603154	3152
Stillton2R1.603130	2836
HCanyon7R3.603186	2958
HCanyon5R3.603150	3201
Stillton7R3.603164	2591
HCanyon2R2.603138	3217
Stillton7R1.603129	2454
Halls5R2.603123	2155
Halls2R1.603125	1884
HCanyon8R2.603195	3143
Stillton10R2.603115	2396
Halls2R2.603165	1559
Halls0R2.603147	3475
HCanyon3R1.603141	3089
Stillton3R2.603136	1863
Stillton3R3.603106	2217
Stillton11R1.603184	2775
HCanyon4R1.603185	3064
HCanyon12R2.603172	2959
Stillton10R1.603192	1951
Stillton9R2.603170	2177
HCanyon1R2.603111	2650
Halls6R1.603173	2587
Halls3R2.603151	2531
Stillton11R3.603139	2687
HCanyon2R1.603112	3568
Halls10R1.603166	3056
Stillton2R2.603179	1894
HCanyon3R2.603135	3366
HCanyon11R2.603120	3082
HCanyon1R3.603183	2799
HCanyon4R2.603187	3617
Halls1R1.603155	3660
Halls9R2.603153	3440
Stillton6R3.603175	2876
Halls1R2.603182	3425
HCanyon2R3.603188	3453
Halls7R1.603160	2829
HCanyon8R3.603127	2942
Stillton2R3.603116	2077
Stillton4R2.603108	2037
Stillton5R2.603189	2702
HCanyon6R3.603157	3198
Stillton1R2.603148	2695
Stillton0R3.603134	3344
Stillton0R1.603118	2886
Stillton7R2.603126	2553
Stillton8R3.603180	2547
Halls8R1.603190	3465
HCanyon3R3.603146	3190
HCanyon0R2.603132	3134
Halls0R1.603177	3395
Stillton0R2.603159	2883
HCanyon0R3.603176	3221
Halls6R2.603168	2804
HCanyon11R1.603104	3074
HCanyon0R1.603107	3177
HCanyon11R3.603143	3437
HCanyon1R1.603131	2647
HCanyon4R3.603124	3527
HCanyon12R3.603156	3374
Stillton4R3.603169	1871
HCanyon8R1.603133	2907
Halls7R2.603197	2978
Stillton1R1.603149	2418
Halls9R1.603114	3337
HCanyon6R1.603121	3438
Stillton6R2.603171	2740
Halls5R1.603142	1964
HCanyon6R2.603113	3274
Stillton6R1.603193	2947
HCanyon12R1.603196	2932
CrustControlR1.603117	2856
Stillton10R3.603194	1983
Stillton4R1.603178	1991
