	observed_species
SB5x.609616	357
IO3y.609392	1672
SC5z.609417	1260
IN3z.609349	1375
SC5x.609490	1485
IN3x.609625	1052
SC5y.609631	1373
IO3z.609656	1378
IN5y.609420	1185
IO5y.609345	1039
IO4y.609259	1204
SD1x.609272	1073
SC4x.609469	1162
SC4z.609312	1175
SC4y.609670	1125
IO1y.609344	1081
SD4z.609502	510
SD2z.609458	975
SD5z.609566	665
IC5z.609639	371
SD2x.609600	896
SD1y.609436	1104
IO3x.609441	1458
II2y.609476	1017
II1y.609415	786
IJ1x.609447	1420
IN5x.609514	1347
IO5x.609559	1138
IO1x.609393	913
IN4z.609513	1170
SE1y.609440	1056
IO5z.609509	1122
IO1z.609239	874
IO4x.609435	1020
IN5z.609667	1273
IO4z.609387	1153
SD3x.609603	1528
IJ1z.609325	1198
IA5x.609383	520
IJ2z.609537	1361
IJ1y.609291	1181
IJ3y.609446	1077
IN3y.609607	1486
SD3y.609668	1068
IE1y.609335	911
SH1z.609364	485
IJ4x.609218	777
IJ2x.609390	1317
IJ4z.609651	670
IJ3x.609580	923
ID2z.609438	735
ID2x.609606	860
IK4z.609542	831
IK3y.609282	1245
IJ4y.609568	662
IK4y.609334	869
II1x.609488	613
IK1z.609652	1172
IK1y.609267	1022
IK2y.609421	1549
IK2z.609520	1446
IK2x.609591	1580
IK3z.609555	1222
IK3x.609273	1358
II2z.609299	1159
II1z.609351	670
II2x.609348	1010
SE1x.609354	888
IE1x.609346	1099
IC1z.609635	702
SD3z.609570	717
IA2x.609480	528
IC4x.609276	592
IA1y.609486	482
IG4y.609654	397
IC4y.609264	479
ID4z.609621	452
IC4z.609594	423
IG4x.609230	424
SA5y.609467	394
ID1x.609460	1138
IN1z.609541	909
IN1y.609374	862
IL3y.609226	371
ID2y.609217	869
IL4z.609506	381
IL1x.609375	482
IL2y.609588	446
IN1x.609339	923
SC1x.609462	452
IN4x.609569	1123
SA2z.609585	401
IN4y.609637	1039
IJ3z.609219	1010
IB5x.609493	274
ID3z.609484	441
SG2x.609508	234
SA2y.609499	442
IM1y.609479	397
SG2z.609240	274
SG1x.609544	275
IG2x.609355	577
IC1y.609256	677
IE2y.609281	557
IA1x.609410	732
IL5z.609270	445
IB2x.609246	546
IA1z.609463	551
IA3z.609454	551
IE2x.609481	661
IC1x.609636	565
IM1z.609311	445
SC1y.609551	386
SC1z.609220	523
IG2z.609286	447
SA1x.609225	588
IE2z.609290	562
II3y.609450	609
IM1x.609675	403
ID1y.609560	1069
IG2y.609646	503
IE1z.609403	974
IG1y.609552	401
IK4x.609280	823
II3x.609655	491
SD1z.609300	459
SE4x.609433	310
SF5y.609598	233
SG5z.609605	203
IA4y.609456	419
SF5z.609557	165
SB5z.609215	398
SH5x.609524	224
SI2y.609250	351
SG4x.609406	279
IF4x.609564	306
SH4x.609461	253
SF3z.609475	342
IG4z.609380	488
SC2z.609369	412
SB5y.609418	330
SD4y.609620	295
SC2y.609362	412
IA2z.609650	509
IC2z.609531	473
IE3z.609444	456
IA3x.609432	548
ID3y.609610	451
SD4x.609382	654
SA2x.609284	494
SD5x.609283	797
SA3z.609492	434
SD5y.609394	559
IB5z.609342	268
SA5z.609277	339
SE1z.609547	427
SI1z.609617	532
SJ1x.609315	525
IA5z.609632	358
SI1y.609370	498
IG1x.609304	461
SG1y.609674	230
SF1x.609507	200
SG1z.609411	279
ID5y.609445	436
IB2y.609431	444
IB2z.609333	429
IB1z.609673	520
IB3y.609358	319
IB4y.609623	386
IA2y.609266	513
IK5x.609373	383
IH4x.609402	328
IB1y.609485	447
IB4z.609213	383
IE4y.609330	524
IG5y.609228	372
IG3z.609241	443
IK5z.609590	378
IA4x.609581	434
IB3x.609583	283
IF3x.609473	287
IB3z.609222	358
SF1y.609247	266
IH4z.609278	392
IB5y.609318	392
SA1y.609391	547
SK1y.609597	432
SA1z.609601	550
SI1x.609314	415
SB1x.609658	358
SH1x.609677	544
SK1x.609627	393
SK1z.609571	361
SC2x.609413	458
IH1z.609255	427
SA4y.609665	541
SF1z.609540	297
IE3x.609535	417
SH1y.609322	443
IL1y.609676	474
ID4y.609379	465
SB1y.609244	389
IH1x.609425	373
IC2x.609664	463
SD2y.609628	593
IF1y.609341	435
SB4y.609556	356
ID5z.609483	206
SJ5z.609428	339
SG3y.609613	387
SB2x.609396	461
SJ1y.609423	469
SH2y.609593	418
IM4z.609442	454
SH2z.609223	407
SA4z.609529	513
SH3y.609466	314
SE2y.609611	463
IL4x.609385	468
SI2z.609303	368
SB4z.609582	316
SK2x.609419	417
IM2x.609366	462
IC3y.609404	405
IF2x.609453	391
SJ5x.609474	350
IH2x.609397	440
IJ5x.609407	316
SH2x.609298	379
SC3x.609372	335
IL1z.609249	577
II4x.609546	459
SI2x.609478	380
IE4z.609233	533
II4y.609595	378
IL3z.609426	384
SB2y.609669	477
SJ1z.609422	501
SK2z.609257	423
IL3x.609289	380
SF3y.609532	360
SJ2z.609561	368
IF2y.609216	410
IH3x.609243	330
SA5x.609538	434
SJ3z.609602	387
IE3y.609459	416
IL2z.609643	398
II4z.609604	406
SG3z.609408	301
IM5x.609229	472
SH3x.609448	383
IL5x.609224	377
SJ2x.609368	336
IL4y.609377	384
SB3y.609619	358
SB2z.609251	415
IH2y.609293	438
IH3z.609489	365
SF3x.609399	350
IM5z.609262	596
SJ3x.609434	315
IG5z.609642	401
ID3x.609579	474
SA4x.609398	406
IF1z.609287	424
IM4y.609630	457
SH3z.609263	382
IL5y.609336	394
SK2y.609455	451
SI3x.609313	378
SB3x.609265	347
IG1z.609331	474
IJ5z.609498	359
SB3z.609645	428
SJ4y.609234	436
SJ2y.609549	373
SI3y.609449	393
SC3y.609427	344
SJ5y.609227	340
SB4x.609550	342
IM4x.609352	480
IG3y.609608	517
SE2x.609599	520
SE3y.609609	356
II3z.609302	492
SE2z.609288	439
IM5y.609662	471
SE5x.609381	282
ID4x.609261	410
SG3x.609285	393
IH4y.609378	343
SC3z.609496	348
SJ4x.609477	337
IH2z.609523	408
II5y.609384	370
IC2y.609596	442
SE4y.609536	344
IA4z.609666	411
IJ5y.609500	355
SI5x.609640	220
IG5x.609395	369
IG3x.609306	494
II5x.609274	396
SE3z.609574	406
IC3x.609464	397
II5z.609510	432
SI3z.609554	402
IC3z.609337	401
SE3x.609253	334
IH3y.609468	382
SJ4z.609565	295
SJ3y.609350	372
IK5y.609237	374
SG4z.609363	256
IH1y.609301	413
SE4z.609612	346
SG2y.609443	354
SI5y.609268	240
SI5z.609252	227
SB1z.609389	421
SI4x.609678	301
SA3x.609401	390
SI4z.609472	285
SI4y.609614	278
SF4y.609573	299
SH5z.609429	284
