	observed_species
UQ514.591113	3092
UQ423.591014	6859
UQ517.591071	3025
UQ223.591039	2626
UQ301.591067	8882
UQ001.591110	4186
UQ351.591052	7637
UQ11127.591048	4123
UQ11117.0.8.591087	6030
UQ864.591118	3426
UQ857.591019	6887
UQ11125.591037	8160
UQ11012.591099	5910
UQ870.591084	3793
UQ11123.1.4.591077	4319
UQ866.591116	6175
UQ11111.2.9.591102	4042
UQ632.591055	5647
UQ510.591117	2364
UQ888.591108	3928
UQ461.591064	6093
UQ134.591061	4509
UQ496.591051	5423
UQ291.591085	5101
UQ865.591076	5664
UQ631.591032	5156
UQ801.591080	5414
UQ842.591091	7724
UQ173.591012	6259
UQ599.591029	7009
UQ272.591081	5740
UQ586.591098	4989
UQ203.591028	6957
UQ356.591025	4974
UQ833.591112	11136
UQ862.591074	5961
UQ556.591060	5167
UQ322.591053	8715
UQ878.591106	5626
UQ804.591057	4814
UQ626.591008	6403
UQ491.591069	6817
UQ523.591103	6681
UQ873.591020	4901
UQ609.591093	3402
UQ288.591065	5696
UQ845.591063	5238
UQ299.591123	7431
UQ362.591095	5830
UQ234.591042	6009
UQ802.591100	5713
UQ863.591086	4698
UQ089.591079	5174
UQ392.591120	4349
UQ215.591056	6776
UQ330.591024	5720
UQ578.591010	10335
UQ861.591101	5490
UQ879.591011	5319
UQ168.591031	6736
UQ279.591097	6968
UQ409.591088	9630
UQ585.591017	5673
UQ843.591027	8699
UQ592.591044	5534
UQ249.591094	4851
UQ377.591043	8261
UQ269.591022	9231
UQ829.591083	6221
UQ422.591126	6427
UQ373.591062	4984
UQ892.591121	7677
UQ886.591122	4697
UQ040.591023	6590
UQ867.591107	6898
UQ562.591013	4958
UQ11108.1.6.591033	3887
UQ11007.591015	6966
UQ11017.591059	4242
UQ856.591089	5845
UQ11010.591049	3144
UQ11020.591030	4442
UQ872.591125	5016
UQ11015.591035	3570
UQ11126.0.3.591124	10123
UQ262.591092	11653
UQ271.591016	8897
UQ855.591127	7709
UQ184.591034	6525
UQ014.591073	7527
UQ405.591072	6513
UQ013.591070	3210
UQ841.591040	10787
UQ298.591021	8914
UQ171.591075	8412
UQ521.591036	6353
UQ361.591058	6916
UQ085.591007	8924
UQ382.591105	8103
UQ852.591111	6107
UQ100.591068	6412
UQ415.591066	9016
UQ825.591090	7007
UQ807.591026	5702
UQ832.591045	6445
UQ858.591047	4393
UQ302.591115	7571
UQ817.591114	7692
UQ818.591096	4348
UQ311.591082	5746
UQ871.591078	5582
UQ205.591050	3342
UQ246.591046	5410
UQ11013.591041	40
UQ11019.591038	18
UQ11014.591119	11
UQ114.591109	8
UQ325.591018	1
UQ033.591054	3
