	observed_species
sp1641.486293	7863
sp0733.486401	11028
sp0703.486302	10624
sp1543.486261	6834
sp1552.486256	7890
sp1341.486319	8007
sp0747.486414	8749
sp0354.486204	6744
sp1140.486374	8881
sp1089.486365	5165
sp1028.486396	3323
sp0755.486320	10129
sp1307.486286	10246
sp0383.486359	3352
sp1555.486339	8724
sp1941.486417	7465
sp1037.486378	4430
sp1565.486407	9238
sp0329.486434	4637
sp1525.486424	8043
sp0724.486422	11823
sp1271.486425	7173
sp1033.486406	3732
sp1000.486433	6600
sp1277.486281	5965
sp1548.486181	7571
sp1409.486368	5174
sp1287.486195	8048
sp0705.486280	10754
sp1615.486408	7245
sp1403.486444	8127
sp1299.486367	6690
sp1142.486341	8403
sp0734.486191	6578
sp1001.486234	5205
sp1390.486212	5358
sp0370.486388	28058
sp0349.486235	6812
sp1160.486357	6720
sp1342.486409	7197
sp1157.486306	8616
sp1347.486383	6985
sp0314.486178	7090
sp0382.486232	4956
sp1031.486193	3778
sp0350.486426	4514
sp1026.486254	4829
sp1582.486404	8438
sp1532.486423	9813
sp1942.486372	9376
sp1298.486439	8709
sp0768.486413	5601
sp0738.486225	7448
sp1588.486273	8074
sp1304.486294	11186
sp1579.486360	7370
sp1155.486268	8772
sp0317.486222	11963
sp1632.486334	8225
sp1345.486427	7308
sp0742.486305	10629
sp1644.486395	7337
sp1151.486315	7709
sp1165.486215	7483
sp0767.486436	8235
sp0759.486364	8408
sp1280.486340	9325
sp1410.486325	7964
sp1631.486385	6529
sp1314.486354	9115
sp1616.486400	7910
sp1591.486421	8318
sp1926.486185	8943
sp0736.486274	8645
sp0721.486343	7521
sp0727.486272	10237
sp0714.486380	10887
sp0739.486278	8922
sp1261.486347	8637
sp1144.486350	7625
sp0756.486224	9248
sp0195.486348	8683
sp1627.486304	7473
sp1312.486219	7584
sp1608.486246	7783
sp0731.486190	9206
sp0200.486337	8282
sp1557.486316	7096
sp1944.486244	7947
sp1573.486240	8829
sp1300.486410	8522
sp0752.486228	6954
sp0769.486266	5661
sp1294.486197	8145
sp1149.486362	7134
sp0706.486177	8632
sp1527.486245	7405
sp1536.486223	7425
sp1550.486312	8759
sp1286.486369	7522
sp0192.486253	6457
sp1561.486353	7260
sp1284.486392	9821
sp1541.486279	8756
sp1526.486390	8237
sp1545.486382	6733
sp1315.486342	9118
sp1938.486189	7869
sp1405.486438	7218
sp1402.486209	7398
sp1005.486314	4729
sp1147.486186	7381
sp1928.486435	7406
sp0729.486251	9017
sp1278.486313	9681
sp1407.486221	8723
sp0743.486308	5649
sp1164.486217	8324
