	observed_species
P.Ac.21.1.414759	14904
P.C.7.1.414758	11427
P.Ac.2.1.414770	14189
P.Ac.7.2.414807	8823
P.C.21.2.414808	11018
P.N.21.1.414788	13329
P.N.7.1.414798	12230
A.V.2.1.414755	21148
A.N.7.1.414745	22695
P.C.14.1.414773	14963
B.C.0.1.414809	18869
A.C.0.1.414795	24422
P.C.14.2.414771	13069
A.N.2.2.414760	18096
A.C.2.1.414780	22916
A.C.2.1.414769	25105
A.C.0.2.414767	26528
A.V.2.2.414801	21158
A.N.2.1.414746	20541
A.Ac.2.2.414797	25239
A.Ac.2.2.414782	22627
A.C.2.2.414783	24666
A.C.2.2.414762	22497
A.Ac.2.1.414799	22569
A.N.7.2.414765	17962
A.Ac.2.1.414748	23356
B.Ac.7.2.414774	14184
B.N.21.1.414778	15935
P.C.21.1.414796	13922
P.N.14.2.414747	12704
P.C.2.1.414763	10509
P.N.7.2.414754	13483
P.Ac.14.2.414743	9912
P.Ac.7.1.414802	14730
P.N.21.2.414764	12211
B.N.21.2.414768	18031
B.C.7.2.414776	17173
B.C.2.2.414791	14227
B.C.2.1.414790	19382
B.N.2.2.414777	16452
B.Ac.2.1.414789	14903
B.C.14.1.414784	17812
B.N.7.2.414805	14694
B.N.7.1.414794	20671
B.C.0.2.414756	17568
P.C.0.1.414806	14502
B.C.14.2.414786	15731
B.N.14.2.414752	16424
B.N.2.1.414772	16958
B.N.14.1.414781	18571
B.Ac.2.2.414750	15479
B.C.21.1.414804	12915
B.Ac.21.1.414803	16361
B.C.7.1.414810	15028
B.Ac.14.2.414766	16412
B.Ac.7.1.414800	16437
B.Ac.14.1.414753	16449
P.N.2.2.414779	10377
P.Ac.21.2.414793	13372
P.N.2.1.414757	11975
P.N.14.1.414792	11570
P.C.0.2.414751	15853
P.C.2.2.414775	10501
P.C.7.2.414749	13052
P.Ac.14.1.414787	10754
P.Ac.2.2.414744	12273
B.C.21.2.414785	14
B.Ac.21.2.414761	13
