	observed_species
M25.533992	4115
M27.533971	3530
M8.533991	9130
M38.533987	8771
M7.533981	9398
M10.533956	6311
M36.533972	9111
M32.533975	10005
M43.533980	9221
M21.533958	4326
M5a.533960	6457
M6.533983	6106
M23.533996	3260
M9.533957	7695
M41.533984	9935
M42.533985	6773
M12.533968	6795
M4.533962	6329
M5b.533952	5100
M3.533973	4076
M33.533976	8207
M39.533953	7935
M37.533988	6121
M40.533979	7176
C1.533959	3469
M34.533967	3109
M44.533951	6042
M2.533982	6359
M30.533965	2488
C2.533995	3162
M24.533997	3717
M1.533993	3344
M35.533969	5652
M20.533986	4504
M14.533974	1835
M13.533970	1981
M28.533994	3493
M11.533989	1017
M22.533954	4425
M16.533966	1047
M15.533977	732
M26.533978	1786
M29.533955	3183
M18.533964	560
M31.533961	2248
M17.533963	532
