	observed_species
SB5x.609616	665
IO3y.609392	2759
SC5z.609417	1783
IN3z.609349	2299
SC5x.609490	2482
IN3x.609625	1988
SC5y.609631	2216
IO3z.609656	2488
IN5y.609420	2518
IO5y.609345	2029
IO4y.609259	2245
SD1x.609272	1963
SC4x.609469	1809
SC4z.609312	1700
SC4y.609670	1730
IO1y.609344	1855
SD4z.609502	689
SD2z.609458	1220
SD5z.609566	1076
IC5z.609639	452
SD2x.609600	1334
SD1y.609436	1811
IO3x.609441	2280
II2y.609476	1344
II1y.609415	919
IJ1x.609447	2002
IN5x.609514	2843
IO5x.609559	2214
IO1x.609393	1888
IN4z.609513	2397
SE1y.609440	1705
IO5z.609509	1856
IO1z.609239	1463
IO4x.609435	2308
IN5z.609667	1953
IO4z.609387	2123
SD3x.609603	2874
IJ1z.609325	1640
IA5x.609383	620
IJ2z.609537	1545
IJ1y.609291	1251
IJ3y.609446	1215
IN3y.609607	2343
SD3y.609668	1813
IE1y.609335	1183
SH1z.609364	677
IJ4x.609218	1011
IJ2x.609390	1660
IJ4z.609651	827
IJ3x.609580	1098
ID2z.609438	921
ID2x.609606	1083
IK4z.609542	932
IK3y.609282	1640
IJ4y.609568	823
IK4y.609334	1129
II1x.609488	733
IK1z.609652	1450
IK1y.609267	1080
IK2y.609421	1976
IK1x.609439	1209
IK2z.609520	1925
IK2x.609591	2094
IK3z.609555	1500
IK3x.609273	1712
II2z.609299	1386
II1z.609351	816
II2x.609348	1303
SE1x.609354	1271
IE1x.609346	1291
IC1z.609635	913
SD3z.609570	1202
IB1x.609409	705
IA2x.609480	692
IC4x.609276	696
IA1y.609486	595
IG4y.609654	459
IC4y.609264	614
ID4z.609621	604
IC4z.609594	490
IG4x.609230	515
SA5y.609467	563
ID1x.609460	1441
IN1z.609541	1306
IN1y.609374	1576
IL3y.609226	454
ID2y.609217	1144
IL4z.609506	429
IL1x.609375	600
IL2y.609588	562
IN1x.609339	1589
SC1x.609462	903
IN4x.609569	2046
SA2z.609585	864
IN4y.609637	2053
IJ3z.609219	1304
IB5x.609493	277
ID3z.609484	563
SG2x.609508	285
