	observed_species
54323SDZ1.D4.Cguer.stom.609940	2759
44923SDZ3.B2.Pnem.stom.609865	959
44923SDZ3.C1.Pnem.stom.609894	823
54323SDZ1.C3.Cguer.feces.609868	941
44923SDZ2.C5.Pnem.duod.609895	558
44923SDZ3.C8.Pnem.stom.609881	329
54379SDZ1.G7.Tcris.Mlymph.609736	4137
44923SDZ3.C2.Pnem.stom.609751	588
44568SDZ5.D1.Pnem.stom.609850	994
44923SDZ3.A4.Pnem.stom.609866	500
44923SDZ3.B8.Pnem.stom.609730	935
44923SDZ5.H6.Pnem.stom.609693	268
45187SDZ5.A4.Tfran.colon.609772	1305
46834SDZ4.C3.Pnem.stom.609725	679
44923SDZ3.B3.Pnem.stom.609765	1910
44568SDZ5.F1.Pnem.stom.609700	1132
44568SDZ5.D6.Pnem.duod.609885	374
44923SDZ5.H2.Pnem.stom.609753	255
54323SDZ1.C6.Cguer.ileum.609897	920
44923SDZ3.A8.Pnem.ileum.609955	494
54167SDZ1.A8.Tfran.cecum.609910	4334
44568SDZ5.G3.Pnem.stom.609750	1805
54374SDZ1.D7.Tcris.feces.609953	1073
44923SDZ3.D7.Pnem.stom.609829	667
45187SDZ5.A7.Tfran.jeju.609752	404
44923SDZ3.B7.Pnem.stom.609684	1375
44568SDZ5.G7.Pnem.feces.609962	544
45796SDZ4.H3.Pnem.stom.609964	130
45661SDZ2.F2.Pnem.duod.609967	939
54374SDZ1.F1.Tcris.feces.609729	2908
54374SDZ1.D8.Tcris.stom.609877	5322
44923SDZ3.D2.Pnem.stom.609830	304
44923SDZ2.H8.Pnem.colon.609681	923
44923SDZ3.A3.Pnem.stom.609947	703
45187SDZ5.A6.Tfran.jeju.609727	508
44923SDZ3.C3.Pnem.stom.609836	728
54323SDZ1.C8.Cguer.cecum.609739	6031
44923SDZ5.H8.Pnem.stom.609777	90
45661SDZ2.D6.Pnem.ileum.609780	1204
45300SDZ4.E3.Pnem.feces.609880	2519
44899SDZ3.G2.Pnem.stom.609892	764
44923SDZ2.H3.Pnem.stom.609965	874
44568SDZ5.F3.Pnem.stom.609912	756
45661SDZ2.F7.Pnem.jeju.609781	716
45560SDZ2.B4.Pnem.stom.609682	5138
54379SDZ1.F8.Tcris.stom.609783	6927
44568SDZ5.D5.Pnem.stom.609824	308
54323SDZ1.B8.Cguer.mesy.609855	968
48000SDZ3.H8.Cang.colon.609711	2419
54167SDZ1.A2.Tfran.stom.609916	2537
44568SDZ5.F5.Pnem.stom.609773	380
44568SDZ5.E3.Pnem.stom.609785	362
44923SDZ3.C5.Pnem.stom.609819	610
44923SDZ3.D4.Pnem.feces.609728	433
45300SDZ3.F1.Pnem.stom.609719	10420
45796SDZ4.H4.Pnem.stom.609882	264
46834SDZ4.C7.Pnem.stom.609932	2396
44568SDZ5.C8.Pnem.stom.609760	2663
44568SDZ5.F2.Pnem.stom.609823	3289
44568SDZ5.G1.Pnem.stom.609679	4761
44568SDZ5.H1.Pnem.stom.609938	1984
44568SDZ5.C4.Pnem.stom.609971	356
44568SDZ5.C7.Pnem.jeju.609807	998
44899SDZ3.G4.Pnem.stom.609802	4192
44568SDZ5.D2.Pnem.stom.609863	1797
44568SDZ5.F8.Pnem.stom.609956	2109
44568SDZ5.E4.Pnem.stom.609874	3007
44568SDZ5.F7.Pnem.stom.609979	2469
44568SDZ5.E7.Pnem.stom.609867	1719
44568SDZ5.D8.Pnem.stom.609929	2610
44899SDZ3.G5.Pnem.duod.609761	2159
44568SDZ5.E8.Pnem.stom.609990	1138
54432SDZ1.H5.Tfran.stom.609770	6795
44568SDZ5.F4.Pnem.stom.609931	3134
44568SDZ5.C6.Pnem.stom.609888	2479
44568SDZ5.F6.Pnem.stom.609786	2219
44899SDZ3.G6.Pnem.stom.609717	4688
44568SDZ5.D4.Pnem.stom.609991	2262
44568SDZ5.D3.Pnem.ileum.609712	802
44899SDZ3.G3.Pnem.stom.609851	2931
44568SDZ5.E6.Pnem.stom.609805	574
54432SDZ1.H3.Tfran.stom.609859	5159
44568SDZ5.G8.Pnem.stom.609982	1289
44568SDZ5.E5.Pnem.stom.609961	72
45187SDZ5.C3.Tfran.feces.609794	1043
54432SDZ1.H6.Tfran.stom.609856	5828
44899SDZ3.H1.Pnem.jeju.609747	1225
54432SDZ2.A3.Tfran.duod.609748	5914
54432SDZ2.A1.Tfran.jeju.609939	4363
45300SDZ3.F3.Pnem.cecum.609809	7302
54167SDZ1.B7.Tfran.mesy.609873	1412
54432SDZ1.H2.Tfran.stom.609826	3690
54432SDZ1.H4.Tfran.stom.609734	6879
54167SDZ1.B4.Tfran.ileum.609776	3394
44568SDZ5.G2.Pnem.feces.609871	1062
45661SDZ2.D2.Pnem.stom.609903	5987
54432SDZ2.A2.Tfran.feces.609917	3966
54432SDZ2.A4.Tfran.feces.609992	5230
54323SDZ1.D6.Cguer.stom.609839	1772
44568SDZ5.G4.Pnem.feces.609764	1256
54379SDZ1.G6.Tcris.stom.609817	7653
45300SDZ4.E5.Pnem.feces.609732	4443
44568SDZ5.G6.Pnem.feces.609706	1955
45661SDZ2.E7.Pnem.cecum.609702	705
45661SDZ2.G7.Pnem.feces.609745	1031
44923SDZ3.B4.Pnem.stom.609758	2697
44568SDZ5.C5.Pnem.colon.609737	1447
45796SDZ4.H2.Pnem.feces.609924	1676
44923SDZ3.B5.Pnem.stom.609801	1906
45560SDZ2.B3.Pnem.cecum.609683	1461
45661SDZ2.F4.Pnem.stom.609744	3661
45661SDZ2.E5.Pnem.stom.609995	3307
