	observed_species
TBE15June09.618049	6347
TBE01June05.617898	26551
TBE07July09.618760	6655
TBE04Nov05.618630	22537
TBE03June09.617646	6154
CBH07July09.617608	5938
CBH21July09.617825	5102
SSB08jun09E.618193	6653
SSB13jul09E.618313	6361
SSB24aug09H.618233	7567
TBE11Aug05.618583	6091
SSB27jul09E.R1.618655	6022
SSB29may09E.617920	6803
TBH04Nov05.618203	8361
CBH12Aug09.617676	5319
CBH18Aug09.618628	5398
TBH08June05.618771	8884
TBH29June05.617536	8449
TBH27July05.617988	7048
CBH29May09.618757	23784
TBH29May09.617519	6528
SSB21jul09H.617786	5645
SSB24aug09E.618283	8323
TBH03Aug05.618171	7116
SSBE15Oct07.618846	4145
NSBE07Aug07.618502	7980
TBE15July08.618008	5840
NSBE11June09.618597	7727
SSBH10Sept07.618214	6095
NSBE27July09.618056	11367
NSBH06May09.618330	3527
NSBH23June09.618910	1685
SSBH21Aug08.617579	5604
SSBE18July08.617693	4408
SSBH21Sept08.618514	24152
SSBH30Apr08.618605	21931
SSBH21July08.618886	5578
SSBE14July08.618698	4652
CB28July05.617535	3321
SSBE10July08.618166	4207
SSBH09June08.618383	5238
SSBH27Sept08.617598	5189
CB10Aug05.617782	3868
SSBH07Aug08.618343	5342
NSB15sep08H.617627	5190
SSBH10Sept07.618615	11448
NSBH02Aug09.618428	7934
NSBH12June09.617593	5604
NSBH05June09.618393	9401
NSBE11June09.617768	14220
SSBE15Oct07.618920	7802
NSBE23Aug07.618111	2358
NSBE07Aug07.618587	14351
NSBE06Aug09.618675	18160
SSBH05July07.617767	15039
NSBH06May09.617990	6675
SSBH13July07.618752	11453
TBE02Aug07.618859	14120
CBE18July07.618500	7316
TBE31July07.618692	5093
TBE10Sept07.618380	4692
TBE16July07.618606	14488
TBE25July07.617975	5838
TBE27Aug07.617570	6436
TBE27June07.617859	4624
CBE25July07.618200	9241
TBE09Aug07.618804	2416
TBE06Nov07.617823	5048
TBE02Aug07.618147	6769
TBH21JJune07.618493	2641
MAH15June05.617704	9944
MAH04Oct05.618402	9179
MA30jun09H.618720	6521
MA28jul09H.R1.618893	7824
MAH11Aug05.618808	9606
MAH21Aug08.618890	5368
MAE09Oct08.617514	4846
MAH08Aug07.618792	13919
MAH20July07.618085	4959
MAH24Aug07.618385	3327
MAH16July07.618215	4227
MAH25Sept05.618332	11894
SSBH24Sept07.617732	1564
NSBH07Aug07.618873	2479
TBH10Oct08.617833	6215
TBH01Aug08.618098	10297
NSBH26June09.618186	7399
NSBH27Aug07.617789	1694
SSBH07Nov07.617751	4355
NSBH05June09.617972	4856
SSBH13July07.617594	6287
HKH04July07.617850	3842
NSBH21July09.618512	1761
TBE30April08.618898	2901
SSBE24July07.617662	8057
TBH29July08.618362	3541
NSBH19June07.618830	2305
NSBE21July09.618585	4415
SSBH22Oct07.617826	2615
TBH01July08.617869	3761
NSBH31July09.618376	1837
SSBH29July07.617858	1734
SSBH05July07.618339	8428
NSBE06Aug09.618139	10208
NSBE22June07.618163	2177
NSBH12June09.617674	2798
HKH27Aug07.617885	3887
NSB21may08H.618093	6626
NSB30jun08H.617820	5259
TBE08Aug08.618776	8264
MAE27Aug07.618061	3387
SSB23jun09E.618091	5448
NSBE08June09.617932	10772
CB10June05.618891	4466
CB21June05.618148	4047
SSBE19June07.R1.618883	1994
FBE10July07.618833	4223
FBH18July07.617574	10816
FBH05July07.618609	4484
FBE27June07.618531	5504
FBE02July07.618802	4851
FBH10July07.618416	2696
FBE05July07.617916	4231
FBH02July07.618725	3163
FBH06Aug07.618573	3652
FBH27June07.617970	2967
FBH29June07.618244	2750
FBE29June07.618384	2691
CBH27June07.618306	8798
FBH12July07.618129	2718
FBH02July07.618923	1408
FBE27June07.618251	2658
FBH27June07.618559	1305
FBE10July07.617583	1877
FBH05July07.618554	2014
FBE12July07.618845	1161
FBE05July07.618820	1827
FBH16July07.618745	1372
FBE16July07.618307	1145
FBH18July07.617709	5669
FBH10July07.618732	1313
FBH29June07.618207	1222
TBE03Aug05.618137	5674
TBE24Aug05.618659	6626
MA14jul09E.618272	4173
TBE13Sept05.617562	6323
TBE30Aug05.618024	6506
MA20jul09H.618080	3740
TBE08Aug08.617500	4494
SSBE09Aug07.617495	5014
NSB15jul08E.618691	11573
NSB13jul08H.617880	4453
NSB19jul08E.618619	3442
TBE31Aug08.618457	2997
NSBH26June09.618318	12838
MAH23Oct07.618235	723
MAH11Sept07.618487	4496
MAE05Nov07.618574	8658
CBH01Oct07.617682	2992
WSBE05July07.618144	1554
MAE23Oct07.618594	1654
CBE08June09.617780	3216
SSBH09Sept08.618399	4983
NSBH19June07.618868	4568
NSBE19July07.617802	3150
TBE07Nov07.618410	11590
MA03aug09E.618298	5080
MA03aug09H.R1.617750	7000
MA14jul09H.617957	7240
MA03jun09H.618777	8663
MAH05Sept05.618110	11572
MA30may09H.618134	21497
MA24jun09H.618184	6824
MAH27July05.618779	10040
MAH30Aug05.617791	11085
HKH15June07.618862	2531
HKH01Aug07.617552	4620
HKH08Aug07.618178	13754
MAH05Oct08.618834	6713
MAH20Sept08.617994	23894
HKH26June07.617721	9664
HKH08Aug07.618533	23066
HKH27Aug07.618246	6434
HKH12July07.618197	8516
NSBH16July07.618451	2776
MAH26July07.618159	8630
MAH10Aug07.618506	12627
MAH23July07.618960	8091
MAH26June07.618081	10359
MAH28June07.618242	22435
MAH01Aug07.618002	9593
MAH05Nov07.617612	11388
MAH22Aug07.618927	9825
MAH01Oct07.618688	10114
MAE27Aug07.618448	6352
MAH01Aug07.618124	5030
MAH22Aug07.618909	5095
MAH08Aug07.618915	7831
WSBE11July07.617963	3195
NSB31jun08H.R1.618843	5344
MAE01June05.618136	4148
MAE08June05.618747	3385
MAE22June05.617634	5565
TBH11Aug05.617606	7935
SSB02aug09E.618135	5803
NSB03may08H.618987	4082
CB12July05.618829	3831
NSBH23Aug07.618623	2979
NSBE16July07.618822	4219
NSBE27June07.618599	8337
HKE09July07.618971	3085
NSBE19June07.618155	3926
HKE10Aug07.618943	5706
NSBE05July07.618617	2721
HKE17July07.617696	3144
CBH27July07.617933	2610
CBH12July07.618294	4627
WSBH30Oct07.617998	8750
CBE05July07.618201	4653
CBH02July07.618790	7860
FBE09Aug07.617905	3931
WSBE22Oct07.618507	2344
CBE10July07.617908	5036
MAE17July07.617888	4230
CBH19June07.617497	4297
CBH18July07.618234	7532
FBE25July07.618821	6038
WSBE07Aug07.618719	10810
CBE02July07.618784	4859
CBH05July07.618302	4141
CBH21June07.618632	4100
CBE27June07.618743	3724
WSBE16July07.618256	5603
CBH20Aug07.618179	16561
CBH29June07.617989	4369
CBE21June07.618187	8540
CBH10July07.617860	8789
CBH09Aug07.618348	7554
FBH10Sept07.618053	13759
WSBE11June07.618759	5594
TBH27July07.618572	18009
FBE27Aug07.617694	4110
CBE27July07.617842	3509
WSBH08Nov07.618070	4510
MAE06July07.618968	7837
WSBH02Oct07.617502	5668
WSBH25Sept07.618099	6232
CBE25July07.617847	4510
MAE16July07.618638	3317
CBE10Sept07.617923	1739
CBH10July07.618279	4160
CBH20Aug07.617586	8564
CBH27June07.618095	4205
CBH06Aug07.618331	2381
FBH27Aug07.618577	3698
CBE05July07.617561	2183
CBE27June07.617515	1660
CBH19June07.618763	1903
CBE18July07.618669	3487
CBE10July07.617568	2370
HKH24Aug07.617722	3683
MAE25Aug08.617995	3079
CBH05July07.618238	1822
CBE06Aug07.618071	1041
CBH18July07.618255	3699
MAH29June05.617919	9719
TBE13June08.617910	3168
TBE26May08.618986	4013
TBH06June08.617936	4165
TBH06June08.618064	8177
TBH04May08.618248	7708
TBH26May08.618229	5263
TBH01Oct07.618038	4462
