	observed_species
Soil.NIL.100.N.14.2.479827	23383
BMC.8.1T.11.1.479642	31484
Phylospora.comosa.2.5.479848	4774
T.3.2.H.E.2.479796	18621
T.3.2.H.E.3.479655	19265
T.1.1.H.E.4.479573	10000
W.2.2.S.E.2.479726	6588
T.2.1.H.E.5.479871	8931
BuP.479847	5401
N.2.3.H.P.4.479624	9653
N.1.2.H.E.1.479781	7146
N.3.2.H.E.2.479643	3660
W.2.2.H.E.1.479840	6888
N.2.2.H.E.5.479734	11937
N.3.1.H.E.1.479719	3899
N.2.3.H.P.3.479782	9922
T.1.1.S.E.3.479607	9346
Phylospora.comosa.2.4.479919	4385
Phylospora.comosa.1.5.479652	4897
W.1.3.H.E.4.479776	7330
N.3.1.H.E.5.479828	5750
T.3.2.S.E.5.479670	13398
Phylospora.comosa.3.5.479812	10249
BbK.479562	3847
N.2.3.H.E.3.479813	7147
W.2.1.S.E.5.479841	6002
N.3.1.H.E.3.479611	4987
W.1.2.H.E.4.479680	8184
T.3.2.H.P.2.479894	11084
BuG.479791	10396
W.2.3.H.E.3.479891	13264
T.2.2.H.P.1.479757	10452
W.1.3.H.E.1.479777	6033
N.3.2.S.E.4.479889	17549
T.2.1.H.P.3.479689	9342
BMC.7.1T.20.1.479715	27270
Phylospora.comosa.4.5.479712	4048
T.2.2.H.P.2.479920	12794
N.1.2.H.E.5.479581	5084
W.1.2.H.E.2.479561	11362
N.1.2.S.E.4.479765	14904
Phylospora.comosa.2.3.479906	663
W.1.1.H.E.1.479824	7929
W.1.2.S.E.5.479728	11043
W.1.2.H.E.3.479682	10211
W.1.3.H.E.3.479834	11542
LbG.479910	6940
BuN.479829	3809
T.2.3.H.P.2.479838	12550
W.1.3.H.E.5.479750	7253
N.3.1.H.E.4.479681	2946
BMC.7.5T.5.2.479810	23838
N.1.1.S.E.4.479772	20105
W.3.1.H.E.2.479825	11352
W.3.1.H.E.5.479747	21782
W.1.2.H.E.5.479869	8012
N.2.1.H.E.1.479924	8413
N.2.2.S.E.3.479696	19404
T.1.3.S.E.4.479790	11457
T.3.2.H.P.4.479591	8815
BuF.479582	18297
N.3.2.H.E.3.479763	3959
N.2.2.H.E.1.479578	10411
N.1.2.H.E.3.479842	6069
W.2.1.H.E.5.479601	12087
T.2.2.H.E.3.479657	10542
N.3.1.S.E.2.479907	6332
T.2.2.H.E.2.479855	10484
W.1.1.S.E.1.479608	8066
N.3.2.H.E.5.479878	5097
N.2.2.S.E.2.479559	18892
T.3.1.H.P.3.479706	13419
N.2.3.H.P.1.479691	9611
N.1.2.S.E.5.479764	10110
W.2.3.S.E.2.479807	10271
N.3.3.H.E.4.479676	4109
N.2.1.H.E.4.479644	8741
W.3.2.H.E.4.479850	18877
W.1.1.H.E.4.479802	8166
N.2.1.H.E.2.479795	7721
T.3.1.H.E.4.479649	15798
W.1.3.S.E.2.479637	12237
N.3.2.H.E.1.479783	4594
BbE.479574	20222
N.1.2.H.E.4.479867	6078
N.2.2.S.E.4.479742	22121
N.1.1.H.E.2.479690	12928
BbM.479619	4173
T.2.3.H.E.2.479816	15645
W.1.3.H.E.2.479685	7031
N.1.1.H.E.3.479851	10870
W.1.1.H.E.2.479752	12345
W.2.2.H.E.2.479817	9846
W.3.1.H.E.3.479660	12122
T.3.3.S.E.3.479774	14135
T.2.2.S.E.5.479859	16079
N.1.3.S.E.3.479631	12138
N.3.3.S.E.4.479938	10390
