	observed_species
B3.5.11.06.486113	4430
B2.5.10.06.486169	11305
B1.5.17.06.486171	1764
B1.5.11.06.486104	3731
B6.5.13.06.486109	1403
B2.5.21.06.486166	1764
B5.5.14.06.486107	4917
B1.5.21.06.486168	1350
B1.5.15.06.486157	3842
B6.5.16.06.486129	4555
B1.5.6.06.486153	6780
B1.5.20.06.486172	1480
B5.5.19.06.486134	2640
B2.5.9.06.486122	8756
B6.5.11.06.486140	2207
B6.5.14.06.486146	1783
B1.5.10.06.486123	2260
B5.5.15.06.486162	2725
B1.5.14.06.486173	3403
B2.5.8.06.486143	5618
B4.5.16.06.486118	2600
B4.5.12.06.486135	2901
B6.5.12.06.486116	2362
B1.5.9.06.486147	2677
B5.5.13.06.486124	2238
B1.5.16.06.486145	2787
B2.5.18.06.486163	3230
B2.5.6.06.486132	1959
B6.5.10.06.486176	2860
B5.5.17.06.486131	1704
B1.5.18.06.486111	2882
B6.5.21.06.486127	1411
B3.5.9.06.486126	2402
B2.5.15.06.486112	1469
B6.5.8.06.486119	4377
B6.5.19.06.486164	1493
B5.5.20.06.486170	746
B3.5.10.06.486159	1792
B3.5.19.06.486152	3074
B5.5.21.06.486139	592
B4.5.7.06.486141	3710
B1.5.12.06.486115	1338
B2.5.11.06.486125	1666
B1.5.7.06.486150	4548
B2.5.17.06.486133	1210
B6.5.17.06.486174	2107
B5.5.18.06.486121	622
B1.5.8.06.486151	2588
B1.5.13.06.486136	1582
B4.5.9.06.486138	3290
B2.5.7.06.486142	3100
B6.5.5.06.486156	2036
B5.5.8.06.486149	1735
B2.5.13.06.486160	1917
B5.5.6.06.486158	1862
2B2.5.6.06.486110	1122
B3.5.12.06.486148	891
B5.5.16.06.486108	743
B4.5.8.06.486117	1295
B6.5.9.06.486114	1375
B3.5.8.06.486106	1338
B5.5.10.06.486167	879
B5.5.9.06.486175	879
B3.5.21.06.486105	701
B2.5.16.06.486137	685
B3.5.17.06.486120	450
B6.5.7.06.486165	938
B3.5.13.06.486128	395
B3.5.16.06.486161	724
B3.5.15.06.486144	421
B5.5.12.06.486130	662
B5.5.7.06.486154	607
