	observed_species
ELB15.111810.1.608886	11669
ELB6.111810.2.608805	15619
FRX7.120710.2.608812	13507
FRX9.120710.1.608878	19554
ELB6.111810.1.608818	12706
RMK.ENR.3.1.608820	13136
RMK.ENR.36.2.608841	10956
VAN20.120210.1.608873	15625
RMK.ENR.5.1.608858	5386
RMK.ENR.19.2.608840	4032
ELB18.111810.2.608844	13178
VAN45.120210.2.608864	11514
FRX7.120910.2.608839	23313
RMK.ENR.36.1.608856	4174
RMK.ENR.2.1.608846	11986
RMK.ENR.8.1.608814	8242
VAN45.120210.1.608807	15054
FRX6.120710.1.608863	16581
ELB18.111810.1.608860	19092
FRX6.120710.2.608855	13272
RMK.ENR.26.2.608854	7201
VAN65.120210.1.608879	12731
VAN20.120210.2.608806	13942
RMK.ENR.7.2.608808	6736
RMK.ENR.10.2.608828	7063
RMK.ENR.18.2.608827	3783
VAN65.120210.2.608847	10071
VAN35.120210.1.608825	13117
RMK.ENR.23.1.608813	7876
RMK.ENR.21.2.608874	5162
RMK.ENR.6.2.608871	5446
RMK.ENR.6.1.608882	3970
VAN35.120210.2.608845	13776
RMK.ENR.22.1.608872	12898
RMK.ENR.21.1.608837	7807
RMK.ENR.23.2.608865	4232
RMK.ENR.5.2.608829	5702
RMK.ENR.24.1.608876	8489
RMK.ENR.25.1.608867	7021
RMK.ENR.27.1.608888	8655
RMK.ENR.8.2.608877	6744
RMK.ENR.14.2.608830	5310
FRX7.120710.1.608883	15876
RMK.ENR.25.2.608816	9539
RMK.ENR.22.2.608817	5873
RMK.ENR.33.1.608859	3570
RMK.ENR.26.1.608891	7757
RMK.ENR.1.1.608833	9595
RMK.ENR.17.1.608824	9508
RMK.ENR.11.1.608849	7195
RMK.ENR.15.2.608838	7470
RMK.ENR.18.1.608809	6204
RMK.ENR.29.1.608819	7104
RMK.ENR.28.2.608815	7385
RMK.ENR.28.1.608843	7011
RMK.ENR.15.1.608892	6683
RMK.ENR.35.1.608811	2901
RMK.ENR.20.1.608832	7788
RMK.ENR.29.2.608842	7483
RMK.ENR.12.1.608823	6094
RMK.ENR.11.2.608831	5327
RMK.ENR.17.2.608861	5029
RMK.ENR.7.1.608810	7165
RMK.ENR.27.2.608866	10336
RMK.ENR.9.1.608836	9078
RMK.ENR.14.1.608862	8074
RMK.ENR.20.2.608834	8674
RMK.ENR.12.2.608826	4429
RMK.ENR.16.1.608885	5966
RMK.ENR.35.2.608851	2426
RMK.ENR.13.2.608869	5805
ELB15.111810.2.608857	11855
RMK.ENR.16.2.608850	1938
RMK.ENR.19.1.608821	4573
RMK.ENR.4.2.608887	4409
RMK.ENR.24.2.608868	4174
RMK.ENR.34.1.608853	3161
RMK.ENR.31.1.608852	2433
RMK.ENR.31.2.608835	3404
RMK.ENR.30.1.608848	2998
RMK.ENR.34.2.608893	2604
RMK.ENR.32.2.608890	3285
RMK.ENR.33.2.608870	3544
RMK.ENR.9.2.608822	7984
RMK.ENR.4.1.608889	8636
RMK.ENR.32.1.608884	2929
RMK.ENR.10.1.608880	4680
RMK.ENR.13.1.608881	5689
RMK.ENR.30.2.608875	3457
