	observed_species
KH7.488307	23572
KH61.488323	22928
KH31.488278	25297
KH37.488286	22905
KH6.488262	18029
KH24.488285	23692
KH48.488300	22944
KH40.488263	25950
KH64.488299	26942
KH52.488267	26654
KH2.488302	26497
KH33.488289	27522
KH15.488292	20080
KH23.488264	24606
KH13.488281	28718
KH14.488284	13977
KH44.488298	20211
KH56.488294	20514
KH28.488276	26063
KH42.488308	20100
KH51.488291	23032
KH36.488282	24492
KH9.488318	21468
KH29.488306	21066
KH55.488272	20617
KH25.488287	19381
KH50.488309	12422
KH8.488301	27016
KH3.488305	21287
KH35.488280	29896
KH19.488277	22428
KH21.488310	8206
KH59.488283	25644
KH34.488293	15216
KH1.488321	25763
KH10.488266	28543
KH47.488324	24431
KH39.488312	24499
KH18.488275	26576
KH54.488290	27546
KH38.488313	20167
KH27.488296	13730
KH30.488265	28968
KH49.488322	23993
KH60.488319	18687
KH12.488316	10741
KH58.488297	13963
KH43.488315	23228
KH20.488317	28900
KH26.488320	24412
KH17.488279	21483
KH53.488271	23351
KH41.488303	21344
KH11.488288	25266
KH4.488274	17878
KH22.488268	24083
KH45.488261	22290
KH46.488269	21363
KH63.488311	16405
KH65.488325	18317
KH16.488295	14900
KH32.488273	14183
KH5.488270	337
KH57.488314	9649
KH62.488304	1916
