	observed_species
CHC9.414572	2783
CHB8.414584	3273
CHB6.414576	9540
CHD3.414577	3798
CHC11.414571	5126
CHA11.414591	11354
CHD4.414580	3135
CHD11.414585	3917
CHD2.414575	12734
CHB5.414599	9025
CHA12.414583	15602
CHB2.414602	17910
CHC17.414573	22344
CHD10.414568	13385
CHC12.414601	5165
CHF1.414588	8906
CHB9.414586	4332
CHD5.414595	6659
CHD9.414564	15465
CHF6.414596	17199
CHF2.414594	6782
CHA10.414590	2889
CHD8.414600	17872
CHC13.414598	12676
CHB4.414582	2411
CHC10.414570	3153
CHB7.414578	303
CHC16.414592	61
CHC5.414587	40
CHF5.414597	24
CHC7.414605	93
CHA2.414567	12
CHC3.414581	7
CHC2.414606	19
CHB1.414593	35
CHC1.414574	15
CHC6.414579	9
CHA1.414604	2
CHB3.414566	1
CHC4.414603	6
CHD1.414569	3
CHA3.414563	1
