	observed_species
545.538755	12126
544.538638	20043
547.538772	18714
364.538674	16753
438.538559	7538
537.538693	14196
394.538593	20162
534.538769	15475
506.538710	16997
355.538536	25842
501.538692	21440
492.538601	13405
509.538729	14140
580.538735	24548
367.538663	23577
654.538565	11641
411.538629	25611
661.538622	20498
653.538576	14450
401.538538	17681
379.538666	23190
551.538640	19230
629.538689	18194
399.538635	13392
804.538718	6536
560.538701	15613
815.538750	7657
773.538598	17945
376.538686	7641
753.538784	16851
369.538631	23270
370.538555	21605
575.538744	15937
523.538691	13804
562.538678	16441
439.538623	21637
571.538661	15673
535.538669	14764
426.538727	19328
420.538677	4734
404.538804	4497
389.538697	39759
730.538672	14227
462.538572	7078
384.538558	16692
720.538664	15037
767.538807	7067
400.538535	20739
675.538662	10855
365.538719	20200
363.538742	27668
398.538656	13332
351.538749	26435
724.538764	10444
381.538632	24666
427.538548	26530
421.538801	15849
821.538774	8853
573.538616	21065
588.538811	16096
532.538607	20360
618.538557	12689
751.538644	6388
742.538780	12718
415.538659	19778
533.538653	20609
546.538550	22963
589.538642	17693
708.538748	5171
564.538609	13493
559.538712	16926
784.538633	14072
597.538715	21603
572.538574	17585
594.538732	13046
543.538552	19002
524.538762	8844
640.538809	5435
522.538575	17030
596.538544	13602
587.538566	10505
499.538721	21215
558.538713	18824
598.538753	13091
780.538647	12976
467.538758	12772
436.538699	10886
769.538560	16208
595.538541	14727
405.538788	14480
361.538736	7048
525.538714	11031
671.538628	7536
403.538703	20704
627.538546	4967
526.538790	21622
425.538725	21111
754.538803	15329
437.538581	19855
807.538648	13131
442.538802	8962
538.538786	12725
801.538794	8101
766.538539	7016
610.538797	15018
578.538716	19344
413.538634	16754
633.538808	18834
577.538570	26541
433.538591	24940
668.538746	12512
357.538577	17258
631.538590	17559
416.538768	17176
362.538778	14377
372.538540	14813
397.538594	29031
350.538782	12703
514.538805	19385
747.538597	15291
740.538658	18953
757.538600	10378
409.538765	14800
368.538793	27422
825.538747	15120
460.538700	1576
761.538734	5798
642.538694	21749
380.538595	26741
414.538798	6925
507.538702	3753
605.538681	18424
555.538643	20340
542.538733	13981
713.538580	7931
382.538770	21327
576.538704	17899
408.538547	3994
352.538705	16712
550.538646	21431
606.538767	14118
528.538785	11264
375.538796	24746
697.538667	12646
574.538810	14610
386.538603	15463
491.538724	8526
561.538649	13081
497.538625	21643
718.538551	12244
393.538588	19182
504.538726	21856
639.538679	6857
390.538621	5888
430.538620	4659
612.538624	5176
586.538763	2984
417.538777	21888
431.538728	11198
652.538696	4906
756.538683	10534
726.538556	10795
423.538561	10380
502.538626	10042
446.538562	19198
593.538795	18200
373.538630	6352
791.538739	11603
716.538665	17011
387.538752	26019
565.538578	24874
500.538573	14479
383.538781	23018
548.538731	17055
582.538657	18219
584.538619	21129
778.538612	4628
366.538652	18342
632.538776	7755
636.538671	15462
539.538583	14080
510.538542	7650
820.538707	10323
704.538651	16860
590.538655	18148
392.538761	21257
396.538571	7630
531.538582	17927
635.538645	14315
451.538791	14241
583.538636	6494
481.538553	16328
536.538783	13633
374.538592	7102
619.538614	19796
424.538676	15403
792.538685	4505
568.538730	20280
777.538604	3540
479.538720	3333
354.538698	24939
556.538737	18068
406.538627	7702
737.538564	12038
410.538549	7847
570.538613	7326
739.538687	4200
790.538654	3396
645.538599	5337
746.538618	10853
529.538754	11542
826.538606	13161
513.538789	3488
601.538760	17699
463.538589	7202
579.538650	18472
388.538682	6797
690.538567	6815
715.538563	15640
402.538596	15124
443.538543	12616
458.538690	15169
378.538759	7649
518.538637	3458
495.538617	11786
476.538587	869
623.538610	1635
465.538717	1413
412.538779	10866
549.538684	19971
738.538711	3588
714.538706	6020
407.538608	3076
505.538660	10080
641.538771	14581
759.538799	9031
452.538745	4103
823.538579	13869
391.538688	25219
630.538668	6094
395.538537	3479
552.538812	9513
611.538722	5239
655.538611	7444
733.538806	10107
488.538569	3282
540.538756	15534
520.538743	8582
786.538545	10231
503.538708	2465
600.538602	10133
698.538568	13788
644.538675	5696
435.538792	5884
686.538554	4439
512.538670	1677
827.538775	2942
418.538585	6280
768.538757	5227
422.538615	2837
455.538680	4152
727.538741	1403
772.538605	1594
717.538800	1299
622.538787	3225
466.538709	1251
563.538773	5136
494.538586	3071
521.538641	12980
603.538584	1662
511.538723	1394
659.538639	1772
429.538738	8
468.538751	1
353.538695	1
377.538740	1
