	observed_species
HCanyon7R1.603167	8490
Halls4R2.603110	4252
CrustControlR2.603145	10527
Stillton3R1.603152	10277
HCanyon7R2.603174	9504
HCanyon5R2.603198	13214
Halls4R1.603122	4328
Stillton9R1.603144	10982
Stillton8R1.603163	14404
HCanyon9R3.603191	9009
HCanyon10R1.603162	7536
Stillton9R3.603181	10587
CrustControlR3.603140	8732
Halls10R2.603161	9075
HCanyon10R3.603109	4765
HCanyon10R2.603158	6005
Halls8R2.603137	6048
HCanyon5R1.603119	14150
Halls3R1.603105	8953
HCanyon9R2.603128	6280
HCanyon9R1.603154	9043
Stillton2R1.603130	14632
HCanyon7R3.603186	8848
HCanyon5R3.603150	12767
Stillton7R3.603164	13674
HCanyon2R2.603138	14655
Stillton7R1.603129	11174
Halls5R2.603123	2579
Halls2R1.603125	5338
HCanyon8R2.603195	10700
Stillton10R2.603115	10005
Halls2R2.603165	4664
Halls0R2.603147	21189
HCanyon3R1.603141	16406
Stillton3R2.603136	8196
Stillton3R3.603106	11569
Stillton11R1.603184	10343
HCanyon4R1.603185	17339
HCanyon12R2.603172	6071
Stillton10R1.603192	8761
Stillton9R2.603170	7831
HCanyon1R2.603111	10456
Halls6R1.603173	4828
Halls3R2.603151	5316
Stillton11R3.603139	11611
HCanyon2R1.603112	19614
Halls10R1.603166	14849
Stillton2R2.603179	10780
HCanyon3R2.603135	18742
HCanyon11R2.603120	6715
HCanyon1R3.603183	12965
HCanyon4R2.603187	19451
Halls1R1.603155	17299
Halls9R2.603153	13117
Stillton6R3.603175	7463
Halls1R2.603182	15837
HCanyon2R3.603188	18283
Halls7R1.603160	9440
HCanyon8R3.603127	9060
Stillton2R3.603116	12488
Stillton4R2.603108	10986
Stillton5R2.603189	11125
HCanyon6R3.603157	8473
Stillton1R2.603148	12066
Stillton0R3.603134	16622
Stillton0R1.603118	13900
Stillton7R2.603126	15408
Stillton8R3.603180	13964
Halls8R1.603190	13178
HCanyon3R3.603146	17458
HCanyon0R2.603132	20592
Halls0R1.603177	16685
Stillton0R2.603159	14852
HCanyon0R3.603176	9478
Halls6R2.603168	7832
HCanyon11R1.603104	8744
HCanyon0R1.603107	19290
HCanyon11R3.603143	9338
HCanyon1R1.603131	9192
HCanyon4R3.603124	14393
HCanyon12R3.603156	11210
Stillton4R3.603169	6917
HCanyon8R1.603133	9430
Halls7R2.603197	14217
Stillton1R1.603149	10802
Halls9R1.603114	12258
HCanyon6R1.603121	7564
Stillton6R2.603171	4830
Halls5R1.603142	7360
HCanyon6R2.603113	7520
Stillton6R1.603193	7414
HCanyon12R1.603196	7486
CrustControlR1.603117	10023
Stillton10R3.603194	7081
Stillton4R1.603178	4520
