	observed_species
C7.5m.L3.608682	26098
C8.0m.L3.608790	12664
C10.10m.L3.608780	23216
C8.10m.L3.608699	8705
C7.0m.L3.608803	10813
C8.5m.L3.608786	23640
AcidMid3.L3.608759	13621
IC1.S1.L3.608771	18317
IC3.S2.L3.608700	9998
AcidLow1.L3.608795	8795
IC2.S3.L3.608740	14531
IC1.S3.L3.608714	11353
IC3.S3.L3.608721	9203
C11.10m.G3.608800	10282
AcidCtrl3.G3.608736	12412
C8.3m.G3.608732	4113
C11.3m.G3.608778	6670
C7.3m.G3.608756	6013
C9.10m.G3.608788	2057
C11.0m.G3.608798	3798
C7.10m.G3.608723	5453
C10.0m.G3.608801	4068
C7.5m.G3.608784	5606
C6.5m.L3.608698	6877
C6.10m.L3.608729	6093
IC2.S2.G3.608763	13277
AcidCtrl1.L3.608749	7179
IC4.S1.G3.608762	5332
AcidCtrl1.G3.608758	7483
IC4.S3.L3.608766	11554
IC2.S3.G3.608785	7309
AcidCtrl2.L3.608711	21084
C7.10m.L3.608683	6923
C8.3m.L3.608718	6925
C6.3m.L3.608730	10961
C11.3m.L3.608676	5062
C9.3m.L3.608695	2841
AcidMid1.L3.608692	8345
IC3.S1.L3.608715	12083
IC1.S2.L3.608707	12873
IC4.S1.L3.608693	4576
AcidMid2.L3.608773	8561
IC2.S2.L3.608701	11170
IC2.S1.L3.608781	15855
AcidLow2.L3.608708	7953
C10.10m.G3.608688	1339
C7.0m.G3.608794	4276
C9.5m.G3.608767	4774
C7.3m.L3.608722	8161
C10.3m.G3.608737	4168
C9.3m.G3.608685	1655
AcidMid1.G3.608753	4247
AcidCtrl2.G3.608679	3131
IC1.S3.G3.608761	4754
IC4.S2.G3.608757	3488
IC2.S1.G3.608802	4032
IC4.S3.G3.608733	2676
AcidMid3.G3.608779	4244
AcidLow2.G3.608750	3539
AcidLow3.L3.608697	6330
AcidCtrl3.L3.608710	6463
IC3.S1.G3.608709	5913
C11.5m.G3.608755	2299
C10.5m.G3.608712	2437
C8.5m.G3.608789	3951
C9.5m.L3.608746	5176
C8.10m.G3.608691	3471
C6.3m.G3.608727	2552
C6.10m.G3.608751	10425
AcidLow3.G3.608787	4722
IC3.S3.G3.608731	4058
IC1.S2.G3.608703	3525
C9.10m.L3.608775	7355
C10.3m.L3.608704	4079
IC1.S1.G3.608776	4058
IC4.S2.L3.608768	4139
C11.0m.L3.608741	2133
C8.0m.G3.608726	1791
C11.10m.L3.608793	3336
C9.0m.G3.608738	1083
C10.5m.L3.608735	2708
C9.0m.L3.608804	1708
C11.5m.L3.608678	508
IC3.S2.G3.608760	802
AcidLow1.G3.608734	359
C2.3m.L3.608745	33
C6.0m.L3.608739	2
C5.3m.G3.608744	5
C5.5m.G3.608702	1
C2.0m.G3.608772	1
C2.3m.G3.608799	7
C4.10m.L3.608716	1
C2.5m.L3.608687	1
C10.0m.L3.608717	3
C3.3m.L3.608743	1
C4.5m.L3.608791	1
C6.5m.G3.608774	1
