	observed_species
0109BCDNA.486539	5945
1101BCDNA.486582	3977
1910B.486502	4727
2610B.486561	8001
2601B.486514	5094
0707B.486583	5230
1512BCDNA.486548	9861
1503T.486488	4820
1409T.486587	2800
1910T.486471	15622
0803B.486445	6119
1208B.486533	3926
0802B.486524	4910
2105T.486491	965
2408T.486480	3742
2112T.486589	4078
2704T.486560	759
0911T.486492	6231
1708B.486500	2303
2809T.486600	4374
0505T.486565	1488
0710T.486554	5169
0109B.486504	4776
2408B.486546	6654
1210T.486461	4721
0206T.486458	1692
1208T.486596	2754
2209T.486498	4740
1305T.486479	1233
2206t.486478	3078
0401B.486509	6492
2906B.486563	4158
2601TCDNA.486585	5745
0802TCDNA.486506	3767
1101TCDNA.486469	5291
0505TCDNA.486599	3937
0803TCDNA.486559	5441
0102TCDNA.486534	5748
2112TCDNA.486519	4171
1503TCDNA.486485	2376
2704TCDNA.486525	1295
2004TCDNA.486518	4762
0103TCDNA.486508	6466
0802BCDNA.486477	2881
0401TCDNA.486486	4682
0803BCDNA.486551	5178
0912TCDNA.486517	13569
0911TCDNA.486465	4019
1512TCDNA.486595	3480
1801TCDNA.486568	5010
1210TCDNA.486464	9099
0704TCDNA.486571	2348
2610TCDNA.486457	4049
1204TCDNA.486459	4007
1204BCDNA.486523	6613
1708BCDNA.486553	2165
1409TCDNA.486592	2585
1910TCDNA.486549	3905
2809TCDNA.486511	4082
1208TCDNA.486581	1928
0102BCDNA.486538	7531
2105TCDNA.486451	1671
0103BCDNA.486452	6294
0401BCDNA.486528	4197
2604TCDNA.486574	2289
2906TCDNA.486537	4308
2601BCDNA.486507	2251
0109TCDNA.486552	6349
0206BCDNA.486593	1017
2408TCDNA.486493	2168
2704BCDNA.486579	336
2209TCDNA.486590	3180
2112BCDNA.486522	5807
0109T.486531	3132
0709T.486499	3247
1101B.486578	13781
0707T.486496	2390
1307BCDNA.486573	2192
2408BCDNA.486572	2028
0710TCDNA.486446	2262
1305TCDNA.486463	762
2206TCDNA.486472	1589
0709TCDNA.486530	3341
0806TCDNA.486543	1431
0707BCDNA.486449	2687
1801B.486556	6070
1708T.486526	2183
0710B.486575	3468
2209BCDNA.486540	4927
0710BCDNA.486483	3630
0806BCDNA.486588	1583
1409BCDNA.486564	3846
2209B.486470	4121
1409B.486468	6994
0912BCDNA.486505	4478
0709BCDNA.486535	2712
1204B.486562	4000
2105BCDNA.486545	1113
1708TCDNA.486577	1497
2604BCDNA.486474	2230
2004BCDNA.486544	1971
1208BCDNA.486462	2435
0704BCDNA.486487	3086
2906BCDNA.486473	1806
1305BCDNA.486542	1500
0709B.486467	5007
0912B.486484	5206
1307T.486447	2957
2206B.486489	3477
2112B.486555	5103
1307B.486527	2889
0707TCDNA.486570	1945
1307TCDNA.486547	2355
2206BCDNA.486536	1536
0911BCDNA.486576	5091
2004B.486558	1805
2906T.486450	2792
0505BCDNA.486494	1869
1512B.486495	4420
2809B.486513	3072
1210BCDNA.486594	3564
0206TCDNA.486550	1196
2610BCDNA.486456	3343
1210B.486497	3321
1503BCDNA.486569	3409
0704B.486466	2193
2809BCDNA.486510	2558
2604T.486586	1889
0806T.486567	600
0103B.486453	3454
0911B.486454	2261
0102B.486580	3495
1910BCDNA.486516	3240
1801BCDNA.486490	3938
1503B.486566	3039
2704B.486455	1411
0505B.486591	1614
1305B.486521	1175
2105B.486448	1968
0206B.486460	1497
0806B.486597	1340
0912T.486501	79
1101T.486481	1
2610T.486584	3
0401T.486529	1
1204T.486476	1
