	observed_species
L1S1.275106	950
L1S274.273705	547
L1S317.273874	1574
L1S122.273565	1505
L1S280.274513	1491
L1S370.274873	1098
L1S340.274616	1356
L1S282.273542	1671
L1S88.273651	1230
L1S144.273302	1343
L1S142.273722	1021
L1S93.274999	1086
L2S302.273675	1854
L2S99.273432	2428
L2S333.273582	2341
L2S364.275173	1942
L2S336.273961	2173
L2S108.274917	4312
L2S339.274279	780
L2S295.274733	1489
L2S207.274643	6037
L2S369.274208	2860
L2S321.273280	2625
L2S314.274562	2070
L2S195.275103	4129
L2S246.273825	3194
L2S351.273316	1836
L2S270.273301	2518
L2S330.275005	2247
L2S98.274156	4418
L2S358.274273	2460
L2S191.274169	1590
L2S294.273818	2615
L2S126.273811	2452
L2S147.273854	2167
L2S100.273994	2944
L2S216.273851	7300
L2S209.275051	5094
L2S318.275058	2194
L2S275.274761	2185
L2S293.274140	2395
L2S184.273588	4142
L2S340.274757	671
L2S337.274370	1629
L2S264.274728	2175
L2S352.273618	2046
L2S256.273735	1877
L2S122.275099	3204
L2S160.274499	1578
L2S353.273499	1178
L2S268.274328	2827
L2S289.275164	2323
L2S113.273234	3899
L2S152.273834	3466
L2S327.274876	2479
L2S174.274862	2107
L2S111.273340	3018
L2S211.274302	4245
L2S290.274503	2072
L2S259.274404	1309
L2S188.274490	4434
L2S316.274480	1650
L2S286.274871	2178
L2S291.274923	2299
L2S282.273560	1252
L2S219.273918	3879
L2S183.273458	3261
L2S140.275066	3201
L2S175.273504	2274
L2S158.273322	4125
L2S200.273345	4168
L2S312.275026	2517
L2S204.274422	2705
L2S168.274483	4079
L2S324.274843	1832
L2S169.274366	2469
L2S225.273366	3426
L2S159.273882	2996
L2S319.273895	1221
L2S383.274828	1543
L2S101.274931	2337
L2S249.273863	2200
L2S349.273530	1279
L2S262.273847	2541
L2S371.274597	2340
L2S260.273463	2553
L2S138.274982	2052
L2S378.273921	3031
L2S320.274818	1165
L2S153.273823	4779
L2S298.274162	2332
L2S149.273233	1315
L2S170.274497	5290
L2S130.274473	2725
L2S194.274054	4283
L2S109.274119	2516
L2S112.273209	3103
L2S232.273319	4515
L2S280.274825	1687
L2S231.274183	3052
L2S376.273627	2334
L2S205.273328	2209
L2S361.273372	4747
L2S127.273578	2552
L2S313.274461	1522
L2S329.273288	2175
L2S257.273450	1278
L2S341.273465	2701
L2S310.273814	1235
L2S365.274608	4004
L2S241.274532	1305
L2S367.275059	2316
L2S311.274660	1968
L2S372.275084	3222
L2S116.274289	3229
L2S370.273996	3866
L2S261.273625	2371
L2S296.273441	2186
L2S328.273471	1734
L2S121.274618	2270
L2S212.274232	3978
L2S123.273268	3454
L2S255.274361	3278
L2S283.274083	1975
L2S157.274738	3522
L2S150.273249	3785
L2S171.274467	4348
L2S362.273633	5325
L2S265.273653	2198
L2S292.274340	2262
L2S198.273998	3901
L2S180.273868	3338
L2S263.274998	2383
L2S373.274175	3105
L2S254.273957	3573
L2S381.273428	2657
L2S258.274781	933
L2S162.274593	2723
L2S348.273779	1245
L2S181.275050	2108
L2S345.273609	2523
L2S242.274275	1190
L2S189.274133	4311
L2S279.273856	2221
L2S136.274044	3652
L2S221.273916	3232
L2S284.273757	2459
L2S124.273871	3646
L2S134.275076	4116
L2S304.274990	1392
L2S272.273569	1763
L2S229.274131	4607
L2S335.273456	2614
L2S297.273357	2009
L2S146.274684	3032
L2S344.274314	2103
L2S360.274294	2365
L2S338.274929	1464
L2S114.274971	1923
L2S252.274922	2106
L2S135.274833	3575
L2S277.274780	1363
L2S167.274135	3560
L2S234.274132	2069
L2S308.274146	2400
L2S143.273631	3373
L2S115.273884	4444
L2S287.274190	2104
L2S323.273891	1710
L2S165.273826	5387
L2S102.273640	3634
L2S110.274511	3419
L2S105.273526	3484
L2S118.274673	2805
L2S185.274170	5623
L2S354.273307	1353
L2S285.274068	2284
L2S317.274723	1621
L2S267.274489	3496
L2S306.274298	2221
L2S309.273691	1263
L2S190.273784	3832
L2S142.274028	3207
L2S133.274795	2351
L2S382.274508	1380
L2S166.274382	3685
L2S236.274123	1504
L2S346.274797	2063
L2S148.274630	2317
L2S300.273787	1435
L2S145.274590	3050
L2S357.274102	1681
L2S201.273251	4994
L2S161.273767	2836
L2S107.274394	3466
L2S239.274925	938
L2S377.274512	3080
L2S334.273744	2158
L2S307.273507	1692
L2S103.274678	3469
L2S230.274079	4119
L2S172.273405	3734
L2S215.274614	3765
L2S235.274188	1929
L2S125.274921	3363
L2S366.275139	2493
L2S238.273484	1127
L2S271.274172	1757
L2S129.273959	3599
L2S202.273648	3333
L2S350.274395	2450
L2S151.274704	3374
L2S164.274096	3006
L2S163.275092	3593
L2S281.274734	2146
L2S196.273424	3772
L2S120.274680	3005
L2S222.273793	4125
L2S224.275168	5804
L2S315.275112	2080
L2S226.273622	4230
L2S187.273503	4224
L2S301.275033	1589
L2S347.275157	2920
L2S218.274421	3282
L2S156.274830	4312
L2S244.274518	934
L2S217.274124	4086
L2S173.273804	4824
L2S227.275054	3646
L2S155.273430	2115
L2S274.274264	2002
L2S132.274707	2399
L2S176.274685	5599
L2S106.274109	2717
L2S206.274681	3536
L2S243.274397	1580
L2S199.273944	4164
L2S303.274444	1842
L2S240.273433	1226
L2S178.274740	3987
L2S214.275121	4203
L2S278.273562	2627
L2S179.274237	3263
L2S326.273858	1563
L2S356.273913	969
L2S97.273709	3261
L2S363.274385	1342
L2S186.274629	2889
L2S379.273801	1736
L2S182.273544	3887
L2S299.274778	1898
L2S253.274272	2467
L2S220.274533	4925
L2S128.274420	1587
L2S342.274987	1465
L2S117.275169	3358
L2S203.273915	3139
L2S233.274840	1311
L2S131.273525	1463
L2S197.275032	4806
L2S210.273444	5389
L2S247.274365	1540
L2S331.274731	1197
L2S359.274772	3473
L2S276.273904	1143
L2S154.273597	2623
L2S137.273277	4410
L2S245.274823	1394
L2S208.274717	6114
L2S144.273964	2744
L2S269.274477	1761
L2S325.273636	1290
L2S273.274755	2996
L2S193.274142	4391
L2S355.274178	4439
L2S139.273865	3053
L2S248.274500	1621
L2S250.274151	1704
L2S213.273541	2820
L2S251.274093	2264
L2S343.273349	884
L2S322.274671	1371
L2S374.274430	2005
L2S305.273862	2447
L2S141.273404	3022
L2S368.273859	2971
L2S332.275144	923
L2S119.273810	2877
L2S57.273720	767
L2S228.273850	3889
L2S380.274540	3251
L2S3.273423	1685
L2S237.274453	1862
L2S223.274381	4047
L2S104.274260	854
L2S54.273803	1204
L2S39.273828	2176
L2S74.275009	1406
L3S241.273682	1098
L3S302.273750	1152
L3S233.273356	424
L3S65.273270	895
L3S382.273329	554
L3S98.273272	762
L3S39.274751	737
L3S18.274069	922
L3S48.274240	1220
L3S86.273843	1018
L3S151.273776	448
L3S321.273466	1914
L3S254.275029	1210
L3S76.273267	1209
L3S339.274517	1161
L3S218.274045	734
L3S6.273359	1352
L3S264.274946	1269
L3S281.274580	646
L3S200.273435	1007
L3S70.273663	965
L3S159.274097	500
L3S17.274662	1323
L3S139.273657	774
L3S66.274080	631
L3S1.273524	941
L3S316.273550	1045
L3S121.273310	444
L3S99.273515	707
L3S243.273595	1269
L3S40.273374	611
L3S72.274855	231
L3S12.274558	1618
L3S75.274350	1086
L3S328.273207	1419
L3S300.273751	825
L3S195.274992	642
L3S105.274624	459
L3S207.274676	353
L3S308.273771	1480
L3S88.274534	724
L3S100.274551	683
L3S224.273298	718
L3S203.274200	402
L3S322.274182	1836
L3S140.273555	553
L3S53.274325	910
L3S285.274320	1532
L3S60.273457	1745
L3S290.274166	1988
L3S287.273761	1066
L3S50.274760	646
L3S299.273334	613
L3S257.273445	1276
L3S206.273644	448
L3S142.275145	412
L3S196.274937	821
L3S34.273781	625
L3S97.274612	635
L3S379.274043	476
L3S84.274061	1184
L3S276.273304	989
L3S209.273999	337
L3S240.274358	1335
L3S41.275001	606
L3S106.273821	405
L3S185.273706	601
L3S307.275118	1027
L3S263.274471	1592
L3S29.273794	671
L3S324.273476	1918
L3S107.273949	540
L3S256.274419	1871
L3S176.274244	817
L3S28.273673	445
L3S130.274204	1106
L3S10.273800	700
L3S122.274454	1094
L3S369.274712	1445
L3S26.274478	1126
L3S325.273412	1772
L3S101.274440	414
L3S164.273576	847
L3S158.274547	450
L3S74.273574	810
L3S33.274947	644
L3S165.273468	553
L3S205.274158	335
L3S43.274572	515
L3S286.274095	1208
L3S113.273888	751
L3S231.273355	565
L3S63.273769	1453
L3S271.274414	1155
L3S131.274089	1275
L3S27.273556	928
L3S198.274139	1138
L3S162.274021	584
L3S246.273437	1478
L3S227.273614	573
L3S45.273511	512
L3S127.274265	1376
L3S374.274233	1206
L3S77.274010	1251
L3S335.274841	1391
L3S69.274596	1038
L3S91.274006	1920
L3S87.273786	769
L3S357.275119	1455
L3S248.275152	1401
L3S225.273214	753
L3S219.274311	557
L3S9.274798	1613
L3S20.273965	788
L3S266.273363	1202
L3S199.274970	1023
L3S167.273782	535
L3S352.273402	1977
L3S204.274452	384
L3S282.273655	1601
L3S64.274657	1353
L3S336.275081	1518
L3S210.274557	812
L3S104.275116	630
L3S143.273485	488
L3S108.274542	787
L3S298.274359	1427
L3S326.274165	1287
L3S313.273897	873
L3S71.274456	581
L3S95.273785	934
L3S311.275000	1925
L3S293.275055	1278
L3S22.273645	961
L3S171.273672	713
L3S138.273557	888
L3S172.274604	898
L3S249.274882	1415
L3S13.274353	1834
L3S223.274889	908
L3S186.273799	722
L3S213.274031	492
L3S217.273947	1089
L3S245.274413	1303
L3S333.274099	1596
L3S194.273246	1562
L3S222.273213	695
L3S202.273630	1219
L3S85.273577	1144
L3S146.273982	534
L3S216.273425	921
L3S190.275105	247
L3S116.273403	757
L3S267.273984	1397
L3S174.275039	512
L3S215.274574	564
L3S30.275014	1224
L3S117.273241	719
L3S148.273580	595
L3S268.274253	1000
L3S5.273971	1631
L3S81.275006	1207
L3S275.274900	1516
L3S373.274144	688
L3S226.273218	959
L3S343.273923	1316
L3S183.274470	307
L3S370.274487	1632
L3S364.274972	1716
L3S345.275161	2389
L3S292.273460	1744
