	observed_species
54323SDZ1.D4.Cguer.stom.609940	228
44923SDZ3.B2.Pnem.stom.609865	137
44923SDZ3.C1.Pnem.stom.609894	209
54323SDZ1.C3.Cguer.feces.609868	242
44923SDZ2.C5.Pnem.duod.609895	286
44923SDZ3.C8.Pnem.stom.609881	149
54379SDZ1.G7.Tcris.Mlymph.609736	267
44923SDZ3.C2.Pnem.stom.609751	159
44568SDZ5.D1.Pnem.stom.609850	290
44923SDZ3.A4.Pnem.stom.609866	138
44923SDZ3.B8.Pnem.stom.609730	158
44923SDZ5.H6.Pnem.stom.609693	158
45187SDZ5.A4.Tfran.colon.609772	164
46834SDZ4.C3.Pnem.stom.609725	294
44923SDZ3.B3.Pnem.stom.609765	157
44568SDZ5.F1.Pnem.stom.609700	313
44568SDZ5.D6.Pnem.duod.609885	221
44923SDZ5.H2.Pnem.stom.609753	121
54323SDZ1.C6.Cguer.ileum.609897	122
44923SDZ3.A8.Pnem.ileum.609955	171
54167SDZ1.A8.Tfran.cecum.609910	342
44568SDZ5.G3.Pnem.stom.609750	327
54374SDZ1.D7.Tcris.feces.609953	247
44923SDZ3.D7.Pnem.stom.609829	141
45187SDZ5.A7.Tfran.jeju.609752	174
44923SDZ3.B7.Pnem.stom.609684	263
44568SDZ5.G7.Pnem.feces.609962	274
45796SDZ4.H3.Pnem.stom.609964	69
45661SDZ2.F2.Pnem.duod.609967	240
54374SDZ1.F1.Tcris.feces.609729	187
54374SDZ1.D8.Tcris.stom.609877	439
44923SDZ3.D2.Pnem.stom.609830	227
44923SDZ2.H8.Pnem.colon.609681	202
44923SDZ3.A3.Pnem.stom.609947	263
45187SDZ5.A6.Tfran.jeju.609727	198
44923SDZ3.C3.Pnem.stom.609836	135
54323SDZ1.C8.Cguer.cecum.609739	432
45661SDZ2.D6.Pnem.ileum.609780	198
45300SDZ4.E3.Pnem.feces.609880	369
44899SDZ3.G2.Pnem.stom.609892	174
44923SDZ2.H3.Pnem.stom.609965	191
44568SDZ5.F3.Pnem.stom.609912	278
45661SDZ2.F7.Pnem.jeju.609781	155
45560SDZ2.B4.Pnem.stom.609682	350
54379SDZ1.F8.Tcris.stom.609783	443
44568SDZ5.D5.Pnem.stom.609824	219
54323SDZ1.B8.Cguer.mesy.609855	222
48000SDZ3.H8.Cang.colon.609711	374
54167SDZ1.A2.Tfran.stom.609916	378
44568SDZ5.F5.Pnem.stom.609773	238
44568SDZ5.E3.Pnem.stom.609785	223
44923SDZ3.C5.Pnem.stom.609819	109
44923SDZ3.D4.Pnem.feces.609728	104
45300SDZ3.F1.Pnem.stom.609719	378
45796SDZ4.H4.Pnem.stom.609882	105
46834SDZ4.C7.Pnem.stom.609932	361
44568SDZ5.C8.Pnem.stom.609760	317
44568SDZ5.F2.Pnem.stom.609823	339
44568SDZ5.G1.Pnem.stom.609679	346
44568SDZ5.H1.Pnem.stom.609938	334
44568SDZ5.C4.Pnem.stom.609971	215
44568SDZ5.C7.Pnem.jeju.609807	314
44899SDZ3.G4.Pnem.stom.609802	303
44568SDZ5.D2.Pnem.stom.609863	342
44568SDZ5.F8.Pnem.stom.609956	350
44568SDZ5.E4.Pnem.stom.609874	338
44568SDZ5.F7.Pnem.stom.609979	327
44568SDZ5.E7.Pnem.stom.609867	349
44568SDZ5.D8.Pnem.stom.609929	358
44899SDZ3.G5.Pnem.duod.609761	306
44568SDZ5.E8.Pnem.stom.609990	321
54432SDZ1.H5.Tfran.stom.609770	394
44568SDZ5.F4.Pnem.stom.609931	321
44568SDZ5.C6.Pnem.stom.609888	367
44568SDZ5.F6.Pnem.stom.609786	321
44899SDZ3.G6.Pnem.stom.609717	315
44568SDZ5.D4.Pnem.stom.609991	338
44568SDZ5.D3.Pnem.ileum.609712	199
44899SDZ3.G3.Pnem.stom.609851	285
44568SDZ5.E6.Pnem.stom.609805	280
