	observed_species
M11Plmr.7.378534	562
F11Plmr.7.378523	484
M31Plmr.7.378506	463
M31Tong.7.378603	246
AQC1cm.7.378625	701
M11Plmr.6.378531	545
M31Plmr.6.378592	417
F11Plmr.6.378587	483
M31Tong.6.378608	236
LMEpi24M.6.378590	379
F11Tong.6.378670	268
M11Tong.6.378633	553
CC1.6.378513	1294
M31Plmr.5.378631	443
M11Plmr.5.378627	568
F11Plmr.5.378622	497
NP5.5.378593	444
F11Tong.5.378539	281
AQC4cm.5.378630	735
M31Fcsw.5.378680	344
CC1.5.378505	1277
M11Plmr.3.378640	540
M31Plmr.3.378571	465
F11Plmr.3.378609	528
AQC4cm.3.378580	696
M31Fcsw.3.378512	348
M31Plmr.2.378540	518
M11Plmr.2.378538	577
F11Plmr.2.378546	500
M31Tong.2.378653	265
F11Tong.2.378637	309
M31Plmr.1.378515	540
M11Plmr.1.378574	607
F11Plmr.1.378650	574
F11Fcsw.1.378686	371
M31Plmr.4.378564	481
M11Plmr.4.378636	560
F11Plmr.4.378632	546
TRRsed3.4.378629	966
M11Tong.4.378611	535
Even2.4.378567	256
AQC4cm.4.378647	740
F11Fcsw.4.378563	366
SV1.7.378550	1230
SV1.6.378565	1197
SV1.5.378604	1227
SV1.3.378663	1192
SV1.2.378577	1247
SV1.1.378648	1256
SV1.4.378528	1230
NP5.3.378605	462
NP3.2.378624	477
NP3.1.378549	529
CC1.3.378596	1308
CC1.1.378618	1294
AQC7cm.6.378675	870
AQC1cm.5.378621	679
AQC7cm.2.378569	798
CC1.7.378614	1262
CC1.2.378656	1263
CC1.4.378684	1284
NP5.6.378692	450
NP5.2.378689	492
NP5.1.378681	504
NP5.4.378576	480
M31Fcsw.7.378554	343
M11Fcsw.7.378690	299
Even1.7.378585	294
Even2.7.378589	242
Even3.7.378570	237
TS28.7.378581	351
CL3.7.378524	1200
F11Fcsw.7.378599	358
TS29.7.378516	259
M11Fcsw.6.378646	283
Even1.6.378691	275
TS29.6.378566	280
M31Fcsw.6.378623	342
Even2.6.378643	228
TS28.6.378694	379
Even3.6.378557	239
F11Fcsw.6.378591	315
Even3.5.378598	232
M11Fcsw.5.378527	288
TS29.5.378661	277
Even1.5.378606	275
Even2.5.378533	252
F11Fcsw.5.378586	357
TS28.5.378677	358
M11Fcsw.3.378617	305
TS29.3.378658	324
Even2.3.378543	259
Even3.3.378525	285
Even1.3.378674	305
F11Fcsw.3.378693	338
TS28.3.378502	402
SLEpi20M.3.378559	463
Even3.2.378615	300
M31Fcsw.2.378582	396
Even2.2.378572	323
M11Fcsw.2.378610	329
TS29.2.378578	322
Even1.2.378619	323
TS28.2.378509	398
F11Fcsw.2.378667	357
M31Fcsw.1.378522	441
M11Fcsw.1.378517	361
Even1.1.378500	334
Even2.1.378535	334
TS28.1.378579	437
TS29.1.378657	347
Even3.1.378584	337
M11Fcsw.4.378545	328
M31Fcsw.4.378672	346
Even1.4.378655	309
TS29.4.378597	324
Even3.4.378541	269
TS28.4.378639	401
F11Tong.7.378695	271
M31Tong.5.378660	223
M31Tong.3.378685	245
F11Tong.3.378537	279
LMEpi24M.3.378514	399
M31Tong.1.378612	298
F11Tong.1.378616	343
F11Tong.4.378664	306
M31Tong.4.378553	248
AQC7cm.7.378521	871
AQC4cm.7.378526	744
AQC4cm.6.378511	751
AQC1cm.6.378645	713
AQC7cm.5.378555	869
AQC7cm.3.378573	823
AQC4cm.2.378503	681
AQC1cm.2.378601	629
AQC4cm.1.378626	790
AQC7cm.1.378628	904
AQC7cm.4.378594	854
M11Tong.1.378669	428
TRRsed3.7.378662	930
TRRsed2.6.378529	864
TRRsed2.5.378620	853
TRRsed3.5.378532	888
TRRsed2.3.378575	858
TRRsed3.3.378682	965
TRRsed3.2.378668	965
TRRsed2.2.378508	892
TRRsed2.1.378519	932
TRRsed3.1.378551	983
TRRsed2.4.378641	904
TRRsed2.7.378536	866
NP5.7.378666	452
TRRsed1.7.378671	1120
TRRsed3.6.378568	961
TRRsed1.6.378552	1117
TRRsed1.5.378676	1139
TRRsed1.3.378518	1121
NP3.3.378607	445
TRRsed1.2.378560	1125
TRRsed1.1.378665	1153
TRRsed1.4.378634	1129
CL3.3.378600	1223
NP3.7.378556	430
NP3.6.378602	451
NP3.5.378558	475
NP3.4.378651	487
CL3.6.378510	1203
CL3.5.378638	1235
CL3.2.378520	1196
CL3.1.378507	1251
CL3.4.378649	1204
SLEpi20M.4.378595	484
LMEpi24M.1.378683	430
AQC1cm.3.378547	672
AQC1cm.4.378504	721
AQC1cm.1.378562	742
SLEpi20M.7.378679	414
LMEpi24M.7.378588	373
M11Tong.7.378644	536
SLEpi20M.6.378654	424
NP2.6.378673	421
SLEpi20M.5.378583	409
LMEpi24M.5.378530	355
M11Tong.5.378652	493
NP2.5.378542	408
M11Tong.3.378688	500
NP2.3.378548	446
LMEpi24M.2.378501	395
SLEpi20M.2.378678	473
M11Tong.2.378635	408
NP2.2.378642	476
SLEpi20M.1.378561	527
LMEpi24M.4.378687	382
NP2.4.378544	463
NP2.1.378613	491
NP2.7.378659	391
