	observed_species
HCanyon7R1.603167	1075
Halls4R2.603110	709
CrustControlR2.603145	966
Stillton3R1.603152	671
HCanyon7R2.603174	1113
HCanyon5R2.603198	1122
Halls4R1.603122	662
Stillton9R1.603144	859
Stillton8R1.603163	892
HCanyon9R3.603191	1126
HCanyon10R1.603162	924
Stillton9R3.603181	907
CrustControlR3.603140	897
Halls10R2.603161	937
HCanyon10R3.603109	966
HCanyon10R2.603158	1062
Halls8R2.603137	1103
HCanyon5R1.603119	1025
Halls3R1.603105	871
HCanyon9R2.603128	989
HCanyon9R1.603154	1102
Stillton2R1.603130	955
HCanyon7R3.603186	1044
HCanyon5R3.603150	1083
Stillton7R3.603164	922
HCanyon2R2.603138	1044
Stillton7R1.603129	856
Halls5R2.603123	811
Halls2R1.603125	656
HCanyon8R2.603195	1066
Stillton10R2.603115	886
Halls2R2.603165	591
Halls0R2.603147	1109
HCanyon3R1.603141	1056
Stillton3R2.603136	717
Stillton3R3.603106	751
Stillton11R1.603184	972
HCanyon4R1.603185	1061
HCanyon12R2.603172	1017
Stillton10R1.603192	709
Stillton9R2.603170	820
HCanyon1R2.603111	896
Halls6R1.603173	938
Halls3R2.603151	910
Stillton11R3.603139	939
HCanyon2R1.603112	1173
Halls10R1.603166	1023
Stillton2R2.603179	677
HCanyon3R2.603135	1149
HCanyon11R2.603120	1049
HCanyon1R3.603183	948
HCanyon4R2.603187	1186
Halls1R1.603155	1160
Halls9R2.603153	1122
Stillton6R3.603175	987
Halls1R2.603182	1144
HCanyon2R3.603188	1191
Halls7R1.603160	953
HCanyon8R3.603127	998
Stillton2R3.603116	713
Stillton4R2.603108	724
Stillton5R2.603189	940
HCanyon6R3.603157	1131
Stillton1R2.603148	824
Stillton0R3.603134	1077
Stillton0R1.603118	914
Stillton7R2.603126	894
Stillton8R3.603180	962
Halls8R1.603190	1151
HCanyon3R3.603146	1083
HCanyon0R2.603132	1059
Halls0R1.603177	1116
Stillton0R2.603159	887
HCanyon0R3.603176	1040
Halls6R2.603168	985
HCanyon11R1.603104	1046
HCanyon0R1.603107	1016
HCanyon11R3.603143	1118
HCanyon1R1.603131	975
HCanyon4R3.603124	1148
HCanyon12R3.603156	1129
Stillton4R3.603169	724
HCanyon8R1.603133	1018
Halls7R2.603197	973
Stillton1R1.603149	811
Halls9R1.603114	1088
HCanyon6R1.603121	1137
Stillton6R2.603171	990
Halls5R1.603142	787
HCanyon6R2.603113	1106
Stillton6R1.603193	1017
HCanyon12R1.603196	990
CrustControlR1.603117	940
Stillton10R3.603194	774
Stillton4R1.603178	758
