	observed_species
P.Ac.21.1.414759	9618
P.C.7.1.414758	7392
P.Ac.2.1.414770	9198
P.Ac.7.2.414807	6582
P.C.21.2.414808	8069
P.N.21.1.414788	9240
P.N.7.1.414798	9586
A.V.2.1.414755	13528
A.N.7.1.414745	14246
P.C.14.1.414773	9507
B.C.0.1.414809	10470
A.C.0.1.414795	14487
P.C.14.2.414771	8589
A.N.2.2.414760	13052
A.C.2.1.414780	14003
A.C.2.1.414769	14197
A.C.0.2.414767	14535
A.V.2.2.414801	13574
A.N.2.1.414746	13418
A.Ac.2.2.414797	14477
A.Ac.2.2.414782	13828
A.C.2.2.414783	14820
A.C.2.2.414762	12971
A.Ac.2.1.414799	13362
A.N.7.2.414765	12202
A.Ac.2.1.414748	13956
B.Ac.7.2.414774	9874
B.N.21.1.414778	10935
P.C.21.1.414796	9192
P.N.14.2.414747	8383
P.C.2.1.414763	8437
P.N.7.2.414754	8987
P.Ac.14.2.414743	8397
P.Ac.7.1.414802	9332
P.N.21.2.414764	8199
B.N.21.2.414768	10950
B.C.7.2.414776	10430
B.C.2.2.414791	10359
B.C.2.1.414790	11141
B.N.2.2.414777	10617
B.Ac.2.1.414789	10151
B.C.14.1.414784	10283
B.N.7.2.414805	9986
B.N.7.1.414794	9744
B.C.0.2.414756	10364
P.C.0.1.414806	9681
B.C.14.2.414786	10518
B.N.14.2.414752	10227
B.N.2.1.414772	11241
B.N.14.1.414781	10832
B.Ac.2.2.414750	10971
B.C.21.1.414804	8382
B.Ac.21.1.414803	10769
B.C.7.1.414810	9955
B.Ac.14.2.414766	10496
B.Ac.7.1.414800	10002
B.Ac.14.1.414753	10300
P.Ac.21.2.414793	8762
P.N.2.1.414757	9155
P.N.14.1.414792	7254
P.C.0.2.414751	9687
P.C.2.2.414775	7562
P.C.7.2.414749	8180
P.Ac.14.1.414787	8886
P.Ac.2.2.414744	8402
