	observed_species
KH7.488307	15374
KH61.488323	13860
KH31.488278	14055
KH37.488286	14028
KH6.488262	15818
KH24.488285	14085
KH48.488300	12554
KH40.488263	15499
KH64.488299	13422
KH52.488267	14320
KH2.488302	15418
KH33.488289	13662
KH15.488292	13832
KH23.488264	15559
KH13.488281	15449
KH14.488284	12371
KH44.488298	13843
KH56.488294	13185
KH28.488276	14368
KH42.488308	15153
KH51.488291	13534
KH36.488282	14016
KH9.488318	14816
KH29.488306	15148
KH55.488272	13277
KH25.488287	14223
KH8.488301	14294
KH3.488305	14352
KH35.488280	14694
KH19.488277	15608
KH59.488283	13937
KH34.488293	15003
KH1.488321	14819
KH10.488266	13140
KH47.488324	14387
KH39.488312	13919
KH18.488275	14766
KH54.488290	14575
KH38.488313	13276
KH30.488265	15018
KH49.488322	14108
KH60.488319	14526
KH58.488297	8413
KH43.488315	12528
KH20.488317	15665
KH26.488320	14636
KH17.488279	15142
KH53.488271	15755
KH41.488303	14622
KH11.488288	15064
KH4.488274	16155
KH22.488268	14255
KH45.488261	14114
KH46.488269	14560
KH63.488311	13338
KH65.488325	13340
KH16.488295	14781
