	observed_species
B3.5.11.06.486113	1519
B2.5.10.06.486169	2753
B1.5.11.06.486104	2513
B5.5.14.06.486107	1695
B1.5.15.06.486157	3214
B6.5.16.06.486129	2675
B1.5.6.06.486153	3008
B5.5.19.06.486134	2348
B2.5.9.06.486122	2455
B5.5.15.06.486162	2430
B1.5.14.06.486173	2919
B2.5.8.06.486143	3066
B4.5.12.06.486135	2598
B6.5.12.06.486116	2090
B5.5.13.06.486124	2148
B1.5.16.06.486145	2552
B2.5.18.06.486163	2753
B5.5.17.06.486131	1519
B1.5.18.06.486111	2390
B6.5.8.06.486119	3010
B3.5.19.06.486152	2533
B4.5.7.06.486141	3205
B1.5.7.06.486150	2382
B4.5.9.06.486138	2608
B2.5.7.06.486142	2859
B5.5.6.06.486158	1816
