	observed_species
Stillton3R1.603152	7854
HCanyon5R2.603198	10726
Stillton9R1.603144	9010
Stillton8R1.603163	8966
Stillton9R3.603181	8867
HCanyon5R1.603119	11978
Halls3R1.603105	8705
Stillton2R1.603130	11400
HCanyon5R3.603150	12165
Stillton7R3.603164	10140
HCanyon2R2.603138	12055
Stillton7R1.603129	8948
Stillton10R2.603115	8309
Halls0R2.603147	13733
HCanyon3R1.603141	12473
Stillton3R2.603136	6952
Stillton3R3.603106	8315
Stillton11R1.603184	9757
HCanyon4R1.603185	12486
Stillton10R1.603192	7263
Stillton9R2.603170	7014
HCanyon1R2.603111	8374
Stillton11R3.603139	9787
HCanyon2R1.603112	14213
Halls10R1.603166	11964
Stillton2R2.603179	7534
HCanyon3R2.603135	13911
HCanyon1R3.603183	9212
HCanyon4R2.603187	14912
Halls1R1.603155	14274
Halls9R2.603153	13008
Halls1R2.603182	12735
HCanyon2R3.603188	13453
Stillton2R3.603116	8283
Stillton4R2.603108	7902
Stillton5R2.603189	10364
Stillton1R2.603148	10966
Stillton0R3.603134	12681
Stillton0R1.603118	10999
Stillton7R2.603126	10741
Stillton8R3.603180	9070
HCanyon3R3.603146	12996
HCanyon0R2.603132	11986
Halls0R1.603177	12974
Stillton0R2.603159	11570
HCanyon0R1.603107	11829
HCanyon1R1.603131	8286
HCanyon4R3.603124	12297
Stillton4R3.603169	6434
Halls7R2.603197	12300
Stillton1R1.603149	9230
Halls5R1.603142	6999
