,max.tip.tip.dist,entropy,perm
1215,0.15838253748,0.530980922469,Real
1338,0.15838253748,0.513249543691,Real
1415,0.15838253748,0.429180764102,Real
1555,0.15838253748,0.585659605944,Real
1585,0.19017246985,0.997308729792,Real
1608,0.19017246985,0.9817027492,Real
1776,0.23797239278,0.966602536192,Real
1796,0.30996931978,0.983496785558,Real
1826,0.30996931978,0.971887866764,Real
1847,0.30996931978,0.986254127175,Real
2416,0.24360716727,0.901074585619,Real
2446,0.24360716727,0.963645474045,Real
2456,0.24360716727,0.949488118088,Real
2485,0.24360716727,0.97108653046,Real
2505,0.269705688,1.17453525832,Real
2525,0.30102385281,1.08011643779,Real
2546,0.30102385281,1.06374498455,Real
2555,0.30266012,1.16758089326,Real
2585,0.30790948,1.15180009894,Real
2598,0.322420624,1.13634824309,Real
2617,0.322420624,1.12123130883,Real
2716,0.322420624,1.10645181159,Real
2895,0.34198393432,1.03754553386,Real
3416,0.17103779452,1.5150155523,Real
3435,0.17103779452,1.43434981525,Real
3466,0.182684311,1.39723566608,Real
3484,0.229299371,1.36206837754,Real
3885,0.13434213549,0.688730577565,Real
3936,0.13434213549,0.836891252839,Real
4685,0.15415453431,0.286396957116,Real
4995,0.15415453431,0.276195427648,Real
5035,0.18101237145,0.179256066928,Real
5496,0.0832367056,0.0286093209758,Real
5515,0.0832367056,0.0275880480036,Real
5535,0.0832367056,0.0266417739801,Real
5553,0.18101237145,0.211661366542,Real
5567,0.0832367056,0.0257623515427,Real
5586,0.18101237145,0.152016738937,Real
6247,0.09585227352,2.30765418671,Real
6833,0.12064125805,0.919942484827,Real
6866,0.12064125805,0.942018676855,Real
6885,0.13833231604,1.28509665161,Real
6894,0.13833231604,1.44379570356,Real
6916,0.09585227352,2.34728659654,Real
6929,0.13833231604,1.51988722483,Real
6945,0.14870271352,2.03961462495,Real
6956,0.14870271352,2.12715362886,Real
6977,0.14870271352,2.11066242357,Real
6996,0.14870271352,2.09431408098,Real
7014,0.14870271352,2.07811817555,Real
7044,0.14870271352,2.06208263233,Real
7056,0.30261641,0.539711448287,Real
7066,0.18291143546,1.96952227391,Real
7073,0.30261641,1.40208220962,Real
7217,0.30261641,1.41265821283,Real
7478,0.343956917,1.45985588987,Real
7496,0.21683378549,0.761246155234,Real
7505,0.343956917,1.38845038335,Real
7518,0.353164841,1.46879308418,Real
7525,0.40166653,1.32847545423,Real
7794,0.46797028,1.51327565361,Real
7825,0.46797028,1.49037709526,Real
7836,0.41331926264,1.12971981363,Real
7843,0.46797028,1.47911184244,Real
8445,0.14641216207,1.21236258795,Real
8655,0.1561598257,1.42402025109,Real
8675,0.2568101757,2.17378527429,Real
8705,0.2568101757,2.16614891595,Real
8728,0.2568101757,2.24519974491,Real
9015,0.2568101757,2.07982315736,Real
9046,0.32227234615,1.89042228207,Real
9055,0.32227234615,1.8765202513,Real
9076,0.5148006314,1.44050665489,Real
9085,0.32227234615,1.86266912058,Real
9096,0.35352781611,1.03497348555,Real
9108,0.5652828457,1.54946687028,Real
9396,0.5652828457,1.48047718403,Real
9415,0.5652828457,1.45409085442,Real
10295,0.1524735,1.6152239362,Real
10316,0.1524735,1.63387638402,Real
11165,0.14880582141,1.85361589235,Real
11235,0.406471553,1.78261679219,Real
11265,0.406471553,2.09815299361,Real
11285,0.406471553,2.32185453536,Real
11305,0.406471553,2.37454413676,Real
11317,0.1524735,1.62619885874,Real
11325,0.501047088,2.35895208601,Real
11347,0.501047088,2.25673117121,Real
11355,0.501047088,2.2719159539,Real
11375,0.501047088,2.28525180101,Real
11396,0.501047088,2.28895954702,Real
11415,0.501047088,2.29159479663,Real
11446,0.51064917553,2.27729478609,Real
11465,0.53413497553,2.28045657989,Real
11675,0.57852902253,2.24209258144,Real
11705,0.66572550553,2.19439708264,Real
12615,0.638001212,1.9948073371,Real
12625,0.546849271,0.613618814192,Real
13025,0.765865518,1.95188228774,Real
13045,0.765865518,2.01216262732,Real
13055,0.765865518,2.12485461864,Real
13075,0.765865518,2.17619169665,Real
13105,0.765865518,2.22061234912,Real
13116,0.765865518,2.24427553023,Real
13145,0.765865518,2.32227147496,Real
13155,0.710982073,1.55275858776,Real
13166,0.765865518,2.28088089316,Real
13185,0.9123368275,2.00255219725,Real
135710,0.244266128,1.8394910703,Real
13604,0.244266128,1.80476045003,Real
13613,0.244266128,1.76974237847,Real
13635,0.244266128,1.73491128269,Real
13664,0.244266128,1.70058200845,Real
13686,0.244266128,1.66696081427,Real
13705,0.244266128,1.68803514439,Real
13716,0.25729946516,1.6577427265,Real
13735,0.25729946516,1.82082245982,Real
13765,0.25729946516,1.9411317465,Real
13778,0.25729946516,1.90738159218,Real
137916,0.25729946516,1.87444988437,Real
13814,0.25729946516,1.84237744657,Real
13834,0.25729946516,1.81118517405,Real
13855,0.25729946516,1.89052475794,Real
13887,0.25729946516,1.860030597,Real
13897,0.25729946516,1.83037112973,Real
13924,0.25729946516,1.80154066842,Real
13945,0.25729946516,1.77352751763,Real
13954,0.25729946516,1.74631566717,Real
13986,0.25729946516,1.71988607308,Real
13996,0.25729946516,1.6942176287,Real
14018,0.27139859766,1.77767572984,Real
14045,0.27139859766,1.75218378761,Real
14054,0.27139859766,1.77307988864,Real
14085,0.27139859766,1.74910971982,Real
14095,0.27139859766,1.80229371192,Real
14124,0.27139859766,1.87401246699,Real
14145,0.27139859766,1.85032495483,Real
14163,0.27139859766,1.82720224677,Real
14176,0.27139859766,1.86719649876,Real
15005,0.304217375,1.78405679871,Real
15015,0.304217375,1.79136509537,Real
15035,0.304217375,1.79304593261,Real
15055,0.304217375,1.79088585767,Real
15085,0.304217375,1.74286007477,Real
15096,0.304217375,1.69737978682,Real
15118,0.304217375,1.79213368156,Real
15147,0.304217375,1.90328008975,Real
15166,0.304217375,1.9666923204,Real
15176,0.31119137,2.04630676904,Real
15196,0.31119137,2.004325019,Real
15218,0.31119137,1.96395768205,Real
15235,0.31119137,1.92514283475,Real
15255,0.31119137,1.92539343221,Real
15286,0.31119137,1.91257890256,Real
15305,0.31119137,1.87787904213,Real
15315,0.31119137,1.92273733277,Real
15336,0.31119137,1.91131484947,Real
15356,0.31119137,1.87968853506,Real
15378,0.31119137,1.84907858141,Real
15406,0.31455967,1.81944746514,Real
15415,0.31455967,1.83841790504,Real
15436,0.31455967,1.81014136037,Real
15455,0.31455967,1.78273292082,Real
15476,0.31455967,1.81920485337,Real
15505,0.31455967,1.7931395255,Real
15515,0.34517267,1.84536635216,Real
15536,0.34517267,1.82650704031,Real
15935,0.328157,1.94404737902,Real
15955,0.328157,1.89425813351,Real
15975,0.328157,1.97962213661,Real
16005,0.328157,1.93299458259,Real
16014,0.328157,1.94477784926,Real
16045,0.328157,1.90356772805,Real
16056,0.34517267,1.85511619711,Real
16065,0.328157,1.95738489313,Real
16075,0.37179125828,1.92702878058,Real
16106,0.37179125828,1.93861044788,Real
16125,0.37179125828,1.94844834028,Real
16146,0.37179125828,1.94437524781,Real
16155,0.38396256312,1.90980253893,Real
16186,0.38396256312,1.9237973108,Real
16206,0.38396256312,1.94128975317,Real
16215,0.38396256312,1.94623889111,Real
16234,0.38396256312,1.93528168272,Real
16265,0.38396256312,1.95353213853,Real
16285,0.38396256312,1.95650617478,Real
16305,0.38396256312,1.96880990749,Real
16326,0.38396256312,1.95822417031,Real
