SAMPLE_RANK,OBSERVATION_RANK,SAMPLE_ID,OBSERVATION_ID,empo_3,METADATA_NUMERIC_CODE
74,66,2382.GM.181.R3.gp.10.12.lane8.NoIndex.L008.sequences,k__Bacteria;p__Cyanobacteria,Plant corpus,1
74,60,2382.GM.181.R3.gp.10.12.lane8.NoIndex.L008.sequences,k__Bacteria;p__Firmicutes,Plant corpus,1
74,64,2382.GM.181.R3.gp.10.12.lane8.NoIndex.L008.sequences,k__Bacteria;p__Bacteroidetes,Plant corpus,1
74,67,2382.GM.181.R3.gp.10.12.lane8.NoIndex.L008.sequences,k__Bacteria;p__Proteobacteria,Plant corpus,1
74,65,2382.GM.181.R3.gp.10.12.lane8.NoIndex.L008.sequences,k__Bacteria;p__Actinobacteria,Plant corpus,1
203,41,933.Lu225,k__Bacteria;p__Fusobacteria,Plant surface,2
203,66,933.Lu225,k__Bacteria;p__Cyanobacteria,Plant surface,2
203,63,933.Lu225,k__Bacteria;p__Planctomycetes,Plant surface,2
203,64,933.Lu225,k__Bacteria;p__Bacteroidetes,Plant surface,2
203,50,933.Lu225,k__Bacteria;p__GN02,Plant surface,2
203,59,933.Lu225,k__Bacteria;p__Acidobacteria,Plant surface,2
203,61,933.Lu225,unclassified,Plant surface,2
203,62,933.Lu225,k__Bacteria;p__Verrucomicrobia,Plant surface,2
203,58,933.Lu225,k__Bacteria;p__Chloroflexi,Plant surface,2
203,67,933.Lu225,k__Bacteria;p__Proteobacteria,Plant surface,2
203,28,933.Lu225,k__Bacteria;p__SR1,Plant surface,2
203,65,933.Lu225,k__Bacteria;p__Actinobacteria,Plant surface,2
306,53,2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences,k__Bacteria;p__Chlamydiae,Plant rhizosphere,3
306,55,2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences,k__Archaea;p__Crenarchaeota,Plant rhizosphere,3
306,51,2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences,k__Bacteria;p__Chlorobi,Plant rhizosphere,3
306,66,2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences,k__Bacteria;p__Cyanobacteria,Plant rhizosphere,3
306,46,2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences,k__Bacteria;p__Fibrobacteres,Plant rhizosphere,3
306,56,2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences,k__Bacteria;p__Armatimonadetes,Plant rhizosphere,3
306,63,2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences,k__Bacteria;p__Planctomycetes,Plant rhizosphere,3
306,60,2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences,k__Bacteria;p__Firmicutes,Plant rhizosphere,3
306,7,2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences,k__Bacteria;p__MVP-21,Plant rhizosphere,3
306,64,2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences,k__Bacteria;p__Bacteroidetes,Plant rhizosphere,3
306,57,2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences,k__Bacteria;p__Gemmatimonadetes,Plant rhizosphere,3
